Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,start,0
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,left,1.991
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,right,5.124
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,down,11.588
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,right,40.788
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,down,45.818
2018-11-29-09-13-33,DGB1996M,1,1.09183885372,0.5,below,right,right,56.492
2018-11-29-09-13-33,DGB1996M,2,1.33014106656,1,below,right,start,0
2018-11-29-09-13-33,DGB1996M,2,1.33014106656,1,below,right,down,2.856
2018-11-29-09-13-33,DGB1996M,3,1.0874383282,1,above,left,start,0
2018-11-29-09-13-33,DGB1996M,3,1.0874383282,1,above,left,left,3.831
2018-11-29-09-13-33,DGB1996M,4,1.24244233287,0.5,below,left,start,0
2018-11-29-09-13-33,DGB1996M,4,1.24244233287,0.5,below,left,left,1.814
2018-11-29-09-13-33,DGB1996M,5,1.05467927508,0.25,above,left,start,0
2018-11-29-09-13-33,DGB1996M,5,1.05467927508,0.25,above,left,left,1.369
2018-11-29-09-13-33,DGB1996M,6,1.25168525752,0.25,above,right,start,0
2018-11-29-09-13-33,DGB1996M,6,1.25168525752,0.25,above,right,left,2.877
2018-11-29-09-13-33,DGB1996M,6,1.25168525752,0.25,above,right,down,16.28
2018-11-29-09-13-33,DGB1996M,6,1.25168525752,0.25,above,right,right,25.923
2018-11-29-09-13-33,DGB1996M,7,1.27896556541,0,above,left,start,0
2018-11-29-09-13-33,DGB1996M,7,1.27896556541,0,above,left,right,3.103
2018-11-29-09-13-33,DGB1996M,8,1.35693902583,1,above,right,start,0
2018-11-29-09-13-33,DGB1996M,8,1.35693902583,1,above,right,right,1.902
2018-11-29-09-13-33,DGB1996M,8,1.35693902583,1,above,right,down,22.965
2018-11-29-09-13-33,DGB1996M,9,1.26893585169,0.25,below,right,start,0
2018-11-29-09-13-33,DGB1996M,9,1.26893585169,0.25,below,right,left,1.484
2018-11-29-09-13-33,DGB1996M,9,1.26893585169,0.25,below,right,right,5.411
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,start,0
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,right,2.531
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,down,4.597
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,left,34.055
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,down,40.359
2018-11-29-09-13-33,DGB1996M,10,1.22072747483,0.5,above,left,left,41.838
2018-11-29-09-13-33,DGB1996M,11,1.44382149788,0.25,below,left,start,0
2018-11-29-09-13-33,DGB1996M,11,1.44382149788,0.25,below,left,left,1.481
2018-11-29-09-13-33,DGB1996M,12,1.13955504406,0,below,left,start,0
2018-11-29-09-13-33,DGB1996M,12,1.13955504406,0,below,left,left,0.96
2018-11-29-09-13-33,DGB1996M,13,1.20905741939,0,above,right,start,0
2018-11-29-09-13-33,DGB1996M,13,1.20905741939,0,above,right,left,1.302
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,start,0
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,left,1.022
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,right,5.178
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,down,12.951
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,right,20.772
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,down,27.271
2018-11-29-09-13-33,DGB1996M,14,1.34616003546,0.5,above,right,right,38.011
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,start,0
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,left,1.918
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,down,9.09
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,left,14.887
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,down,23.113
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,left,28.707
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,down,34.655
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,left,51.249
2018-11-29-09-13-33,DGB1996M,15,1.34128255604,1,below,left,down,56.21
2018-11-29-09-13-33,DGB1996M,16,1.00233238541,0,below,right,start,0
2018-11-29-09-13-33,DGB1996M,16,1.00233238541,0,below,right,right,3.561
2018-11-29-09-13-33,DGB1996M,16,1.00233238541,0,below,right,left,5.847
2018-11-29-09-13-33,DGB1996M,16,1.00233238541,0,below,right,right,10.558
