Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,start,0
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,left,3.177
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,right,4.64
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,down,7.199
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,right,9.876
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,down,13.382
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,left,15.647
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,down,28.167
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,right,30.31
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,down,43.512
2018-09-17-10-25-17,EB,1,1.4403737777,0.5,below,left,left,44.267
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,start,0
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,left,1.379
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,right,8.766
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,left,27.717
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,right,41.898
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,left,51.41
2018-09-17-10-25-17,EB,2,1.27767592953,0,above,left,right,58.719
2018-09-17-10-25-17,EB,3,1.17105410202,1,above,right,start,0
2018-09-17-10-25-17,EB,3,1.17105410202,1,above,right,right,0.796
2018-09-17-10-25-17,EB,3,1.17105410202,1,above,right,down,42.716
2018-09-17-10-25-17,EB,3,1.17105410202,1,above,right,right,45.966
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,start,0
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,right,1.333
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,left,8.208
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,right,44.282
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,left,52.232
2018-09-17-10-25-17,EB,4,1.092451962,0.25,above,left,right,59.149
2018-09-17-10-25-17,EB,5,1.33615439484,0.25,above,right,start,0
2018-09-17-10-25-17,EB,5,1.33615439484,0.25,above,right,down,1.321
2018-09-17-10-25-17,EB,5,1.33615439484,0.25,above,right,right,2.452
2018-09-17-10-25-17,EB,5,1.33615439484,0.25,above,right,left,18.631
2018-09-17-10-25-17,EB,5,1.33615439484,0.25,above,right,down,20.339
