Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,start,0
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,left,2.12
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,right,8.383
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,left,24.727
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,right,26.567
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,down,29.778
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,left,31.631
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,right,40.495
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,left,44.742
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,right,46.051
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,left,47.321
2018-09-14-10-17-24,KK,1,1.27829325655,0,above,right,right,50.277
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,start,0
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,0.977
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,left,3.867
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,8.006
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,left,10.372
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,11.787
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,left,13.823
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,21.893
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,left,33.554
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,39.67
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,left,45.771
2018-09-14-10-17-24,KK,2,1.37028883502,0,below,right,right,51.659
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,start,0
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,1.115
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,15.514
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,17.491
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,20.422
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,22.129
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,23.866
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,25.339
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,26.996
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,28.866
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,32.984
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,41.044
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,49.859
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,right,50.302
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,51.599
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,down,57.422
2018-09-14-10-17-24,KK,3,1.46943778356,0.25,above,left,left,59.371
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,start,0
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,2.176
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,3.534
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,5.26
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,6.323
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,11.398
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,14.617
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,20.712
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,23.041
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,25.028
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,26.43
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,34.31
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,36.086
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,left,43.326
2018-09-14-10-17-24,KK,4,1.3845361019,1,above,left,down,45.066
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,start,0
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,down,1.791
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,right,7.434
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,down,8.763
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,right,14.348
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,down,19.803
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,right,26.426
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,down,33.442
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,right,40.043
2018-09-14-10-17-24,KK,5,1.42847658329,0.5,above,right,down,57.413
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,start,0
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,1.005
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,4.969
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,5.858
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,11.49
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,17.099
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,22.978
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,29.317
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,31.852
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,35.199
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,40.193
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,44.066
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,48.17
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,50.736
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,right,52.483
2018-09-14-10-17-24,KK,6,1.47180756667,1,above,right,down,57.059
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,start,0
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,0.84
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,down,5.224
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,8.49
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,down,14.944
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,15.512
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,16.68
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,20.042
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,21.554
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,down,27.287
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,29.804
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,32.993
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,down,33.801
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,39.494
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,40.946
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,44.232
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,45.532
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,51.609
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,52.732
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,down,53.23
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,left,54.491
2018-09-14-10-17-24,KK,7,1.16817238358,0.25,below,right,right,57.218
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,start,0
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,left,1.764
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,right,16.248
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,left,30.477
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,right,42.159
2018-09-14-10-17-24,KK,8,1.4849130001,0,above,left,left,48.311
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,start,0
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,1.128
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,2.428
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,left,9.953
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,11
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,12.929
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,15.179
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,22.439
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,left,27.769
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,28.25
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,34.438
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,37.938
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,40.304
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,42.791
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,44.271
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,46.998
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,48.384
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,down,58.722
2018-09-14-10-17-24,KK,9,1.28465205952,1,below,right,right,59.732
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,start,0
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,0.995
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,2.745
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,4.696
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,10.98
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,19.156
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,27.667
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,31.048
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,32.559
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,37.081
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,38.367
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,39.423
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,right,45.197
2018-09-14-10-17-24,KK,10,1.23561164961,0.5,below,right,down,52.715
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,start,0
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,left,0.983
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,down,12.745
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,left,14.038
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,down,17.087
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,left,24.586
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,down,25.919
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,left,34.3
2018-09-14-10-17-24,KK,11,1.01209564928,0.5,below,left,down,50.655
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,start,0
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,1.07
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,19.071
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,19.909
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,21.245
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,24.175
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,26.195
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,27.758
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,29.881
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,31.773
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,46.409
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,51.59
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,down,52.868
2018-09-14-10-17-24,KK,12,1.20873465563,0.5,above,left,left,59.514
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,start,0
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,2.095
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,3.519
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,5.075
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,11.368
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,17.141
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,23.409
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,26.528
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,28.251
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,30.125
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,32.689
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,37.398
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,40.843
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,left,48.22
2018-09-14-10-17-24,KK,13,1.22927226331,0.25,below,left,down,54.411
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,start,0
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,right,1.652
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,left,7.247
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,right,11.988
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,down,16.361
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,left,16.945
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,right,19.083
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,left,24.024
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,right,32.327
2018-09-14-10-17-24,KK,14,1.05457909781,0,below,left,left,39.832
