Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,start,0
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,down,3.786
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,left,20.917
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,right,35.798
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,down,40.516
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,left,43.44
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,down,45.951
2018-11-16-12-08-48,VP111993w,1,1.47726084426,1,below,left,left,56.045
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,start,0
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,right,8.768
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,left,16.26
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,right,19.599
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,left,35.075
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,right,37.074
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,left,48.217
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,right,50.132
2018-11-16-12-08-48,VP111993w,2,1.34377933183,0,above,right,left,53.667
2018-11-16-12-08-48,VP111993w,3,1.21693890276,0.5,below,right,start,0
2018-11-16-12-08-48,VP111993w,3,1.21693890276,0.5,below,right,right,2.591
2018-11-16-12-08-48,VP111993w,4,1.28138033702,0.25,below,right,start,0
2018-11-16-12-08-48,VP111993w,4,1.28138033702,0.25,below,right,right,1.991
2018-11-16-12-08-48,VP111993w,5,1.43510503702,0.25,below,left,start,0
2018-11-16-12-08-48,VP111993w,5,1.43510503702,0.25,below,left,right,3.125
2018-11-16-12-08-48,VP111993w,5,1.43510503702,0.25,below,left,left,7.536
2018-11-16-12-08-48,VP111993w,5,1.43510503702,0.25,below,left,right,20.493
2018-11-16-12-08-48,VP111993w,5,1.43510503702,0.25,below,left,left,50.433
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,start,0
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,right,1.662
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,left,28.052
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,right,29.637
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,left,31.027
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,right,44.882
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,left,48.045
2018-11-16-12-08-48,VP111993w,6,1.2956368726,0.5,above,right,right,53.058
2018-11-16-12-08-48,VP111993w,7,1.28268367459,0.5,below,left,start,0
2018-11-16-12-08-48,VP111993w,7,1.28268367459,0.5,below,left,left,0.717
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,start,0
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,left,1.634
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,right,20.964
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,left,31.694
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,right,53.604
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,left,55.163
2018-11-16-12-08-48,VP111993w,8,1.31034455137,0,below,left,right,59.778
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,start,0
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,left,2.068
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,right,3.155
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,left,19.724
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,right,44.525
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,left,46.09
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,right,56.088
2018-11-16-12-08-48,VP111993w,9,1.00260300618,0,above,left,left,59.132
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,start,0
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,1.235
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,2.734
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,17.225
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,18.406
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,20.682
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,22.965
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,25.373
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,33.265
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,45.222
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,49.117
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,down,52.28
2018-11-16-12-08-48,VP111993w,10,1.12924579703,1,below,right,right,56.001
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,start,0
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,left,3.139
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,right,24.228
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,left,33.233
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,right,37.16
2018-11-16-12-08-48,VP111993w,11,1.44857802246,0.25,above,left,left,42.108
2018-11-16-12-08-48,VP111993w,12,1.16167447862,1,above,right,start,0
2018-11-16-12-08-48,VP111993w,12,1.16167447862,1,above,right,right,1.824
2018-11-16-12-08-48,VP111993w,13,1.39806464726,0,below,right,start,0
2018-11-16-12-08-48,VP111993w,13,1.39806464726,0,below,right,right,1.971
2018-11-16-12-08-48,VP111993w,13,1.39806464726,0,below,right,left,52.029
2018-11-16-12-08-48,VP111993w,13,1.39806464726,0,below,right,right,55.841
2018-11-16-12-08-48,VP111993w,14,1.32978101408,0.5,above,left,start,0
2018-11-16-12-08-48,VP111993w,14,1.32978101408,0.5,above,left,right,1.512
2018-11-16-12-08-48,VP111993w,14,1.32978101408,0.5,above,left,left,3.54
2018-11-16-12-08-48,VP111993w,14,1.32978101408,0.5,above,left,right,54.241
