Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-10-30-18-14-34,VP41998m,1,1.19314570693,1,below,left,start,0
2018-10-30-18-14-34,VP41998m,1,1.19314570693,1,below,left,down,2.951
2018-10-30-18-14-34,VP41998m,1,1.19314570693,1,below,left,left,29.503
2018-10-30-18-14-34,VP41998m,1,1.19314570693,1,below,left,down,39.706
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,start,0
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,down,4.704
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,left,39.092
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,right,45.862
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,left,51.953
2018-10-30-18-14-34,VP41998m,2,1.41897302129,0.5,below,left,down,55.889
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,start,0
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,down,3.442
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,left,16.286
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,down,25.336
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,right,30.726
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,left,38.42
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,right,44.738
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,left,48.38
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,right,51.628
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,down,54.629
2018-10-30-18-14-34,VP41998m,3,1.1624409846,0.25,above,left,left,59.721
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,start,0
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,right,3.813
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,down,28.458
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,right,32.287
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,down,36.097
2018-10-30-18-14-34,VP41998m,4,1.00260450955,0,above,left,right,37.629
2018-10-30-18-14-34,VP41998m,5,1.47842544551,0,below,right,start,0
2018-10-30-18-14-34,VP41998m,5,1.47842544551,0,below,right,right,4.891
2018-10-30-18-14-34,VP41998m,5,1.47842544551,0,below,right,left,23.387
2018-10-30-18-14-34,VP41998m,5,1.47842544551,0,below,right,right,33.764
2018-10-30-18-14-34,VP41998m,5,1.47842544551,0,below,right,left,52.932
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,start,0
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,right,4.365
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,down,11.358
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,right,16.97
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,down,46.325
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,right,50.152
2018-10-30-18-14-34,VP41998m,6,1.24355429442,0.5,above,right,left,59.109
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,start,0
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,left,5.357
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,down,21.592
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,right,26.976
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,down,32.565
2018-10-30-18-14-34,VP41998m,7,1.36605748377,0.25,below,left,left,39.871
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,start,0
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,down,1.946
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,left,5.318
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,right,11.022
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,down,14.424
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,left,19.87
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,right,25.154
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,left,30.376
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,down,35.619
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,left,41.462
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,right,48.827
2018-10-30-18-14-34,VP41998m,8,1.39724989444,0.5,above,left,down,56.006
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,start,0
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,right,2.365
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,down,9.331
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,left,16.47
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,right,23.694
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,left,31.722
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,right,34.169
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,down,43.512
2018-10-30-18-14-34,VP41998m,9,1.0806630425,0.25,below,right,right,50.857
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,start,0
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,down,2.678
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,right,6.306
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,down,19.229
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,right,24.921
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,left,35.575
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,right,41.167
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,down,45.507
2018-10-30-18-14-34,VP41998m,10,1.03024280811,0.5,below,right,right,50.497
2018-10-30-18-14-34,VP41998m,11,1.29409031084,1,below,right,start,0
