Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,start,0
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,down,2.668
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,left,4.471
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,down,8.121
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,left,20.201
2018-06-28-13-59-06,01,1,1.07531442963,1,left,left,down,49.367
2018-06-28-13-59-06,01,2,1.3016893912,0.5,right,right,start,0
2018-06-28-13-59-06,01,2,1.3016893912,0.5,right,right,right,2.513
2018-06-28-13-59-06,01,3,1.09464791802,0,right,right,start,0
2018-06-28-13-59-06,01,3,1.09464791802,0,right,right,right,2.686
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,start,0
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,down,4.759
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,left,8.454
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,down,15.101
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,left,16.707
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,down,21.841
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,left,23.992
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,down,29.905
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,left,39.868
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,down,46.723
2018-06-28-13-59-06,01,4,1.44204567225,0.5,left,left,left,48.656
2018-06-28-13-59-06,01,5,1.07184740942,0,left,left,start,0
2018-06-28-13-59-06,01,5,1.07184740942,0,left,left,left,2.403
2018-06-28-13-59-06,01,5,1.07184740942,0,left,left,right,11.98
2018-06-28-13-59-06,01,5,1.07184740942,0,left,left,left,49.086
2018-06-28-13-59-06,01,5,1.07184740942,0,left,left,right,55.193
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,start,0
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,right,1.098
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,up,14.019
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,right,15.836
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,up,25.941
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,right,27.629
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,left,35.06
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,up,47.446
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,left,48.763
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,up,50.321
2018-06-28-13-59-06,01,6,1.26994283854,0.25,left,right,right,57.964
2018-06-28-13-59-06,01,7,1.20331237557,0.25,left,left,start,0
2018-06-28-13-59-06,01,7,1.20331237557,0.25,left,left,left,1.184
2018-06-28-13-59-06,01,8,1.37445396367,0.5,right,left,start,0
2018-06-28-13-59-06,01,8,1.37445396367,0.5,right,left,left,1.955
2018-06-28-13-59-06,01,9,1.18727287391,1,right,left,start,0
2018-06-28-13-59-06,01,9,1.18727287391,1,right,left,up,25.063
2018-06-28-13-59-06,01,9,1.18727287391,1,right,left,left,26.08
2018-06-28-13-59-06,01,9,1.18727287391,1,right,left,up,28.844
2018-06-28-13-59-06,01,10,1.06060156304,1,left,right,start,0
2018-06-28-13-59-06,01,10,1.06060156304,1,left,right,right,1.121
2018-06-28-13-59-06,01,11,1.15101730679,1,right,right,start,0
2018-06-28-13-59-06,01,11,1.15101730679,1,right,right,right,9.649
2018-06-28-13-59-06,01,12,1.45150899634,0,right,left,start,0
2018-06-28-13-59-06,01,12,1.45150899634,0,right,left,right,5.95
2018-06-28-13-59-06,01,13,1.32626118921,0.25,right,right,start,0
2018-06-28-13-59-06,01,13,1.32626118921,0.25,right,right,right,0.783
2018-06-28-13-59-06,01,13,1.32626118921,0.25,right,right,left,54.425
2018-06-28-13-59-06,01,14,1.39888803781,0,left,right,start,0
2018-06-28-13-59-06,01,14,1.39888803781,0,left,right,right,0.972
2018-06-28-13-59-06,01,14,1.39888803781,0,left,right,left,8.735
2018-06-28-13-59-06,01,15,1.36744318604,0.5,left,right,start,0
2018-06-28-13-59-06,01,15,1.36744318604,0.5,left,right,up,1.386
2018-06-28-13-59-06,01,15,1.36744318604,0.5,left,right,right,2.205
2018-06-28-13-59-06,01,16,1.30175100072,0.25,right,left,start,0
2018-06-28-13-59-06,01,16,1.30175100072,0.25,right,left,right,2.32
2018-06-28-13-59-06,01,16,1.30175100072,0.25,right,left,left,5.429
