Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-30-11-58-38,VP171996m,1,1.08280477041,0.25,left,left,start,0
2018-11-30-11-58-38,VP171996m,1,1.08280477041,0.25,left,left,left,2.487
2018-11-30-11-58-38,VP171996m,1,1.08280477041,0.25,left,left,unclear,31.786
2018-11-30-11-58-38,VP171996m,1,1.08280477041,0.25,left,left,left,38.993
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,start,0
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,left,1.496
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,up,20.138
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,left,21.748
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,up,29.331
2018-11-30-11-58-38,VP171996m,2,1.00109676504,0.5,right,left,left,32.344
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,start,0
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,left,0.862
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,up,28.165
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,right,29.066
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,left,31.628
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,up,45.144
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,right,45.996
2018-11-30-11-58-38,VP171996m,3,1.29093336337,0,right,right,left,50.57
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,start,0
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,left,0.602
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,right,11.413
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,left,35.087
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,up,47.003
2018-11-30-11-58-38,VP171996m,4,1.32528970738,0,left,left,right,49.153
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,start,0
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,right,1.212
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,down,14.774
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,16.499
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,left,17.649
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,18.758
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,left,20.958
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,21.953
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,down,23.821
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,25.967
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,down,28.254
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,left,29.915
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,32.375
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,right,33.816
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,up,38.153
2018-11-30-11-58-38,VP171996m,5,1.42710001678,0,left,right,right,41.881
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,start,0
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,right,0.662
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,down,33.535
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,right,35.181
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,down,37.197
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,right,39.589
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,down,42.331
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,right,43.478
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,down,44.867
2018-11-30-11-58-38,VP171996m,6,1.15839361408,0.5,right,right,right,46.114
2018-11-30-11-58-38,VP171996m,7,1.2431548257,1,right,left,start,0
2018-11-30-11-58-38,VP171996m,7,1.2431548257,1,right,left,up,1.233
2018-11-30-11-58-38,VP171996m,7,1.2431548257,1,right,left,left,4.741
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,start,0
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,up,1.358
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,right,7.13
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,up,21.681
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,right,26.197
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,up,28.436
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,right,33.571
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,up,44.189
2018-11-30-11-58-38,VP171996m,8,1.11463509392,0.5,left,right,right,49.589
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,start,0
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,right,0.637
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,left,9.46
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,right,29.751
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,down,38.955
2018-11-30-11-58-38,VP171996m,9,1.23056843399,0,right,left,left,40.277
2018-11-30-11-58-38,VP171996m,10,1.11538556029,0.25,right,left,start,0
2018-11-30-11-58-38,VP171996m,10,1.11538556029,0.25,right,left,left,0.552
2018-11-30-11-58-38,VP171996m,10,1.11538556029,0.25,right,left,up,54.866
2018-11-30-11-58-38,VP171996m,10,1.11538556029,0.25,right,left,left,55.658
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,start,0
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,left,0.639
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,down,9.311
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,left,27.435
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,down,30.533
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,left,34.79
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,down,45.549
2018-11-30-11-58-38,VP171996m,11,1.05840663087,1,left,left,left,57.815
2018-11-30-11-58-38,VP171996m,12,1.13969768532,0.25,right,right,start,0
2018-11-30-11-58-38,VP171996m,12,1.13969768532,0.25,right,right,right,0.829
2018-11-30-11-58-38,VP171996m,12,1.13969768532,0.25,right,right,down,28.063
2018-11-30-11-58-38,VP171996m,12,1.13969768532,0.25,right,right,right,34.159
2018-11-30-11-58-38,VP171996m,13,1.34634955542,1,right,right,start,0
2018-11-30-11-58-38,VP171996m,13,1.34634955542,1,right,right,right,0.722
2018-11-30-11-58-38,VP171996m,13,1.34634955542,1,right,right,down,33.411
2018-11-30-11-58-38,VP171996m,13,1.34634955542,1,right,right,right,46.665
2018-11-30-11-58-38,VP171996m,14,1.4146885034,1,left,right,start,0
2018-11-30-11-58-38,VP171996m,14,1.4146885034,1,left,right,right,1.367
2018-11-30-11-58-38,VP171996m,14,1.4146885034,1,left,right,up,12.564
2018-11-30-11-58-38,VP171996m,14,1.4146885034,1,left,right,right,37.064
2018-11-30-11-58-38,VP171996m,14,1.4146885034,1,left,right,up,38.401
2018-11-30-11-58-38,VP171996m,15,1.0485286356,0.25,left,right,start,0
2018-11-30-11-58-38,VP171996m,15,1.0485286356,0.25,left,right,up,1.233
2018-11-30-11-58-38,VP171996m,15,1.0485286356,0.25,left,right,left,16.103
2018-11-30-11-58-38,VP171996m,16,1.22685375717,0.5,left,left,start,0
2018-11-30-11-58-38,VP171996m,16,1.22685375717,0.5,left,left,left,0.495
