Session,Participant,Block,OnsetDelay,StereoStrength,BiasedSide,RotationBias,Percept,Time
2018-11-09-13-00-32,VP71998w,1,1.42602659241,0.25,left,right,start,0
2018-11-09-13-00-32,VP71998w,1,1.42602659241,0.25,left,right,up,1.085
2018-11-09-13-00-32,VP71998w,1,1.42602659241,0.25,left,right,left,6.248
2018-11-09-13-00-32,VP71998w,1,1.42602659241,0.25,left,right,right,40.076
2018-11-09-13-00-32,VP71998w,1,1.42602659241,0.25,left,right,left,56.582
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,start,0
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,left,0.879
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,up,29.468
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,left,31.207
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,right,33.304
2018-11-09-13-00-32,VP71998w,2,1.08211618902,0.5,right,left,left,47.563
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,start,0
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,left,0.9
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,right,5.274
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,left,24.078
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,right,33.548
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,left,37.68
2018-11-09-13-00-32,VP71998w,3,1.1030401769,0,right,left,right,45.744
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,start,0
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,right,0.809
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,left,6.021
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,right,25.075
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,down,33.502
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,left,35.202
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,down,46.543
2018-11-09-13-00-32,VP71998w,4,1.09282576799,0,left,right,right,49.403
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,start,0
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,0.667
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,3.81
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,6.86
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,11.221
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,13.774
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,17.501
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,21.069
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,23.618
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,left,34.712
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,35.928
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,40.532
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,up,47.738
2018-11-09-13-00-32,VP71998w,5,1.36124300539,0.5,left,right,right,50.836
2018-11-09-13-00-32,VP71998w,6,1.12309446186,0,right,right,start,0
2018-11-09-13-00-32,VP71998w,6,1.12309446186,0,right,right,right,1.088
2018-11-09-13-00-32,VP71998w,6,1.12309446186,0,right,right,left,2.929
2018-11-09-13-00-32,VP71998w,6,1.12309446186,0,right,right,up,8.452
2018-11-09-13-00-32,VP71998w,6,1.12309446186,0,right,right,left,9.955
2018-11-09-13-00-32,VP71998w,7,1.38823904402,0.25,left,left,start,0
2018-11-09-13-00-32,VP71998w,7,1.38823904402,0.25,left,left,left,0.852
2018-11-09-13-00-32,VP71998w,8,1.0762911689,1,left,right,start,0
2018-11-09-13-00-32,VP71998w,8,1.0762911689,1,left,right,up,1.249
2018-11-09-13-00-32,VP71998w,8,1.0762911689,1,left,right,right,10.012
2018-11-09-13-00-32,VP71998w,8,1.0762911689,1,left,right,up,44.964
2018-11-09-13-00-32,VP71998w,8,1.0762911689,1,left,right,right,57.349
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,start,0
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,right,2.02
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,down,25.874
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,right,27.339
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,down,38.615
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,right,49.909
2018-11-09-13-00-32,VP71998w,9,1.06771313382,0.25,right,right,left,58.951
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,start,0
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,right,0.811
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,down,3.826
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,right,15.077
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,down,31.918
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,right,37.887
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,down,39.536
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,right,44.673
2018-11-09-13-00-32,VP71998w,10,1.09622378623,1,right,right,down,47.226
2018-11-09-13-00-32,VP71998w,11,1.2427935169,1,left,left,start,0
2018-11-09-13-00-32,VP71998w,11,1.2427935169,1,left,left,down,1.501
2018-11-09-13-00-32,VP71998w,11,1.2427935169,1,left,left,left,4.802
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,start,0
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,down,1.057
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,right,2.315
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,down,9.953
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,right,13.719
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,down,30.776
2018-11-09-13-00-32,VP71998w,12,1.3997593709,0.5,right,right,right,46.177
2018-11-09-13-00-32,VP71998w,13,1.01150174381,1,right,left,start,0
2018-11-09-13-00-32,VP71998w,13,1.01150174381,1,right,left,up,1.384
2018-11-09-13-00-32,VP71998w,13,1.01150174381,1,right,left,left,4.483
2018-11-09-13-00-32,VP71998w,13,1.01150174381,1,right,left,up,26.301
2018-11-09-13-00-32,VP71998w,13,1.01150174381,1,right,left,left,29.909
