Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-29-09-32-35,DGB1996M,1,1,probe,0,above,right,2,1.36662122605,0,left,0.834
2018-11-29-09-32-35,DGB1996M,1,2,both,0,above,right,2,1.36662122605,0.733308950564,right,0.527
2018-11-29-09-32-35,DGB1996M,1,3,probe,1,below,right,0.5,0.783307288102,0,right,0.584
2018-11-29-09-32-35,DGB1996M,1,4,both,1,below,left,0.5,1.38328733856,0.833305625641,left,1.127
2018-11-29-09-32-35,DGB1996M,1,5,probe,0.5,above,left,2,0.883303963179,0,left,0.646
2018-11-29-09-32-35,DGB1996M,1,6,both,0.5,above,right,2,1.32495594477,0.783307288102,right,0.385
2018-11-29-09-32-35,DGB1996M,1,7,probe,0.25,below,right,2,0.924969244461,0,right,0.47
2018-11-29-09-32-35,DGB1996M,1,8,both,0.25,below,left,2,1.49995012615,0.708309781795,left,0.303
2018-11-29-09-32-35,DGB1996M,1,9,probe,0,below,left,0.25,1.09996342585,0,left,0.57
2018-11-29-09-32-35,DGB1996M,1,10,both,0,below,right,0.25,1.19996010092,0.791640344359,down,2.093
2018-11-29-09-32-35,DGB1996M,1,11,probe,1,below,right,0.25,0.966634525743,0,left,0.423
2018-11-29-09-32-35,DGB1996M,1,12,both,1,below,right,0.25,1.30828983226,0.85830479441,down,1.49
2018-11-29-09-32-35,DGB1996M,1,13,probe,0,above,right,0.5,1.44161873236,0,left,0.441
2018-11-29-09-32-35,DGB1996M,1,14,both,0,above,right,0.5,0.924969244461,0.76664117559,left,0.668
2018-11-29-09-32-35,DGB1996M,1,15,probe,1,above,right,2,1.28329066349,0,left,0.451
2018-11-29-09-32-35,DGB1996M,1,16,both,1,above,right,2,0.85830479441,0.849971738154,right,0.395
2018-11-29-09-32-35,DGB1996M,1,17,probe,0.25,above,right,0.5,1.38328733856,0,left,0.285
2018-11-29-09-32-35,DGB1996M,1,18,both,0.25,above,right,0.5,1.03329897579,0.708309781795,down,1.847
2018-11-29-09-32-35,DGB1996M,1,19,probe,1,below,right,2,1.4332856761,0,right,0.383
2018-11-29-09-32-35,DGB1996M,1,20,both,1,below,left,2,0.816639513128,0.791640344359,left,0.46
2018-11-29-09-32-35,DGB1996M,1,21,probe,0.25,below,left,0.25,1.36662122605,0,left,0.236
2018-11-29-09-32-35,DGB1996M,1,22,both,0.25,below,right,0.25,0.966634525743,0.74164200682,down,1.156
2018-11-29-09-32-35,DGB1996M,1,23,probe,0.5,below,right,0.5,1.40828650733,0,left,0.386
2018-11-29-09-32-35,DGB1996M,1,24,both,0.5,below,right,0.5,1.34162205728,0.733308950564,down,1.146
2018-11-29-09-32-35,DGB1996M,1,25,probe,0.25,above,right,1,0.908303131949,0,left,0.38
2018-11-29-09-32-35,DGB1996M,1,26,both,0.25,above,right,1,1.37495428231,0.816639513128,right,0.439
2018-11-29-09-32-35,DGB1996M,1,27,probe,0.5,below,right,1,0.749975063077,0,left,0.446
2018-11-29-09-32-35,DGB1996M,1,28,both,0.5,below,right,1,1.09996342585,0.783307288102,down,0.751
2018-11-29-09-32-35,DGB1996M,1,29,probe,0.5,below,right,2,1.09996342585,0,left,0.555
2018-11-29-09-32-35,DGB1996M,1,30,both,0.5,below,right,2,1.4332856761,0.85830479441,down,1.201
2018-11-29-09-32-35,DGB1996M,1,31,probe,0.5,above,right,0.5,0.899970075692,0,left,0.356
2018-11-29-09-32-35,DGB1996M,1,32,both,0.5,above,right,0.5,0.924969244461,0.891637019436,right,0.59
2018-11-29-09-32-35,DGB1996M,1,33,probe,1,above,right,0.5,1.31662288851,0,left,0.851
2018-11-29-09-32-35,DGB1996M,1,34,both,1,above,right,0.5,1.1666278759,0.791640344359,right,0.505
2018-11-29-09-32-35,DGB1996M,1,35,probe,0.25,above,right,0.25,1.27495760723,0,left,0.333
2018-11-29-09-32-35,DGB1996M,1,36,both,0.25,above,right,0.25,1.30828983226,0.74164200682,right,1.206
