Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-09-17-10-45-51,EB,1,1,probe,1,above,right,0.25,1.37505863811,0,left,2.346
2018-09-17-10-45-51,EB,1,2,both,1,above,right,0.25,1.4750629027,0.733364606991,right,8.076
2018-09-17-10-45-51,EB,1,3,probe,0.5,above,right,1,1.03337740076,0,right,1.076
2018-09-17-10-45-51,EB,1,4,both,0.5,above,left,1,0.875037315159,0.816701494149,down,0.863
2018-09-17-10-45-51,EB,1,5,probe,0.25,below,left,2,0.825035182865,0,right,0.41
2018-09-17-10-45-51,EB,1,6,both,0.25,below,left,2,1.36672494939,0.800034116717,right,0.606
2018-09-17-10-45-51,EB,1,7,probe,1,below,left,0.5,0.800034116717,0,right,0.377
2018-09-17-10-45-51,EB,1,8,both,1,below,left,0.5,1.45006183655,0.77503305057,down,0.79
2018-09-17-10-45-51,EB,1,9,probe,0,below,left,1,1.14171535407,0,right,0.621
2018-09-17-10-45-51,EB,1,10,both,0,below,left,1,1.01671002333,0.816701494149,right,0.436
2018-09-17-10-45-51,EB,1,11,probe,0,above,left,0.5,1.4250607704,0,right,0.557
2018-09-17-10-45-51,EB,1,12,both,0,above,left,0.5,1.08337953305,0.891704692591,right,0.846
2018-09-17-10-45-51,EB,1,13,probe,1,above,left,2,1.04171108948,0,right,0.396
2018-09-17-10-45-51,EB,1,14,both,1,above,left,2,0.758365673138,0.716697229559,down,1.035
2018-09-17-10-45-51,EB,1,15,probe,0.25,above,left,0.5,0.716697229559,0,left,0.577
2018-09-17-10-45-51,EB,1,16,both,0.25,above,right,0.5,0.883371003875,0.791700428001,right,0.381
2018-09-17-10-45-51,EB,1,17,probe,0,below,right,0.25,1.06671215562,0,right,0.313
2018-09-17-10-45-51,EB,1,18,both,0,below,left,0.25,1.30838912838,0.733364606991,right,1.517
2018-09-17-10-45-51,EB,1,19,probe,0,below,left,0.5,1.1083805992,0,right,0.306
2018-09-17-10-45-51,EB,1,20,both,0,below,left,0.5,1.13338166535,0.758365673138,right,0.609
2018-09-17-10-45-51,EB,1,21,probe,0.5,below,left,1,1.2667206848,0,right,0.234
2018-09-17-10-45-51,EB,1,22,both,0.5,below,left,1,1.01671002333,0.858369937728,down,0.379
2018-09-17-10-45-51,EB,1,23,probe,0.5,above,left,2,0.983375268465,0,left,0.637
2018-09-17-10-45-51,EB,1,24,both,0.5,above,right,2,1.11671428792,0.741698295707,right,0.39
2018-09-17-10-45-51,EB,1,25,probe,0.5,below,right,0.5,1.35005757196,0,right,0.434
2018-09-17-10-45-51,EB,1,26,both,0.5,below,left,0.5,1.39172601554,0.850036249012,down,0.737
2018-09-17-10-45-51,EB,1,27,probe,0,above,left,0.25,0.791700428001,0,right,0.369
2018-09-17-10-45-51,EB,1,28,both,0,above,left,0.25,1.40005970425,0.866703626444,left,0.771
2018-09-17-10-45-51,EB,1,29,probe,0,above,left,1,1.02504371204,0,right,0.588
2018-09-17-10-45-51,EB,1,30,both,0,above,left,1,0.758365673138,0.716697229559,right,0.312
2018-09-17-10-45-51,EB,1,31,probe,0.25,below,left,0.25,1.45839552527,0,right,0.354
