Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-09-14-10-41-07,KK,1,1,probe,0,above,right,0.5,1.34158326594,0,right,0.747
2018-09-14-10-41-07,KK,1,2,both,0,above,left,0.5,1.30825200467,0.81661590100400006,right,1.27
2018-09-14-10-41-07,KK,1,3,probe,0.25,above,left,0.25,1.07493317581,0,right,0.613
2018-09-14-10-41-07,KK,1,4,both,0.25,above,left,0.25,1.39991297315,0.891611238852,left,0.84
2018-09-14-10-41-07,KK,1,5,probe,0.25,below,left,1,1.0166034686,0,right,0.324
2018-09-14-10-41-07,KK,1,6,both,0.25,below,left,1,1.474908311,0.766619009106,down,2.379
2018-09-14-10-41-07,KK,1,7,probe,1,above,left,0.25,1.11659725239,0,right,0.495
2018-09-14-10-41-07,KK,1,8,both,1,above,left,0.25,1.13326288303,0.858279977586,up,3.834
2018-09-14-10-41-07,KK,1,9,probe,0,below,left,1,0.699956486575,0,right,0.372
2018-09-14-10-41-07,KK,1,10,both,0,below,left,1,0.741620563157,0.724954932524,left,1.005
2018-09-14-10-41-07,KK,1,11,probe,1,below,left,0.5,0.899944054168,0,right,0.576
2018-09-14-10-41-07,KK,1,12,both,1,below,left,0.5,1.11659725239,0.733287747841,up,3.116
2018-09-14-10-41-07,KK,1,13,probe,0.5,below,left,0.5,1.20825822087,0,right,0.365
2018-09-14-10-41-07,KK,1,14,both,0.5,below,left,0.5,0.833281531637,0.774951824422,up,3.709
2018-09-14-10-41-07,KK,1,15,probe,1,above,left,0.5,0.783284639739,0,right,0.726
2018-09-14-10-41-07,KK,1,16,both,1,above,left,0.5,0.966606576699,0.716622117208,down,1.51
2018-09-14-10-41-07,KK,1,17,probe,0.5,below,left,1,0.991605022648,0,right,0.616
2018-09-14-10-41-07,KK,1,18,both,0.5,below,left,1,1.12493006771,0.81661590100400006,left,0.98
2018-09-14-10-41-07,KK,1,19,probe,0,above,left,1,1.38324734252,0,left,1.332
2018-09-14-10-41-07,KK,1,20,both,0,above,right,1,0.75828619379,0.81661590100400006,left,0.453
2018-09-14-10-41-07,KK,1,21,probe,0,below,right,0.25,1.49157394163,0,right,0.383
2018-09-14-10-41-07,KK,1,22,both,0,below,left,0.25,1.26658792809,0.774951824422,left,0.966
2018-09-14-10-41-07,KK,1,23,probe,0.25,above,left,0.5,0.833281531637,0,left,0.414
2018-09-14-10-41-07,KK,1,24,both,0.25,above,right,0.5,1.11659725239,0.858279977586,left,1.058
2018-09-14-10-41-07,KK,1,25,probe,0.5,above,right,1,0.799950270371,0,left,0.434
2018-09-14-10-41-07,KK,1,26,both,0.5,above,right,1,0.924942500117,0.733287747841,up,1.958
2018-09-14-10-41-07,KK,1,27,probe,0.25,below,right,0.5,0.841614346953,0,right,0.693
2018-09-14-10-41-07,KK,1,28,both,0.25,below,left,0.5,0.94160813075,0.833281531637,up,1.909
2018-09-14-10-41-07,KK,1,29,probe,0.5,below,left,0.25,0.741620563157,0,right,0.532
2018-09-14-10-41-07,KK,1,30,both,0.5,below,left,0.25,1.3749145272,0.75828619379,up,2.077
2018-09-14-10-41-07,KK,1,31,probe,0.5,above,left,2,1.03326909923,0,left,1.026
2018-09-14-10-41-07,KK,1,32,both,0.5,above,right,2,0.716622117208,0.841614346953,up,1.29
2018-09-14-10-41-07,KK,1,33,probe,1,above,right,2,0.958273761383,0,right,0.38
2018-09-14-10-41-07,KK,1,34,both,1,above,left,2,1.26658792809,0.783284639739,left,0.321
2018-09-14-10-41-07,KK,1,35,probe,0.25,below,left,0.25,1.25825511277,0,left,1.058
2018-09-14-10-41-07,KK,1,36,both,0.25,below,right,0.25,1.03326909923,0.841614346953,down,1.61
2018-09-14-10-41-07,KK,1,37,probe,1,below,right,2,0.966606576699,0,right,0.678
2018-09-14-10-41-07,KK,1,38,both,1,below,left,2,1.20825822087,0.75828619379,up,1.461
2018-09-14-10-41-07,KK,1,39,probe,0.25,above,left,2,1.34991608125,0,left,2.35
2018-09-14-10-41-07,KK,1,40,both,0.25,above,right,2,0.916609684801,0.833281531637,up,1.719
2018-09-14-10-41-07,KK,1,41,probe,0.5,above,right,0.5,1.41657860378,0,right,0.517
2018-09-14-10-41-07,KK,1,42,both,0.5,above,left,0.5,1.49990675695,0.799950270371,left,0.989
2018-09-14-10-41-07,KK,1,43,probe,0.25,above,left,1,1.22492385151,0,left,0.556
2018-09-14-10-41-07,KK,1,44,both,0.25,above,right,1,1.11659725239,0.891611238852,up,1.73
2018-09-14-10-41-07,KK,1,45,probe,0,below,right,0.5,1.29158637404,0,right,0.81
2018-09-14-10-41-07,KK,1,46,both,0,below,left,0.5,1.474908311,0.791617455055,up,1.599
2018-09-14-10-41-07,KK,1,47,probe,0.5,below,left,2,1.40824578847,0,right,0.43
2018-09-14-10-41-07,KK,1,48,both,0.5,below,left,2,1.00827065328,0.883278423535,up,0.811
2018-09-14-10-41-07,KK,1,49,probe,0,above,left,0.25,1.39158015783,0,right,0.34
2018-09-14-10-41-07,KK,1,50,both,0,above,left,0.25,0.699956486575,0.708289301891,left,1.436
2018-09-14-10-41-07,KK,1,51,probe,0,above,left,2,1.02493628391,0,right,0.602
2018-09-14-10-41-07,KK,1,52,both,0,above,left,2,1.44990986505,0.883278423535,left,0.357
2018-09-14-10-41-07,KK,1,53,probe,0,below,left,2,0.908276869484,0,left,1.363
2018-09-14-10-41-07,KK,1,54,both,0,below,right,2,1.45824268036,0.75828619379,left,0.762
2018-09-14-10-41-07,KK,1,55,probe,0.5,above,right,0.25,1.45824268036,0,left,0.294
2018-09-14-10-41-07,KK,1,56,both,0.5,above,right,0.25,0.741620563157,0.799950270371,up,2.053
2018-09-14-10-41-07,KK,1,57,probe,1,above,right,1,0.991605022648,0,right,0.537
2018-09-14-10-41-07,KK,1,58,both,1,above,left,1,1.46657549568,0.799950270371,left,0.316
2018-09-14-10-41-07,KK,1,59,probe,1,below,left,0.25,0.81661590100400006,0,right,0.317
2018-09-14-10-41-07,KK,1,60,both,1,below,left,0.25,1.44157704973,0.783284639739,left,1.861
2018-09-14-10-41-07,KK,1,61,probe,0.25,below,left,2,0.991605022648,0,left,0.664
2018-09-14-10-41-07,KK,1,62,both,0.25,below,right,2,1.474908311,0.81661590100400006,right,0.614
2018-09-14-10-41-07,KK,1,63,probe,1,below,right,1,0.891611238852,0,right,0.871
2018-09-14-10-41-07,KK,1,64,both,1,below,left,1,1.03326909923,0.883278423535,left,1.449
2018-09-14-10-41-07,KK,2,1,probe,1,below,left,1,1.02493628391,0,right,0.677
2018-09-14-10-41-07,KK,2,2,both,1,below,left,1,1.07493317581,0.708289301891,up,1.832
2018-09-14-10-41-07,KK,2,3,probe,0,above,left,2,1.19159259024,0,right,0.518
2018-09-14-10-41-07,KK,2,4,both,0,above,left,2,0.81661590100400006,0.833281531637,left,0.294
2018-09-14-10-41-07,KK,2,5,probe,1,above,left,0.5,0.749953378473,0,left,0.583
2018-09-14-10-41-07,KK,2,6,both,1,above,right,0.5,1.13326288303,0.733287747841,up,2.256
2018-09-14-10-41-07,KK,2,7,probe,0.25,above,right,1,0.899944054168,0,right,0.793
2018-09-14-10-41-07,KK,2,8,both,0.25,above,left,1,0.908276869484,0.733287747841,left,0.724
2018-09-14-10-41-07,KK,2,9,probe,0.25,below,left,0.25,1.34991608125,0,left,1.069
2018-09-14-10-41-07,KK,2,10,both,0.25,below,right,0.25,0.933275315433,0.858279977586,down,1.446
2018-09-14-10-41-07,KK,2,11,probe,0.5,below,right,1,1.14159569834,0,left,0.515
2018-09-14-10-41-07,KK,2,12,both,0.5,below,right,1,1.16659414429,0.783284639739,down,0.941
2018-09-14-10-41-07,KK,2,13,probe,0,above,right,1,0.883278423535,0,left,0.848
2018-09-14-10-41-07,KK,2,14,both,0,above,right,1,1.17492695961,0.899944054168,left,0.597
2018-09-14-10-41-07,KK,2,15,probe,0.5,below,right,0.25,1.05826754518,0,right,1.126
2018-09-14-10-41-07,KK,2,16,both,0.5,below,left,0.25,0.899944054168,0.75828619379,up,2.095
2018-09-14-10-41-07,KK,2,17,probe,0.25,above,left,0.25,1.29158637404,0,left,0.884
2018-09-14-10-41-07,KK,2,18,both,0.25,above,right,0.25,1.35824889657,0.866612792902,up,1.802
2018-09-14-10-41-07,KK,2,19,probe,0.5,above,right,0.5,1.04993472986,0,left,0.483
2018-09-14-10-41-07,KK,2,20,both,0.5,above,right,0.5,1.33325045062,0.733287747841,up,0.997
2018-09-14-10-41-07,KK,2,21,probe,1,above,right,1,0.949940946066,0,left,0.274
2018-09-14-10-41-07,KK,2,22,both,1,above,right,1,1.2749207434,0.774951824422,up,0.433
2018-09-14-10-41-07,KK,2,23,probe,0.25,below,right,2,1.02493628391,0,right,0.515
2018-09-14-10-41-07,KK,2,24,both,0.25,below,left,2,1.44990986505,0.749953378473,left,0.458
2018-09-14-10-41-07,KK,2,25,probe,0.25,below,left,0.5,0.949940946066,0,right,0.698
2018-09-14-10-41-07,KK,2,26,both,0.25,below,left,0.5,0.716622117208,0.866612792902,up,2.277
2018-09-14-10-41-07,KK,2,27,probe,1,below,left,2,1.30825200467,0,right,0.619
2018-09-14-10-41-07,KK,2,28,both,1,below,left,2,1.05826754518,0.833281531637,up,0.677
2018-09-14-10-41-07,KK,2,29,probe,0.25,above,left,0.5,1.08326599113,0,left,0.746
2018-09-14-10-41-07,KK,2,30,both,0.25,above,right,0.5,1.10826443708,0.749953378473,up,1.924
2018-09-14-10-41-07,KK,2,31,probe,0.25,above,right,2,0.866612792902,0,right,0.803
2018-09-14-10-41-07,KK,2,32,both,0.25,above,left,2,1.0166034686,0.841614346953,down,0.489
2018-09-14-10-41-07,KK,2,33,probe,1,below,left,0.5,1.03326909923,0,right,0.688
2018-09-14-10-41-07,KK,2,34,both,1,below,left,0.5,0.749953378473,0.699956486575,up,1.496
2018-09-14-10-41-07,KK,2,35,probe,0.5,below,left,2,1.00827065328,0,right,0.525
2018-09-14-10-41-07,KK,2,36,both,0.5,below,left,2,0.774951824422,0.808283085688,up,0.527
2018-09-14-10-41-07,KK,2,37,probe,1,above,left,2,0.94160813075,0,left,0.861
2018-09-14-10-41-07,KK,2,38,both,1,above,right,2,1.07493317581,0.75828619379,up,0.846
2018-09-14-10-41-07,KK,2,39,probe,0,below,right,0.25,1.44157704973,0,right,0.523
2018-09-14-10-41-07,KK,2,40,both,0,below,left,0.25,1.39991297315,0.749953378473,up,1.959
2018-09-14-10-41-07,KK,2,41,probe,0.5,above,left,0.25,1.09159880644,0,right,1.203
2018-09-14-10-41-07,KK,2,42,both,0.5,above,left,0.25,1.44990986505,0.824948716321,left,1.163
2018-09-14-10-41-07,KK,2,43,probe,0.5,above,left,2,0.75828619379,0,right,0.466
2018-09-14-10-41-07,KK,2,44,both,0.5,above,left,2,1.00827065328,0.774951824422,down,1.302
2018-09-14-10-41-07,KK,2,45,probe,0,below,left,2,1.3749145272,0,right,0.478
2018-09-14-10-41-07,KK,2,46,both,0,below,left,2,1.0166034686,0.824948716321,right,0.365
2018-09-14-10-41-07,KK,2,47,probe,0,above,left,0.25,1.34158326594,0,right,0.477
2018-09-14-10-41-07,KK,2,48,both,0,above,left,0.25,0.841614346953,0.84994716227,down,1.48
2018-09-14-10-41-07,KK,2,49,probe,0.25,below,left,1,1.03326909923,0,right,0.46
2018-09-14-10-41-07,KK,2,50,both,0.25,below,left,1,0.933275315433,0.891611238852,right,0.449
2018-09-14-10-41-07,KK,2,51,probe,0,below,left,0.5,0.741620563157,0,left,0.749
2018-09-14-10-41-07,KK,2,52,both,0,below,right,0.5,1.05826754518,0.899944054168,right,0.382
2018-09-14-10-41-07,KK,2,53,probe,0.5,below,right,0.5,0.966606576699,0,right,0.329
2018-09-14-10-41-07,KK,2,54,both,0.5,below,left,0.5,0.808283085688,0.866612792902,up,1.619
2018-09-14-10-41-07,KK,2,55,probe,1,above,left,0.25,1.41657860378,0,right,0.404
2018-09-14-10-41-07,KK,2,56,both,1,above,left,0.25,0.783284639739,0.783284639739,down,1.224
2018-09-14-10-41-07,KK,2,57,probe,0.5,above,left,1,0.899944054168,0,right,1.135
2018-09-14-10-41-07,KK,2,58,both,0.5,above,left,1,1.24158948214,0.84994716227,down,0.947
2018-09-14-10-41-07,KK,2,59,probe,0,above,left,0.5,1.40824578847,0,right,0.412
2018-09-14-10-41-07,KK,2,60,both,0,above,left,0.5,1.00827065328,0.749953378473,left,0.869
2018-09-14-10-41-07,KK,2,61,probe,0,below,left,1,0.84994716227,0,right,0.961
2018-09-14-10-41-07,KK,2,62,both,0,below,left,1,1.14159569834,0.81661590100400006,right,0.426
2018-09-14-10-41-07,KK,2,63,probe,1,below,left,0.25,1.26658792809,0,right,0.646
2018-09-14-10-41-07,KK,2,64,both,1,below,left,0.25,1.07493317581,0.874945608219,up,1.481
2018-09-14-10-41-07,KK,3,1,probe,1,above,left,2,0.824948716321,0,right,0.279
2018-09-14-10-41-07,KK,3,2,both,1,above,left,2,1.09993162176,0.84994716227,down,0.511
2018-09-14-10-41-07,KK,3,3,probe,0,below,left,0.25,1.26658792809,0,right,0.409
2018-09-14-10-41-07,KK,3,4,both,0,below,left,0.25,1.39158015783,0.774951824422,left,1.944
2018-09-14-10-41-07,KK,3,5,probe,0.25,below,left,1,1.45824268036,0,right,0.375
2018-09-14-10-41-07,KK,3,6,both,0.25,below,left,1,1.03326909923,0.749953378473,right,1.098
2018-09-14-10-41-07,KK,3,7,probe,0.5,above,left,0.25,0.791617455055,0,left,0.322
2018-09-14-10-41-07,KK,3,8,both,0.5,above,right,0.25,1.10826443708,0.733287747841,up,1.306
2018-09-14-10-41-07,KK,3,9,probe,0,above,right,2,1.08326599113,0,left,0.675
2018-09-14-10-41-07,KK,3,10,both,0,above,right,2,1.3249176353,0.724954932524,right,0.405
2018-09-14-10-41-07,KK,3,11,probe,0.5,above,right,2,0.983272207332,0,right,0.366
2018-09-14-10-41-07,KK,3,12,both,0.5,above,left,2,1.39991297315,0.841614346953,down,0.485
2018-09-14-10-41-07,KK,3,13,probe,0.5,below,left,0.5,1.08326599113,0,right,0.759
2018-09-14-10-41-07,KK,3,14,both,0.5,below,left,0.5,1.18325977492,0.75828619379,right,2.219
2018-09-14-10-41-07,KK,3,15,probe,0,above,left,0.25,1.0666003605,0,right,0.436
2018-09-14-10-41-07,KK,3,16,both,0,above,left,0.25,0.983272207332,0.841614346953,down,1.301
2018-09-14-10-41-07,KK,3,17,probe,0,below,left,2,0.866612792902,0,right,0.831
2018-09-14-10-41-07,KK,3,18,both,0,below,left,2,1.34158326594,0.749953378473,down,0.303
2018-09-14-10-41-07,KK,3,19,probe,1,above,left,0.25,0.908276869484,0,right,0.527
2018-09-14-10-41-07,KK,3,20,both,1,above,left,0.25,1.35824889657,0.716622117208,down,3.688
2018-09-14-10-41-07,KK,3,21,probe,1,below,left,0.5,1.29158637404,0,right,0.729
2018-09-14-10-41-07,KK,3,22,both,1,below,left,0.5,0.749953378473,0.866612792902,up,0.789
2018-09-14-10-41-07,KK,3,23,probe,0.25,below,left,2,1.19992540556,0,right,0.451
2018-09-14-10-41-07,KK,3,24,both,0.25,below,left,2,1.24992229746,0.75828619379,right,0.329
2018-09-14-10-41-07,KK,3,25,probe,0.5,below,left,2,1.24158948214,0,left,0.91
2018-09-14-10-41-07,KK,3,26,both,0.5,below,right,2,1.19159259024,0.824948716321,down,0.404
2018-09-14-10-41-07,KK,3,27,probe,0.25,above,right,0.5,0.866612792902,0,right,2.867
2018-09-14-10-41-07,KK,3,28,both,0.25,above,left,0.5,0.991605022648,0.824948716321,down,2.67
2018-09-14-10-41-07,KK,3,29,probe,0,above,left,1,1.10826443708,0,right,0.385
2018-09-14-10-41-07,KK,3,30,both,0,above,left,1,1.39158015783,0.791617455055,up,1.866
2018-09-14-10-41-07,KK,3,31,probe,1,above,left,0.5,0.81661590100400006,0,right,0.297
2018-09-14-10-41-07,KK,3,32,both,1,above,left,0.5,1.474908311,0.724954932524,down,2.815
2018-09-14-10-41-07,KK,3,33,probe,0,below,left,0.5,1.14159569834,0,left,0.457
2018-09-14-10-41-07,KK,3,34,both,0,below,right,0.5,0.974939392015,0.724954932524,down,1.973
2018-09-14-10-41-07,KK,3,35,probe,1,below,right,2,0.783284639739,0,left,2.138
2018-09-14-10-41-07,KK,3,36,both,1,below,right,2,1.49157394163,0.708289301891,up,1.682
2018-09-14-10-41-07,KK,3,37,probe,0.5,below,right,0.25,1.474908311,0,left,0.718
2018-09-14-10-41-07,KK,3,38,both,0.5,below,right,0.25,1.3749145272,0.774951824422,down,2.099
2018-09-14-10-41-07,KK,3,39,probe,0.5,above,right,1,0.81661590100400006,0,right,0.45
2018-09-14-10-41-07,KK,3,40,both,0.5,above,left,1,1.24992229746,0.774951824422,left,0.317
2018-09-14-10-41-07,KK,3,41,probe,0.5,above,left,0.5,0.891611238852,0,right,0.444
2018-09-14-10-41-07,KK,3,42,both,0.5,above,left,0.5,1.04160191455,0.899944054168,down,1.567
2018-09-14-10-41-07,KK,3,43,probe,1,below,left,0.25,1.04993472986,0,right,1.988
2018-09-14-10-41-07,KK,3,44,both,1,below,left,0.25,0.983272207332,0.774951824422,down,3.181
2018-09-14-10-41-07,KK,3,45,probe,0.25,below,left,0.25,1.3749145272,0,right,0.596
2018-09-14-10-41-07,KK,3,46,both,0.25,below,left,0.25,1.22492385151,0.791617455055,down,2.409
2018-09-14-10-41-07,KK,3,47,probe,0,above,left,0.5,0.824948716321,0,right,0.334
2018-09-14-10-41-07,KK,3,48,both,0,above,left,0.5,0.908276869484,0.741620563157,left,0.546
2018-09-14-10-41-07,KK,3,49,probe,0.25,above,left,2,1.17492695961,0,left,0.241
2018-09-14-10-41-07,KK,3,50,both,0.25,above,right,2,0.84994716227,0.716622117208,down,1.089
2018-09-14-10-41-07,KK,3,51,probe,0.5,below,right,1,0.783284639739,0,right,0.816
2018-09-14-10-41-07,KK,3,52,both,0.5,below,left,1,1.43324423442,0.824948716321,down,2.69
2018-09-14-10-41-07,KK,3,53,probe,0,below,left,1,1.14992851366,0,left,1.169
2018-09-14-10-41-07,KK,3,54,both,0,below,right,1,0.958273761383,0.741620563157,left,0.811
2018-09-14-10-41-07,KK,3,55,probe,0.25,above,right,0.25,0.883278423535,0,left,0.301
2018-09-14-10-41-07,KK,3,56,both,0.25,above,right,0.25,1.34991608125,0.799950270371,right,1.683
2018-09-14-10-41-07,KK,3,57,probe,1,above,right,1,0.908276869484,0,left,0.37
2018-09-14-10-41-07,KK,3,58,both,1,above,right,1,0.783284639739,0.791617455055,down,2.568
2018-09-14-10-41-07,KK,3,59,probe,0.25,above,right,1,1.19159259024,0,left,1.418
2018-09-14-10-41-07,KK,3,60,both,0.25,above,right,1,1.474908311,0.741620563157,up,2.082
2018-09-14-10-41-07,KK,3,61,probe,0.25,below,right,0.5,0.874945608219,0,right,1.419
2018-09-14-10-41-07,KK,3,62,both,0.25,below,left,0.5,1.11659725239,0.733287747841,down,3.109
2018-09-14-10-41-07,KK,3,63,probe,1,below,left,1,1.03326909923,0,right,1.102
2018-09-14-10-41-07,KK,3,64,both,1,below,left,1,1.39158015783,0.84994716227,up,2.015
2018-09-14-10-41-07,KK,4,1,probe,1,below,left,0.25,0.733287747841,0,right,0.609
2018-09-14-10-41-07,KK,4,2,both,1,below,left,0.25,0.908276869484,0.841614346953,down,1.169
2018-09-14-10-41-07,KK,4,3,probe,1,below,left,0.5,1.04160191455,0,right,0.243
2018-09-14-10-41-07,KK,4,4,both,1,below,left,0.5,1.05826754518,0.841614346953,down,0.394
