Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-23-12-30-06,VP161996m,1,1,probe,0.25,below,right,0.5,1.38291237979,0,right,0.887
2018-11-23-12-30-06,VP161996m,1,2,both,0.25,below,left,0.5,1.13298845573,0.824748949393,left,0.327
2018-11-23-12-30-06,VP161996m,1,3,probe,0,below,left,1,1.45788955701,0,right,0.263
2018-11-23-12-30-06,VP161996m,1,4,both,0,below,left,1,1.02468808864,0.791425759519,right,1.24
2018-11-23-12-30-06,VP161996m,1,5,probe,0.25,above,left,0.25,1.45788955701,0,left,0.308
2018-11-23-12-30-06,VP161996m,1,6,both,0.25,above,right,0.25,0.791425759519,0.808087354456,right,14.657
2018-11-23-12-30-06,VP161996m,1,7,probe,0.25,above,right,2,0.883064531674,0,left,0.454
2018-11-23-12-30-06,VP161996m,1,8,both,0.25,above,right,2,1.03301888611,0.758102569645,down,0.733
2018-11-23-12-30-06,VP161996m,1,9,probe,1,below,right,2,0.774764164582,0,right,0.365
2018-11-23-12-30-06,VP161996m,1,10,both,1,below,left,2,0.866402936737,0.774764164582,left,0.257
2018-11-23-12-30-06,VP161996m,1,11,probe,0,below,left,0.5,0.774764164582,0,left,0.52
2018-11-23-12-30-06,VP161996m,1,12,both,0,below,right,0.5,1.09966526586,0.899726126611,right,0.237
2018-11-23-12-30-06,VP161996m,1,13,probe,0.5,below,right,0.5,0.899726126611,0,right,0.581
2018-11-23-12-30-06,VP161996m,1,14,both,0.5,below,left,0.5,1.12465765826,0.78309496205,down,0.727
2018-11-23-12-30-06,VP161996m,1,15,probe,1,above,left,0.5,0.808087354456,0,left,0.368
2018-11-23-12-30-06,VP161996m,1,16,both,1,above,right,0.5,0.833079746862,0.78309496205,right,0.298
2018-11-23-12-30-06,VP161996m,1,17,probe,0.25,below,right,1,1.39957397473,0,right,0.431
2018-11-23-12-30-06,VP161996m,1,18,both,0.25,below,left,1,1.32459679751,0.749771772176,down,0.863
2018-11-23-12-30-06,VP161996m,1,19,probe,0.5,above,left,0.5,1.36625078485,0,left,0.358
2018-11-23-12-30-06,VP161996m,1,20,both,0.5,above,right,0.5,1.13298845573,0.858072139268,right,7.403
2018-11-23-12-30-06,VP161996m,1,21,probe,0,below,right,2,1.39124317726,0,right,0.316
2018-11-23-12-30-06,VP161996m,1,22,both,0,below,left,2,1.31626600004,0.72477937977,right,0.446
2018-11-23-12-30-06,VP161996m,1,23,probe,1,above,left,2,1.34958918992,0,left,0.271
2018-11-23-12-30-06,VP161996m,1,24,both,1,above,right,2,1.06634207598,0.799756556988,right,0.274
2018-11-23-12-30-06,VP161996m,1,25,probe,1,above,right,1,0.78309496205,0,right,0.337
2018-11-23-12-30-06,VP161996m,1,26,both,1,above,left,1,1.2996044051,0.708117784833,down,0.821
2018-11-23-12-30-06,VP161996m,1,27,probe,0.5,below,left,1,1.39124317726,0,right,0.307
2018-11-23-12-30-06,VP161996m,1,28,both,0.5,below,left,1,0.791425759519,0.899726126611,down,0.79
2018-11-23-12-30-06,VP161996m,1,29,probe,0,below,left,0.25,0.708117784833,0,right,0.488
2018-11-23-12-30-06,VP161996m,1,30,both,0,below,left,0.25,0.866402936737,0.708117784833,down,0.866
2018-11-23-12-30-06,VP161996m,1,31,probe,0.5,above,left,2,1.1163268608,0,left,0.4
2018-11-23-12-30-06,VP161996m,1,32,both,0.5,above,right,2,1.21629643042,0.841410544331,right,0.227
2018-11-23-12-30-06,VP161996m,1,33,probe,0,above,right,0.5,1.03301888611,0,left,2.205
2018-11-23-12-30-06,VP161996m,1,34,both,0,above,right,0.5,0.849741341799,0.883064531674,right,0.528
2018-11-23-12-30-06,VP161996m,1,35,probe,0.5,below,right,0.25,1.17464244308,0,right,0.269
2018-11-23-12-30-06,VP161996m,1,36,both,0.5,below,left,0.25,0.891395329142,0.891395329142,left,0.413
2018-11-23-12-30-06,VP161996m,1,37,probe,0.5,above,left,1,1.49121274688,0,left,0.352
2018-11-23-12-30-06,VP161996m,1,38,both,0.5,above,right,1,1.18297324054,0.891395329142,right,0.294
2018-11-23-12-30-06,VP161996m,1,39,probe,0,above,right,1,0.983034101297,0,left,0.386
2018-11-23-12-30-06,VP161996m,1,40,both,0,above,right,1,1.1413192532,0.733110177239,left,0.365
2018-11-23-12-30-06,VP161996m,1,41,probe,0,above,right,0.25,1.2746120127,0,left,0.864
2018-11-23-12-30-06,VP161996m,1,42,both,0,above,right,0.25,0.916387721548,0.766433367113,right,0.715
2018-11-23-12-30-06,VP161996m,1,43,probe,0.25,below,right,2,0.916387721548,0,right,0.453
2018-11-23-12-30-06,VP161996m,1,44,both,0.25,below,left,2,1.31626600004,0.833079746862,down,1.335
2018-11-23-12-30-06,VP161996m,1,45,probe,0.5,below,left,2,1.30793520257,0,right,0.554
2018-11-23-12-30-06,VP161996m,1,46,both,0.5,below,left,2,1.2746120127,0.741440974707,left,1.313
2018-11-23-12-30-06,VP161996m,1,47,probe,1,below,left,1,0.958041708891,0,right,0.786
2018-11-23-12-30-06,VP161996m,1,48,both,1,below,left,1,0.733110177239,0.808087354456,left,0.282
2018-11-23-12-30-06,VP161996m,1,49,probe,1,above,left,0.25,1.2746120127,0,left,0.236
2018-11-23-12-30-06,VP161996m,1,50,both,1,above,right,0.25,1.44122796207,0.758102569645,right,0.256
2018-11-23-12-30-06,VP161996m,1,51,probe,0.25,above,right,0.5,1.03301888611,0,left,0.202
2018-11-23-12-30-06,VP161996m,1,52,both,0.25,above,right,0.5,1.06634207598,0.899726126611,right,0.45
2018-11-23-12-30-06,VP161996m,1,53,probe,0.25,below,right,0.25,1.1163268608,0,right,0.276
2018-11-23-12-30-06,VP161996m,1,54,both,0.25,below,left,0.25,1.13298845573,0.733110177239,left,0.317
2018-11-23-12-30-06,VP161996m,1,55,probe,1,below,left,0.5,1.34125839245,0,right,0.239
2018-11-23-12-30-06,VP161996m,1,56,both,1,below,left,0.5,1.48288194941,0.858072139268,down,0.953
2018-11-23-12-30-06,VP161996m,1,57,probe,0.5,above,left,0.25,1.28294281017,0,left,1.201
2018-11-23-12-30-06,VP161996m,1,58,both,0.5,above,right,0.25,1.08300367092,0.891395329142,down,1.088
2018-11-23-12-30-06,VP161996m,1,59,probe,1,below,right,0.25,1.32459679751,0,right,0.277
2018-11-23-12-30-06,VP161996m,1,60,both,1,below,left,0.25,1.12465765826,0.799756556988,left,0.364
2018-11-23-12-30-06,VP161996m,1,61,probe,0.25,above,left,1,0.841410544331,0,left,0.289
2018-11-23-12-30-06,VP161996m,1,62,both,0.25,above,right,1,1.36625078485,0.716448582301,left,0.536
2018-11-23-12-30-06,VP161996m,1,63,probe,0,above,right,2,0.708117784833,0,left,0.386
2018-11-23-12-30-06,VP161996m,1,64,both,0,above,right,2,1.24128882282,0.78309496205,left,0.308
2018-11-23-12-30-06,VP161996m,2,1,probe,0,above,right,0.5,0.824748949393,0,left,0.504
2018-11-23-12-30-06,VP161996m,2,2,both,0,above,right,0.5,1.10799606333,0.858072139268,right,1.07
2018-11-23-12-30-06,VP161996m,2,3,probe,1,below,right,2,1.03301888611,0,right,2.752
2018-11-23-12-30-06,VP161996m,2,4,both,1,below,left,2,1.21629643042,0.808087354456,left,0.603
2018-11-23-12-30-06,VP161996m,2,5,probe,0.5,below,left,2,1.0080264937,0,right,0.295
2018-11-23-12-30-06,VP161996m,2,6,both,0.5,below,left,2,1.32459679751,0.708117784833,left,0.213
2018-11-23-12-30-06,VP161996m,2,7,probe,0.5,below,left,0.25,1.39957397473,0,left,0.275
2018-11-23-12-30-06,VP161996m,2,8,both,0.5,below,right,0.25,1.48288194941,0.733110177239,down,0.803
2018-11-23-12-30-06,VP161996m,2,9,probe,0.25,above,right,0.5,1.09966526586,0,left,0.204
2018-11-23-12-30-06,VP161996m,2,10,both,0.25,above,right,0.5,0.849741341799,0.749771772176,unclear,2.876
2018-11-23-12-30-06,VP161996m,2,11,probe,0.5,above,right,2,0.774764164582,0,left,0.229
2018-11-23-12-30-06,VP161996m,2,12,both,0.5,above,right,2,1.0080264937,0.883064531674,down,1.263
2018-11-23-12-30-06,VP161996m,2,13,probe,1,above,right,2,1.46622035448,0,left,0.226
2018-11-23-12-30-06,VP161996m,2,14,both,1,above,right,2,1.30793520257,0.858072139268,down,0.781
2018-11-23-12-30-06,VP161996m,2,15,probe,0.25,below,right,0.5,0.949710911423,0,left,0.328
2018-11-23-12-30-06,VP161996m,2,16,both,0.25,below,right,0.5,1.08300367092,0.841410544331,unclear,1.18
2018-11-23-12-30-06,VP161996m,2,17,probe,0,above,right,0.25,1.13298845573,0,left,0.39
2018-11-23-12-30-06,VP161996m,2,18,both,0,above,right,0.25,1.31626600004,0.758102569645,unclear,1.007
2018-11-23-12-30-06,VP161996m,2,19,probe,0,above,right,1,1.25795041776,0,left,0.215
2018-11-23-12-30-06,VP161996m,2,20,both,0,above,right,1,1.1413192532,0.891395329142,left,0.229
2018-11-23-12-30-06,VP161996m,2,21,probe,1,below,right,0.5,1.46622035448,0,left,0.334
2018-11-23-12-30-06,VP161996m,2,22,both,1,below,right,0.5,1.26628121523,0.841410544331,down,0.687
2018-11-23-12-30-06,VP161996m,2,23,probe,0.25,below,right,2,1.04134968358,0,left,0.62
2018-11-23-12-30-06,VP161996m,2,24,both,0.25,below,right,2,0.758102569645,0.774764164582,right,0.946
2018-11-23-12-30-06,VP161996m,2,25,probe,0,below,right,1,0.833079746862,0,left,0.412
