Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-10-29-09-15-19,VP198w,1,1,probe,0,above,right,0.5,1.22452097456,0,left,0.933
2018-10-29-09-15-19,VP198w,1,2,both,0,above,right,0.5,0.824677391029,0.882987913627,down,1.161
2018-10-29-09-15-19,VP198w,1,3,probe,1,below,right,2,0.966288660196,0,left,0.725
2018-10-29-09-15-19,VP198w,1,4,both,1,below,right,2,0.71638642049,0.708056345833,down,0.764
2018-10-29-09-15-19,VP198w,1,5,probe,1,below,right,0.5,1.38279239304,0,left,0.793
2018-10-29-09-15-19,VP198w,1,6,both,1,below,right,0.5,0.924638286911,0.71638642049,down,0.859
2018-10-29-09-15-19,VP198w,1,7,probe,0.5,above,right,2,1.30782172113,0,left,0.62
2018-10-29-09-15-19,VP198w,1,8,both,0.5,above,right,2,1.23285104922,0.849667615,right,0.587
2018-10-29-09-15-19,VP198w,1,9,probe,0.25,above,right,0.5,1.2161908999,0,left,0.678
2018-10-29-09-15-19,VP198w,1,10,both,0.25,above,right,0.5,0.999608958823,0.833007465686,down,0.681
2018-10-29-09-15-19,VP198w,1,11,probe,0.25,below,right,0.25,1.29949164647,0,left,0.455
2018-10-29-09-15-19,VP198w,1,12,both,0.25,below,right,0.25,1.29949164647,0.841337540343,down,1.178
2018-10-29-09-15-19,VP198w,1,13,probe,0,above,right,2,0.857997689656,0,left,0.519
2018-10-29-09-15-19,VP198w,1,14,both,0,above,right,2,1.19953075059,0.708056345833,left,0.487
2018-10-29-09-15-19,VP198w,1,15,probe,0.5,below,right,0.25,1.26617134784,0,left,0.565
2018-10-29-09-15-19,VP198w,1,16,both,0.5,below,right,0.25,1.22452097456,0.816347316372,down,1.476
2018-10-29-09-15-19,VP198w,1,17,probe,0.25,below,right,1,0.708056345833,0,left,0.731
2018-10-29-09-15-19,VP198w,1,18,both,0.25,below,right,1,0.74137664446,0.791357092402,down,1.43
2018-10-29-09-15-19,VP198w,1,19,probe,0,below,right,0.5,1.49941343823,0,left,0.585
2018-10-29-09-15-19,VP198w,1,20,both,0,below,right,0.5,0.882987913627,0.891317988284,left,2.026
2018-10-29-09-15-19,VP198w,1,21,probe,1,above,right,0.5,0.783027017745,0,right,0.656
2018-10-29-09-15-19,VP198w,1,22,both,1,above,left,0.5,1.14122022799,0.791357092402,left,0.498
2018-10-29-09-15-19,VP198w,1,23,probe,1,above,left,0.25,1.26617134784,0,right,0.398
2018-10-29-09-15-19,VP198w,1,24,both,1,above,left,0.25,0.924638286911,0.849667615,left,0.641
2018-10-29-09-15-19,VP198w,1,25,probe,0,below,left,2,1.45776306495,0,left,0.385
2018-10-29-09-15-19,VP198w,1,26,both,0,below,right,2,1.26617134784,0.799687167058,right,0.618
2018-10-29-09-15-19,VP198w,1,27,probe,1,below,right,0.25,1.32448187044,0,left,0.326
2018-10-29-09-15-19,VP198w,1,28,both,1,below,right,0.25,1.19953075059,0.799687167058,down,0.573
2018-10-29-09-15-19,VP198w,1,29,probe,0.5,below,right,2,0.774696943088,0,left,0.258
2018-10-29-09-15-19,VP198w,1,30,both,0.5,below,right,2,0.957958585539,0.891317988284,right,0.684
2018-10-29-09-15-19,VP198w,1,31,probe,0.5,above,right,0.25,1.25784127319,0,left,0.587
2018-10-29-09-15-19,VP198w,1,32,both,0.5,above,right,0.25,1.03292925745,0.758036793774,down,0.608
2018-10-29-09-15-19,VP198w,1,33,probe,0,above,right,0.25,0.791357092402,0,right,0.489
2018-10-29-09-15-19,VP198w,1,34,both,0,above,left,0.25,1.32448187044,0.87465783897,left,1.558
2018-10-29-09-15-19,VP198w,1,35,probe,0.25,below,left,2,1.49108336358,0,left,0.275
2018-10-29-09-15-19,VP198w,1,36,both,0.25,below,right,2,1.29949164647,0.841337540343,down,0.549
2018-10-29-09-15-19,VP198w,1,37,probe,0.25,above,right,2,1.34114201975,0,right,0.336
2018-10-29-09-15-19,VP198w,1,38,both,0.25,above,left,2,0.949628510882,0.799687167058,left,0.437
2018-10-29-09-15-19,VP198w,1,39,probe,0.5,above,left,0.5,0.816347316372,0,right,0.262
2018-10-29-09-15-19,VP198w,1,40,both,0.5,above,left,0.5,1.44110291564,0.774696943088,down,0.598
2018-10-29-09-15-19,VP198w,1,41,probe,0,below,left,1,1.01626910814,0,left,0.351
2018-10-29-09-15-19,VP198w,1,42,both,0,below,right,1,1.26617134784,0.799687167058,left,0.607
2018-10-29-09-15-19,VP198w,1,43,probe,0.5,below,right,1,1.03292925745,0,left,2.027
2018-10-29-09-15-19,VP198w,1,44,both,0.5,below,right,1,0.849667615,0.866327764313,down,0.57
2018-10-29-09-15-19,VP198w,1,45,probe,0.25,above,right,0.25,1.49108336358,0,right,0.438
2018-10-29-09-15-19,VP198w,1,46,both,0.25,above,left,0.25,0.816347316372,0.774696943088,down,0.702
2018-10-29-09-15-19,VP198w,1,47,probe,1,above,left,2,0.866327764313,0,right,0.848
2018-10-29-09-15-19,VP198w,1,48,both,1,above,left,2,1.29116157181,0.708056345833,down,0.516
2018-10-29-09-15-19,VP198w,1,49,probe,0.5,above,left,1,0.774696943088,0,right,0.342
2018-10-29-09-15-19,VP198w,1,50,both,0.5,above,left,1,1.14955030265,0.74137664446,down,0.771
2018-10-29-09-15-19,VP198w,1,51,probe,0.5,below,left,0.5,0.991278884166,0,left,0.637
2018-10-29-09-15-19,VP198w,1,52,both,0.5,below,right,0.5,1.34114201975,0.849667615,down,1.103
2018-10-29-09-15-19,VP198w,1,53,probe,1,above,right,1,1.23285104922,0,right,0.193
2018-10-29-09-15-19,VP198w,1,54,both,1,above,left,1,1.49108336358,0.699726271176,down,0.714
2018-10-29-09-15-19,VP198w,1,55,probe,0,below,left,0.25,0.866327764313,0,left,0.222
2018-10-29-09-15-19,VP198w,1,56,both,0,below,right,0.25,1.04125933211,0.841337540343,down,0.606
2018-10-29-09-15-19,VP198w,1,57,probe,1,below,right,1,1.07457963073,0,left,0.241
2018-10-29-09-15-19,VP198w,1,58,both,1,below,right,1,0.766366868431,0.841337540343,down,0.713
2018-10-29-09-15-19,VP198w,1,59,probe,0.25,above,right,1,1.1578803773,0,left,0.32
2018-10-29-09-15-19,VP198w,1,60,both,0.25,above,right,1,1.37446231838,0.833007465686,right,0.521
2018-10-29-09-15-19,VP198w,1,61,probe,0,above,right,1,0.974618734852,0,right,0.246
2018-10-29-09-15-19,VP198w,1,62,both,0,above,left,1,0.783027017745,0.866327764313,left,1.376
2018-10-29-09-15-19,VP198w,1,63,probe,0.25,below,left,0.5,1.34947209441,0,left,0.254
2018-10-29-09-15-19,VP198w,1,64,both,0.25,below,right,0.5,1.40778261701,0.766366868431,down,0.75
2018-10-29-09-15-19,VP198w,2,1,probe,0,below,right,2,0.74137664446,0,left,0.432
2018-10-29-09-15-19,VP198w,2,2,both,0,below,right,2,0.87465783897,0.791357092402,left,0.482
2018-10-29-09-15-19,VP198w,2,3,probe,1,above,right,1,1.02459918279,0,left,0.493
2018-10-29-09-15-19,VP198w,2,4,both,1,above,right,1,1.09123978005,0.841337540343,right,0.529
2018-10-29-09-15-19,VP198w,2,5,probe,0.5,above,right,0.5,1.3911224677,0,right,0.344
2018-10-29-09-15-19,VP198w,2,6,both,0.5,above,left,0.5,1.47442321426,0.699726271176,down,0.674
2018-10-29-09-15-19,VP198w,2,7,probe,0.25,below,left,0.5,0.924638286911,0,left,0.725
2018-10-29-09-15-19,VP198w,2,8,both,0.25,below,right,0.5,1.36613224372,0.791357092402,down,0.864
2018-10-29-09-15-19,VP198w,2,9,probe,0.25,above,right,2,0.749706719117,0,right,0.331
2018-10-29-09-15-19,VP198w,2,10,both,0.25,above,left,2,1.11623000402,0.891317988284,left,0.906
2018-10-29-09-15-19,VP198w,2,11,probe,0.5,below,left,2,0.833007465686,0,left,0.556
2018-10-29-09-15-19,VP198w,2,12,both,0.5,below,right,2,1.03292925745,0.71638642049,down,0.484
2018-10-29-09-15-19,VP198w,2,13,probe,0.25,below,right,0.25,1.08290970539,0,left,0.695
2018-10-29-09-15-19,VP198w,2,14,both,0.25,below,right,0.25,1.3911224677,0.824677391029,down,0.593
2018-10-29-09-15-19,VP198w,2,15,probe,0.25,above,right,1,1.06624955608,0,right,0.299
2018-10-29-09-15-19,VP198w,2,16,both,0.25,above,left,1,1.1578803773,0.766366868431,left,0.906
2018-10-29-09-15-19,VP198w,2,17,probe,1,above,left,0.5,0.941298436225,0,right,0.487
2018-10-29-09-15-19,VP198w,2,18,both,1,above,left,0.5,0.949628510882,0.708056345833,down,0.573
2018-10-29-09-15-19,VP198w,2,19,probe,0.5,above,left,0.25,1.2745014225,0,left,0.272
2018-10-29-09-15-19,VP198w,2,20,both,0.5,above,right,0.25,1.36613224372,0.849667615,down,0.799
2018-10-29-09-15-19,VP198w,2,21,probe,0.25,below,right,2,0.957958585539,0,left,2.843
2018-10-29-09-15-19,VP198w,2,22,both,0.25,below,right,2,1.44943299029,0.758036793774,right,0.678
2018-10-29-09-15-19,VP198w,2,23,probe,0,below,right,0.25,1.34947209441,0,left,0.354
2018-10-29-09-15-19,VP198w,2,24,both,0,below,right,0.25,0.758036793774,0.849667615,down,0.709
2018-10-29-09-15-19,VP198w,2,25,probe,0.25,above,right,0.5,1.32448187044,0,left,0.46
2018-10-29-09-15-19,VP198w,2,26,both,0.25,above,right,0.5,0.71638642049,0.816347316372,right,0.651
2018-10-29-09-15-19,VP198w,2,27,probe,1,below,right,2,0.783027017745,0,left,0.62
2018-10-29-09-15-19,VP198w,2,28,both,1,below,right,2,0.991278884166,0.824677391029,down,0.58
2018-10-29-09-15-19,VP198w,2,29,probe,0.5,below,right,1,0.924638286911,0,left,0.4
2018-10-29-09-15-19,VP198w,2,30,both,0.5,below,right,1,1.1578803773,0.724716495147,down,0.576
2018-10-29-09-15-19,VP198w,2,31,probe,1,below,right,0.25,1.46609313961,0,left,0.32
2018-10-29-09-15-19,VP198w,2,32,both,1,below,right,0.25,1.29949164647,0.74137664446,down,0.702
2018-10-29-09-15-19,VP198w,2,33,probe,0.25,above,right,0.25,1.13289015333,0,left,0.45
2018-10-29-09-15-19,VP198w,2,34,both,0.25,above,right,0.25,0.808017241715,0.899648062941,right,0.548
2018-10-29-09-15-19,VP198w,2,35,probe,1,below,right,1,1.38279239304,0,left,0.863
2018-10-29-09-15-19,VP198w,2,36,both,1,below,right,1,1.30782172113,0.699726271176,down,0.806
2018-10-29-09-15-19,VP198w,2,37,probe,0.5,above,right,2,0.882987913627,0,right,0.34
2018-10-29-09-15-19,VP198w,2,38,both,0.5,above,left,2,1.41611269167,0.816347316372,down,0.709
2018-10-29-09-15-19,VP198w,2,39,probe,1,above,left,2,1.35780216907,0,right,0.247
2018-10-29-09-15-19,VP198w,2,40,both,1,above,left,2,1.49108336358,0.749706719117,down,0.848
2018-10-29-09-15-19,VP198w,2,41,probe,0,above,left,0.25,1.2161908999,0,right,0.365
2018-10-29-09-15-19,VP198w,2,42,both,0,above,left,0.25,1.1578803773,0.783027017745,down,0.701
2018-10-29-09-15-19,VP198w,2,43,probe,0,below,left,1,1.24118112387,0,left,0.424
2018-10-29-09-15-19,VP198w,2,44,both,0,below,right,1,0.791357092402,0.882987913627,right,0.493
2018-10-29-09-15-19,VP198w,2,45,probe,0,above,right,0.5,1.42444276632,0,right,0.446
2018-10-29-09-15-19,VP198w,2,46,both,0,above,left,0.5,1.34947209441,0.791357092402,down,0.605
2018-10-29-09-15-19,VP198w,2,47,probe,1,above,left,0.25,0.758036793774,0,right,2.109
2018-10-29-09-15-19,VP198w,2,48,both,1,above,left,0.25,0.974618734852,0.799687167058,down,0.649
2018-10-29-09-15-19,VP198w,2,49,probe,0.5,below,left,0.25,0.824677391029,0,left,1.451
2018-10-29-09-15-19,VP198w,2,50,both,0.5,below,right,0.25,0.982948809509,0.774696943088,down,0.617
2018-10-29-09-15-19,VP198w,2,51,probe,0.25,below,right,1,0.932968361568,0,left,0.521
2018-10-29-09-15-19,VP198w,2,52,both,0.25,below,right,1,1.28283149716,0.824677391029,down,1.219
2018-10-29-09-15-19,VP198w,2,53,probe,0.5,above,right,1,0.882987913627,0,right,0.393
2018-10-29-09-15-19,VP198w,2,54,both,0.5,above,left,1,1.00793903348,0.733046569804,down,1.022
2018-10-29-09-15-19,VP198w,2,55,probe,1,below,left,0.5,1.37446231838,0,left,0.45
2018-10-29-09-15-19,VP198w,2,56,both,1,below,right,0.5,0.866327764313,0.791357092402,down,0.594
2018-10-29-09-15-19,VP198w,2,57,probe,0,below,right,0.5,1.29949164647,0,left,0.346
2018-10-29-09-15-19,VP198w,2,58,both,0,below,right,0.5,1.35780216907,0.783027017745,down,1.865
2018-10-29-09-15-19,VP198w,2,59,probe,0,above,right,1,0.999608958823,0,left,0.37
2018-10-29-09-15-19,VP198w,2,60,both,0,above,right,1,1.46609313961,0.708056345833,left,0.672
2018-10-29-09-15-19,VP198w,2,61,probe,0,above,right,2,0.816347316372,0,right,0.425
2018-10-29-09-15-19,VP198w,2,62,both,0,above,left,2,1.13289015333,0.758036793774,left,0.707
2018-10-29-09-15-19,VP198w,2,63,probe,0.5,below,left,0.5,1.18287060127,0,left,0.382
2018-10-29-09-15-19,VP198w,2,64,both,0.5,below,right,0.5,1.17454052662,0.857997689656,down,0.522
2018-10-29-09-15-19,VP198w,3,1,probe,1,above,right,1,1.46609313961,0,left,0.697
2018-10-29-09-15-19,VP198w,3,2,both,1,above,right,1,0.724716495147,0.791357092402,right,0.318
2018-10-29-09-15-19,VP198w,3,3,probe,0,above,right,0.25,0.758036793774,0,right,0.23
2018-10-29-09-15-19,VP198w,3,4,both,0,above,left,0.25,1.22452097456,0.774696943088,down,0.566
2018-10-29-09-15-19,VP198w,3,5,probe,0.25,above,left,1,1.17454052662,0,right,0.339
2018-10-29-09-15-19,VP198w,3,6,both,0.25,above,left,1,1.10789992936,0.849667615,left,0.982
2018-10-29-09-15-19,VP198w,3,7,probe,0.25,below,left,0.5,0.857997689656,0,left,0.284
2018-10-29-09-15-19,VP198w,3,8,both,0.25,below,right,0.5,0.949628510882,0.799687167058,down,0.513
2018-10-29-09-15-19,VP198w,3,9,probe,0.25,above,right,0.5,1.23285104922,0,right,0.311
2018-10-29-09-15-19,VP198w,3,10,both,0.25,above,left,0.5,1.09123978005,0.708056345833,left,0.415
2018-10-29-09-15-19,VP198w,3,11,probe,0,above,left,0.5,0.749706719117,0,left,0.31
2018-10-29-09-15-19,VP198w,3,12,both,0,above,right,0.5,1.07457963073,0.783027017745,down,0.514
2018-10-29-09-15-19,VP198w,3,13,probe,0.5,below,right,0.25,0.87465783897,0,left,0.508
2018-10-29-09-15-19,VP198w,3,14,both,0.5,below,right,0.25,1.02459918279,0.816347316372,down,0.893
2018-10-29-09-15-19,VP198w,3,15,probe,0,below,right,0.5,1.00793903348,0,left,0.256
2018-10-29-09-15-19,VP198w,3,16,both,0,below,right,0.5,0.907978137598,0.708056345833,left,0.798
2018-10-29-09-15-19,VP198w,3,17,probe,0.25,below,right,2,0.907978137598,0,left,0.361
2018-10-29-09-15-19,VP198w,3,18,both,0.25,below,right,2,0.991278884166,0.749706719117,right,0.653
2018-10-29-09-15-19,VP198w,3,19,probe,1,above,right,0.25,1.32448187044,0,left,0.412
2018-10-29-09-15-19,VP198w,3,20,both,1,above,right,0.25,0.749706719117,0.841337540343,down,1.22
2018-10-29-09-15-19,VP198w,3,21,probe,0.5,above,right,1,1.19120067593,0,left,0.393
2018-10-29-09-15-19,VP198w,3,22,both,0.5,above,right,1,0.982948809509,0.849667615,right,0.551
2018-10-29-09-15-19,VP198w,3,23,probe,0.25,above,right,0.25,1.24951119853,0,right,0.443
2018-10-29-09-15-19,VP198w,3,24,both,0.25,above,left,0.25,1.19953075059,0.749706719117,left,0.944
2018-10-29-09-15-19,VP198w,3,25,probe,0,below,left,0.25,0.907978137598,0,left,0.28
2018-10-29-09-15-19,VP198w,3,26,both,0,below,right,0.25,1.30782172113,0.733046569804,down,0.934
2018-10-29-09-15-19,VP198w,3,27,probe,0.5,below,right,0.5,0.907978137598,0,right,0.436
2018-10-29-09-15-19,VP198w,3,28,both,0.5,below,left,0.5,1.40778261701,0.824677391029,down,0.767
2018-10-29-09-15-19,VP198w,3,29,probe,1,above,left,0.5,1.19120067593,0,right,0.73
2018-10-29-09-15-19,VP198w,3,30,both,1,above,left,0.5,1.00793903348,0.833007465686,down,0.629
2018-10-29-09-15-19,VP198w,3,31,probe,0.5,above,left,2,1.22452097456,0,right,0.316
2018-10-29-09-15-19,VP198w,3,32,both,0.5,above,left,2,1.14955030265,0.733046569804,down,0.657
2018-10-29-09-15-19,VP198w,3,33,probe,0.5,above,left,0.25,0.74137664446,0,left,0.428
2018-10-29-09-15-19,VP198w,3,34,both,0.5,above,right,0.25,1.49108336358,0.783027017745,right,0.658
2018-10-29-09-15-19,VP198w,3,35,probe,1,below,right,0.5,1.32448187044,0,right,0.498
2018-10-29-09-15-19,VP198w,3,36,both,1,below,left,0.5,1.2161908999,0.733046569804,left,0.651
2018-10-29-09-15-19,VP198w,3,37,probe,0.5,below,left,2,0.766366868431,0,left,0.281
2018-10-29-09-15-19,VP198w,3,38,both,0.5,below,right,2,1.30782172113,0.733046569804,right,0.81
2018-10-29-09-15-19,VP198w,3,39,probe,0,below,right,2,0.841337540343,0,right,0.486
2018-10-29-09-15-19,VP198w,3,40,both,0,below,left,2,1.1578803773,0.849667615,left,0.764
