Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-07-18-10-27-55,04,1,1,probe,1,right,right,0.5,1.47507836237,0,right,0.504
2018-07-18-10-27-55,04,1,2,both,1,right,left,0.5,1.45841081025,0.741706069213,up,0.964
2018-07-18-10-27-55,04,1,3,probe,0.25,left,left,2,1.27506773696,0,right,0.246
2018-07-18-10-27-55,04,1,4,both,0.25,left,left,2,0.958384246736,0.825043829799,left,0.256
2018-07-18-10-27-55,04,1,5,probe,0.25,left,left,1,1.4084081539,0,right,0.316
2018-07-18-10-27-55,04,1,6,both,0.25,left,left,1,1.31673661726,0.891714038268,left,0.293
2018-07-18-10-27-55,04,1,7,probe,1,left,left,0.25,0.833377605858,0,right,0.265
2018-07-18-10-27-55,04,1,8,both,1,left,left,0.25,0.766707397389,0.791708725565,left,0.505
2018-07-18-10-27-55,04,1,9,probe,0,right,left,2,0.741706069213,0,right,0.368
2018-07-18-10-27-55,04,1,10,both,0,right,left,2,1.19172997638,0.808376277682,right,0.235
2018-07-18-10-27-55,04,1,11,probe,0.5,left,left,1,0.733372293155,0,left,0.422
2018-07-18-10-27-55,04,1,12,both,0.5,left,right,1,0.775041173448,0.841711381916,up,0.669
2018-07-18-10-27-55,04,1,13,probe,0.5,right,right,1,0.866712710092,0,right,0.684
2018-07-18-10-27-55,04,1,14,both,0.5,right,left,1,1.39174060178,0.858378934034,left,0.358
2018-07-18-10-27-55,04,1,15,probe,0,left,left,1,0.725038517096,0,right,0.075
2018-07-18-10-27-55,04,1,16,both,0,left,left,1,1.34173794543,0.825043829799,up,0.637
2018-07-18-10-27-55,04,1,17,probe,0.5,right,left,0.25,1.46674458631,0,right,0.983
2018-07-18-10-27-55,04,1,18,both,0.5,right,left,0.25,0.733372293155,0.866712710092,left,0.525
2018-07-18-10-27-55,04,1,19,probe,1,right,left,2,0.850045157975,0,right,0.402
2018-07-18-10-27-55,04,1,20,both,1,right,left,2,1.11672599185,0.850045157975,up,0.39
2018-07-18-10-27-55,04,1,21,probe,0.5,left,left,2,1.4084081539,0,left,0.35
2018-07-18-10-27-55,04,1,22,both,0.5,left,right,2,1.45007703419,0.750039845272,up,0.355
2018-07-18-10-27-55,04,1,23,probe,0.5,left,right,0.5,0.775041173448,0,left,0.597
2018-07-18-10-27-55,04,1,24,both,0.5,left,right,0.5,0.775041173448,0.858378934034,up,0.591
2018-07-18-10-27-55,04,1,25,probe,1,left,right,0.5,1.04172200732,0,right,0.236
2018-07-18-10-27-55,04,1,26,both,1,left,left,0.5,1.12505976791,0.775041173448,down,1.575
2018-07-18-10-27-55,04,1,27,probe,0,left,left,0.25,0.941716694619,0,right,0.448
2018-07-18-10-27-55,04,1,28,both,0,left,left,0.25,0.891714038268,0.775041173448,left,1.464
2018-07-18-10-27-55,04,1,29,probe,0.25,right,left,0.5,1.20839752849,0,right,0.436
2018-07-18-10-27-55,04,1,30,both,0.25,right,left,0.5,1.42507570602,0.891714038268,up,0.693
2018-07-18-10-27-55,04,1,31,probe,0.25,left,left,0.5,0.900047814326,0,left,0.254
2018-07-18-10-27-55,04,1,32,both,0.25,left,right,0.5,1.34173794543,0.775041173448,up,0.544
2018-07-18-10-27-55,04,1,33,probe,0.5,left,right,0.25,1.14172732003,0,left,0.507
2018-07-18-10-27-55,04,1,34,both,0.5,left,right,0.25,0.750039845272,0.900047814326,up,0.805
2018-07-18-10-27-55,04,1,35,probe,0.25,right,right,1,0.741706069213,0,right,0.281
2018-07-18-10-27-55,04,1,36,both,0.25,right,left,1,1.00005312703,0.775041173448,up,0.407
2018-07-18-10-27-55,04,1,37,probe,0,right,left,0.5,0.891714038268,0,right,0.21
2018-07-18-10-27-55,04,1,38,both,0,right,left,0.5,1.3084028412,0.850045157975,up,0.618
2018-07-18-10-27-55,04,1,39,probe,1,right,left,1,0.741706069213,0,right,0.258
2018-07-18-10-27-55,04,1,40,both,1,right,left,1,1.00838690309,0.700037188921,up,0.284
2018-07-18-10-27-55,04,1,41,probe,0,right,left,0.25,1.14172732003,0,right,0.465
2018-07-18-10-27-55,04,1,42,both,0,right,left,0.25,0.791708725565,0.808376277682,up,1.196
2018-07-18-10-27-55,04,1,43,probe,1,right,left,0.25,1.15006109608,0,right,0.426
2018-07-18-10-27-55,04,1,44,both,1,right,left,0.25,1.15006109608,0.766707397389,up,0.902
2018-07-18-10-27-55,04,1,45,probe,0,right,left,1,0.908381590385,0,right,0.616
2018-07-18-10-27-55,04,1,46,both,0,right,left,1,1.10005843973,0.800042501623,right,0.28
2018-07-18-10-27-55,04,1,47,probe,0,left,left,0.5,1.15006109608,0,left,0.266
2018-07-18-10-27-55,04,1,48,both,0,left,right,0.5,0.708370964979,0.750039845272,up,0.869
2018-07-18-10-27-55,04,1,49,probe,0.25,right,right,2,1.05005578338,0,right,0.293
2018-07-18-10-27-55,04,1,50,both,0.25,right,left,2,0.991719350971,0.808376277682,up,0.229
2018-07-18-10-27-55,04,1,51,probe,1,left,left,2,1.13339354397,0,left,0.342
2018-07-18-10-27-55,04,1,52,both,1,left,right,2,1.47507836237,0.883380262209,up,0.27
2018-07-18-10-27-55,04,1,53,probe,1,left,right,1,1.00838690309,0,left,0.367
2018-07-18-10-27-55,04,1,54,both,1,left,right,1,1.4084081539,0.866712710092,up,0.304
2018-07-18-10-27-55,04,1,55,probe,0.25,left,right,0.25,1.2667339609,0,right,0.214
2018-07-18-10-27-55,04,1,56,both,0.25,left,left,0.25,1.47507836237,0.891714038268,left,0.864
2018-07-18-10-27-55,04,1,57,probe,0.5,right,left,0.5,0.783374949506,0,left,0.259
2018-07-18-10-27-55,04,1,58,both,0.5,right,right,0.5,0.883380262209,0.758373621331,down,0.812
2018-07-18-10-27-55,04,1,59,probe,0.25,right,right,0.25,1.35007172149,0,right,0.219
2018-07-18-10-27-55,04,1,60,both,0.25,right,left,0.25,0.891714038268,0.800042501623,up,0.831
2018-07-18-10-27-55,04,1,61,probe,0.5,right,left,2,1.15839487214,0,right,0.235
2018-07-18-10-27-55,04,1,62,both,0.5,right,left,2,0.825043829799,0.883380262209,up,0.242
2018-07-18-10-27-55,04,1,63,probe,0,left,left,2,0.833377605858,0,left,0.27
2018-07-18-10-27-55,04,1,64,both,0,left,right,2,0.875046486151,0.750039845272,left,0.237
2018-07-18-10-27-55,04,2,1,probe,0.5,left,right,2,1.40007437784,0,right,0.225
2018-07-18-10-27-55,04,2,2,both,0.5,left,left,2,0.716704741038,0.875046486151,down,0.103
2018-07-18-10-27-55,04,2,3,probe,0.5,right,left,2,1.34173794543,0,right,0.456
2018-07-18-10-27-55,04,2,4,both,0.5,right,left,2,1.10005843973,0.766707397389,left,0.365
2018-07-18-10-27-55,04,2,5,probe,1,left,left,0.5,1.17506242426,0,left,0.474
2018-07-18-10-27-55,04,2,6,both,1,left,right,0.5,1.15839487214,0.875046486151,up,0.989
2018-07-18-10-27-55,04,2,7,probe,0.25,right,right,2,1.04172200732,0,right,0.896
2018-07-18-10-27-55,04,2,8,both,0.25,right,left,2,1.24173263273,0.875046486151,left,0.438
2018-07-18-10-27-55,04,2,9,probe,0.25,left,left,0.25,0.858378934034,0,left,0.68
2018-07-18-10-27-55,04,2,10,both,0.25,left,right,0.25,0.816710053741,0.791708725565,up,1.388
2018-07-18-10-27-55,04,2,11,probe,0,right,right,0.25,1.25840018485,0,right,0.436
2018-07-18-10-27-55,04,2,12,both,0,right,left,0.25,0.975051798854,0.825043829799,left,0.66
2018-07-18-10-27-55,04,2,13,probe,1,right,left,1,1.14172732003,0,right,0.414
2018-07-18-10-27-55,04,2,14,both,1,right,left,1,0.775041173448,0.725038517096,up,0.541
2018-07-18-10-27-55,04,2,15,probe,0,right,left,0.5,0.958384246736,0,right,0.751
2018-07-18-10-27-55,04,2,16,both,0,right,left,0.5,0.916715366444,0.808376277682,up,0.68
2018-07-18-10-27-55,04,2,17,probe,1,right,left,0.25,1.32507039331,0,left,0.437
2018-07-18-10-27-55,04,2,18,both,1,right,right,0.25,0.933382918561,0.741706069213,down,0.813
2018-07-18-10-27-55,04,2,19,probe,1,right,right,0.5,0.808376277682,0,right,0.254
2018-07-18-10-27-55,04,2,20,both,1,right,left,0.5,0.791708725565,0.883380262209,up,0.668
2018-07-18-10-27-55,04,2,21,probe,0.5,right,left,1,1.01672067915,0,right,0.482
2018-07-18-10-27-55,04,2,22,both,0.5,right,left,1,1.45007703419,0.858378934034,left,0.428
2018-07-18-10-27-55,04,2,23,probe,0.25,right,left,0.5,1.08339088762,0,right,0.411
2018-07-18-10-27-55,04,2,24,both,0.25,right,left,0.5,0.966718022795,0.833377605858,up,0.664
2018-07-18-10-27-55,04,2,25,probe,0.5,right,left,0.5,1.48341213843,0,right,0.341
2018-07-18-10-27-55,04,2,26,both,0.5,right,left,0.5,1.25840018485,0.758373621331,up,0.539
2018-07-18-10-27-55,04,2,27,probe,0.5,left,left,0.25,1.05005578338,0,left,0.37
2018-07-18-10-27-55,04,2,28,both,0.5,left,right,0.25,0.725038517096,0.708370964979,up,0.794
2018-07-18-10-27-55,04,2,29,probe,0.25,right,right,1,1.44174325813,0,right,0.482
2018-07-18-10-27-55,04,2,30,both,0.25,right,left,1,1.05838955944,0.841711381916,up,0.316
2018-07-18-10-27-55,04,2,31,probe,0,left,left,0.25,1.44174325813,0,left,0.536
2018-07-18-10-27-55,04,2,32,both,0,left,right,0.25,0.833377605858,0.875046486151,up,0.7
2018-07-18-10-27-55,04,2,33,probe,0.5,left,right,0.5,1.35840549755,0,left,0.466
2018-07-18-10-27-55,04,2,34,both,0.5,left,right,0.5,0.916715366444,0.733372293155,right,0.545
2018-07-18-10-27-55,04,2,35,probe,0.25,right,right,0.25,0.841711381916,0,right,1.554
2018-07-18-10-27-55,04,2,36,both,0.25,right,left,0.25,1.47507836237,0.875046486151,left,1.813
2018-07-18-10-27-55,04,2,37,probe,1,left,left,0.25,1.31673661726,0,left,0.261
