Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-08-16-20-19,AP1998w,1,1,probe,0.5,left,right,0.5,0.966396610286,0,left,1.273
2018-11-08-16-20-19,AP1998w,1,2,both,0.5,left,right,0.5,0.833100526108,0.866424547153,up,3.078
2018-11-08-16-20-19,AP1998w,1,3,probe,1,left,right,0.25,0.858093541892,0,left,1.839
2018-11-08-16-20-19,AP1998w,1,4,both,1,left,right,0.25,1.08303068394,0.791445499803,up,1.788
2018-11-08-16-20-19,AP1998w,1,5,probe,0,left,right,2,0.774783489281,0,left,1.158
2018-11-08-16-20-19,AP1998w,1,6,both,0,left,right,2,1.19133375234,0.791445499803,up,1.455
2018-11-08-16-20-19,AP1998w,1,7,probe,0.5,left,right,0.25,0.799776505064,0,left,1.337
2018-11-08-16-20-19,AP1998w,1,8,both,0.5,left,right,0.25,0.724797457714,0.724797457714,up,1.442
2018-11-08-16-20-19,AP1998w,1,9,probe,1,left,right,1,0.749790473498,0,left,0.886
2018-11-08-16-20-19,AP1998w,1,10,both,1,left,right,1,1.03304465237,0.874755552414,up,1.108
2018-11-08-16-20-19,AP1998w,1,11,probe,0.5,right,right,2,1.0497066629,0,right,1.167
2018-11-08-16-20-19,AP1998w,1,12,both,0.5,right,left,2,1.03304465237,0.808107510325,up,1.002
2018-11-08-16-20-19,AP1998w,1,13,probe,0.25,right,left,2,1.39960888386,0,right,1.225
2018-11-08-16-20-19,AP1998w,1,14,both,0.25,right,left,2,1.22465777338,0.808107510325,up,1.379
2018-11-08-16-20-19,AP1998w,1,15,probe,1,right,left,0.5,1.26631279968,0,right,1.171
2018-11-08-16-20-19,AP1998w,1,16,both,1,right,left,0.5,1.13301671551,0.849762536631,up,1.122
2018-11-08-16-20-19,AP1998w,1,17,probe,0,right,left,2,0.941403594503,0,right,1.374
2018-11-08-16-20-19,AP1998w,1,18,both,0,right,left,2,1.11635470499,0.708135447192,up,0.883
2018-11-08-16-20-19,AP1998w,1,19,probe,0.25,right,left,0.25,1.14967872603,0,right,1.12
2018-11-08-16-20-19,AP1998w,1,20,both,0.25,right,left,0.25,0.991389626069,0.699804441931,up,1.047
2018-11-08-16-20-19,AP1998w,1,21,probe,0,right,left,0.5,0.949734599764,0,right,1.251
2018-11-08-16-20-19,AP1998w,1,22,both,0,right,left,0.5,0.933072589241,0.808107510325,up,1.066
2018-11-08-16-20-19,AP1998w,1,23,probe,1,right,left,2,1.30796782599,0,right,0.872
2018-11-08-16-20-19,AP1998w,1,24,both,1,right,left,2,0.92474158398,0.791445499803,up,0.82
2018-11-08-16-20-19,AP1998w,1,25,probe,0,right,left,0.25,0.883086557675,0,right,1.008
2018-11-08-16-20-19,AP1998w,1,26,both,0,right,left,0.25,1.10802369972,0.891417562936,up,1.189
2018-11-08-16-20-19,AP1998w,1,27,probe,0.5,right,left,0.5,1.10802369972,0,right,0.891
2018-11-08-16-20-19,AP1998w,1,28,both,0.5,right,left,0.5,1.08303068394,0.758121478759,up,0.812
2018-11-08-16-20-19,AP1998w,1,29,probe,0.25,left,left,0.25,1.44126391017,0,left,0.859
2018-11-08-16-20-19,AP1998w,1,30,both,0.25,left,right,0.25,1.12468571025,0.708135447192,up,0.784
2018-11-08-16-20-19,AP1998w,1,31,probe,1,right,right,0.25,0.899748568197,0,right,0.818
2018-11-08-16-20-19,AP1998w,1,32,both,1,right,left,0.25,1.25798179442,0.724797457714,up,0.82
