Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-09-16-31-42,VP41998m,1,1,probe,0.25,right,right,0.5,1.41623044975,0,left,1.736
2018-11-09-16-31-42,VP41998m,1,2,both,0.25,right,right,0.5,1.40789968239,0.841407502496,down,0.646
2018-11-09-16-31-42,VP41998m,1,3,probe,1,right,right,0.25,1.15797666185,0,left,0.306
2018-11-09-16-31-42,VP41998m,1,4,both,1,right,right,0.25,1.39956891504,0.699784457521,down,0.77
2018-11-09-16-31-42,VP41998m,1,5,probe,0.25,right,right,2,1.34125354358,0,left,0.244
2018-11-09-16-31-42,VP41998m,1,6,both,0.25,right,right,2,0.724776759576,0.874730571902,right,0.286
2018-11-09-16-31-42,VP41998m,1,7,probe,1,left,right,2,1.22462280066,0,right,0.316
2018-11-09-16-31-42,VP41998m,1,8,both,1,left,left,2,1.04967668628,0.724776759576,left,0.522
2018-11-09-16-31-42,VP41998m,1,9,probe,0.5,left,left,1,0.766430596333,0,left,0.406
2018-11-09-16-31-42,VP41998m,1,10,both,0.5,left,right,1,1.35791507829,0.758099828981,right,0.296
2018-11-09-16-31-42,VP41998m,1,11,probe,0.5,right,right,1,0.80808443309,0,right,0.33
2018-11-09-16-31-42,VP41998m,1,12,both,0.5,right,left,1,1.39956891504,0.758099828981,up,0.549
2018-11-09-16-31-42,VP41998m,1,13,probe,0.5,left,left,0.5,1.31626124153,0,left,0.278
2018-11-09-16-31-42,VP41998m,1,14,both,0.5,left,right,0.5,1.28293817212,0.816415200441,right,0.492
2018-11-09-16-31-42,VP41998m,1,15,probe,0,right,right,1,1.31626124153,0,right,0.327
2018-11-09-16-31-42,VP41998m,1,16,both,0,right,left,1,1.15797666185,0.758099828981,up,0.95
2018-11-09-16-31-42,VP41998m,1,17,probe,0,left,left,0.25,1.24961510272,0,left,0.277
2018-11-09-16-31-42,VP41998m,1,18,both,0,left,right,0.25,1.34125354358,0.858069037199,up,1.204
2018-11-09-16-31-42,VP41998m,1,19,probe,0.25,right,right,0.25,0.758099828981,0,right,0.269
2018-11-09-16-31-42,VP41998m,1,20,both,0.25,right,left,0.25,0.991361314822,0.74976906163,up,0.788
2018-11-09-16-31-42,VP41998m,1,21,probe,0,left,left,1,0.783092131036,0,left,0.304
2018-11-09-16-31-42,VP41998m,1,22,both,0,left,right,1,1.49120735591,0.708115224873,up,0.302
2018-11-09-16-31-42,VP41998m,1,23,probe,0.25,right,right,1,1.36624584564,0,right,0.322
2018-11-09-16-31-42,VP41998m,1,24,both,0.25,right,left,1,1.48287658856,0.716445992224,up,0.504
2018-11-09-16-31-42,VP41998m,1,25,probe,1,left,left,0.25,0.958038245416,0,left,0.261
2018-11-09-16-31-42,VP41998m,1,26,both,1,left,right,0.25,1.29959970683,0.833076735144,up,0.535
2018-11-09-16-31-42,VP41998m,1,27,probe,1,right,right,0.5,0.916384408659,0,left,0.208
2018-11-09-16-31-42,VP41998m,1,28,both,1,right,right,0.5,1.37457661299,0.716445992224,right,0.352
2018-11-09-16-31-42,VP41998m,1,29,probe,0,right,right,0.5,1.1496458945,0,right,0.271
2018-11-09-16-31-42,VP41998m,1,30,both,0,right,left,0.5,0.783092131036,0.858069037199,up,1.01
2018-11-09-16-31-42,VP41998m,1,31,probe,0.5,right,left,0.25,0.824745967793,0,right,0.239
2018-11-09-16-31-42,VP41998m,1,32,both,0.5,right,left,0.25,1.09966129039,0.766430596333,up,0.51
2018-11-09-16-31-42,VP41998m,1,33,probe,1,right,left,1,1.07466898834,0,right,0.24
2018-11-09-16-31-42,VP41998m,1,34,both,1,right,left,1,1.40789968239,0.824745967793,up,0.216
2018-11-09-16-31-42,VP41998m,1,35,probe,0,right,left,2,1.41623044975,0,right,0.296
2018-11-09-16-31-42,VP41998m,1,36,both,0,right,left,2,0.86639980455,0.824745967793,up,0.23
2018-11-09-16-31-42,VP41998m,1,37,probe,1,left,left,1,0.974699780119,0,left,0.287
2018-11-09-16-31-42,VP41998m,1,38,both,1,left,right,1,0.74976906163,0.758099828981,up,0.316
2018-11-09-16-31-42,VP41998m,1,39,probe,0.5,right,right,2,1.05800745363,0,right,0.188
2018-11-09-16-31-42,VP41998m,1,40,both,0.5,right,left,2,1.4412227518,0.699784457521,left,0.486
2018-11-09-16-31-42,VP41998m,1,41,probe,0,left,left,0.5,1.30793047418,0,left,0.33
2018-11-09-16-31-42,VP41998m,1,42,both,0,left,right,0.5,0.833076735144,0.716445992224,up,0.456
2018-11-09-16-31-42,VP41998m,1,43,probe,0,right,right,0.25,0.833076735144,0,right,0.311
2018-11-09-16-31-42,VP41998m,1,44,both,0,right,left,0.25,0.86639980455,0.849738269847,left,0.577
2018-11-09-16-31-42,VP41998m,1,45,probe,0.25,left,left,1,1.05800745363,0,left,0.273
2018-11-09-16-31-42,VP41998m,1,46,both,0.25,left,right,1,0.816415200441,0.80808443309,up,0.233
2018-11-09-16-31-42,VP41998m,1,47,probe,1,right,right,2,1.37457661299,0,right,0.292
2018-11-09-16-31-42,VP41998m,1,48,both,1,right,left,2,1.30793047418,0.833076735144,up,0.507
2018-11-09-16-31-42,VP41998m,1,49,probe,0.5,right,left,0.5,1.11632282509,0,right,0.253
2018-11-09-16-31-42,VP41998m,1,50,both,0.5,right,left,0.5,1.24961510272,0.774761363684,left,0.294
2018-11-09-16-31-42,VP41998m,1,51,probe,0,left,left,2,1.4245612171,0,left,0.282
2018-11-09-16-31-42,VP41998m,1,52,both,0,left,right,2,1.49120735591,0.816415200441,up,0.243
2018-11-09-16-31-42,VP41998m,1,53,probe,0.5,left,right,0.25,0.758099828981,0,left,0.314
2018-11-09-16-31-42,VP41998m,1,54,both,0.5,left,right,0.25,0.716445992224,0.858069037199,up,0.722
2018-11-09-16-31-42,VP41998m,1,55,probe,0.25,left,right,0.5,1.23295356801,0,left,0.227
2018-11-09-16-31-42,VP41998m,1,56,both,0.25,left,right,0.5,0.783092131036,0.716445992224,up,0.386
2018-11-09-16-31-42,VP41998m,1,57,probe,0.25,left,right,0.25,1.4578842865,0,left,0.225
2018-11-09-16-31-42,VP41998m,1,58,both,0.25,left,right,0.25,0.908053641307,0.799753665739,up,0.828
2018-11-09-16-31-42,VP41998m,1,59,probe,1,left,right,0.5,0.74976906163,0,left,0.218
2018-11-09-16-31-42,VP41998m,1,60,both,1,left,right,0.5,1.40789968239,0.716445992224,up,0.325
2018-11-09-16-31-42,VP41998m,1,61,probe,0.25,left,right,2,0.733107526927,0,left,0.174
2018-11-09-16-31-42,VP41998m,1,62,both,0.25,left,right,2,0.92471517601,0.724776759576,up,0.259
2018-11-09-16-31-42,VP41998m,1,63,probe,0.5,left,right,2,1.00802284952,0,left,0.241
2018-11-09-16-31-42,VP41998m,1,64,both,0.5,left,right,2,0.799753665739,0.80808443309,right,0.255
2018-11-09-16-31-42,VP41998m,2,1,probe,0.25,left,right,0.25,1.29959970683,0,left,0.276
2018-11-09-16-31-42,VP41998m,2,2,both,0.25,left,right,0.25,1.15797666185,0.74976906163,up,0.979
2018-11-09-16-31-42,VP41998m,2,3,probe,0,left,right,0.25,1.14131512715,0,left,0.263
2018-11-09-16-31-42,VP41998m,2,4,both,0,left,right,0.25,0.92471517601,0.708115224873,up,0.854
2018-11-09-16-31-42,VP41998m,2,5,probe,0,right,right,1,1.27460740477,0,right,0.319
2018-11-09-16-31-42,VP41998m,2,6,both,0,right,left,1,0.766430596333,0.74976906163,right,0.404
2018-11-09-16-31-42,VP41998m,2,7,probe,0.5,left,left,0.5,1.21629203331,0,left,0.262
2018-11-09-16-31-42,VP41998m,2,8,both,0.5,left,right,0.5,0.783092131036,0.899722873956,up,0.533
2018-11-09-16-31-42,VP41998m,2,9,probe,0.5,left,right,1,0.941376710713,0,left,0.245
2018-11-09-16-31-42,VP41998m,2,10,both,0.5,left,right,1,1.10799205774,0.716445992224,up,0.274
