Session,Participant,Block,Trial,WhatIsReported,StereoStrength,BiasedSide,RotationBias,ProbeDuration,OnsetDelay,ProbeSOA,Percept,RT
2018-11-16-13-22-10,VP91996w,1,1,probe,0.5,left,right,2,0.84993763899600006,0,right,0.509
2018-11-16-13-22-10,VP91996w,1,2,both,0.5,left,left,2,1.39989728776,0.899933970702,left,0.73
2018-11-16-13-22-10,VP91996w,1,3,probe,1,right,left,2,1.06658840972,0,left,1.008
2018-11-16-13-22-10,VP91996w,1,4,both,1,right,right,2,1.04159024387,0.774943141437,down,0.56
2018-11-16-13-22-10,VP91996w,1,5,probe,0.5,left,right,0.25,0.949930302407,0,right,0.421
2018-11-16-13-22-10,VP91996w,1,6,both,0.5,left,left,0.25,1.19991196094,0.749944975585,left,1.353
2018-11-16-13-22-10,VP91996w,1,7,probe,0.25,left,left,0.25,0.8832685268,0,left,0.771
2018-11-16-13-22-10,VP91996w,1,8,both,0.25,left,right,0.25,0.941597580456,0.699948643879,down,2.496
2018-11-16-13-22-10,VP91996w,1,9,probe,1,left,right,1,0.966595746309,0,left,0.301
2018-11-16-13-22-10,VP91996w,1,10,both,1,left,right,1,0.866603082898,0.899933970702,up,0.597
2018-11-16-13-22-10,VP91996w,1,11,probe,1,left,right,0.25,1.09991929752,0,left,0.446
2018-11-16-13-22-10,VP91996w,1,12,both,1,left,right,0.25,1.19157923898,0.749944975585,up,0.729
2018-11-16-13-22-10,VP91996w,1,13,probe,0,left,right,2,1.22491012679,0,left,0.441
2018-11-16-13-22-10,VP91996w,1,14,both,0,left,right,2,1.28323918044,0.858270360947,up,0.728
2018-11-16-13-22-10,VP91996w,1,15,probe,1,right,right,0.5,1.17491379508,0,left,0.563
2018-11-16-13-22-10,VP91996w,1,16,both,1,right,right,0.5,1.03325752192,0.833272195094,down,0.588
2018-11-16-13-22-10,VP91996w,1,17,probe,0,left,right,0.25,1.3082373463,0,right,0.246
2018-11-16-13-22-10,VP91996w,1,18,both,0,left,left,0.25,0.816606751192,0.8832685268,left,0.64
2018-11-16-13-22-10,VP91996w,1,19,probe,0.5,right,left,1,0.841604917045,0,left,0.42
2018-11-16-13-22-10,VP91996w,1,20,both,0.5,right,right,1,1.48322450727,0.841604917045,down,0.548
2018-11-16-13-22-10,VP91996w,1,21,probe,1,left,right,2,1.16658107313,0,left,0.352
2018-11-16-13-22-10,VP91996w,1,22,both,1,left,right,2,1.45822634141,0.733279531683,up,0.803
2018-11-16-13-22-10,VP91996w,1,23,probe,0.25,right,right,1,1.27490645849,0,left,0.348
2018-11-16-13-22-10,VP91996w,1,24,both,0.25,right,right,1,0.933264858505,0.808274029241,down,0.34
2018-11-16-13-22-10,VP91996w,1,25,probe,0.25,right,right,0.5,1.13325018533,0,left,0.539
2018-11-16-13-22-10,VP91996w,1,26,both,0.25,right,right,0.5,1.3249027902,0.741612253634,down,0.369
