Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
ARB1995MRNO,2019-09-17-11-23-58,1,1,0.6160634719765978,right,probe,ambiguous-stable,-1,20,left,left,0.518
ARB1995MRNO,2019-09-17-11-23-58,1,2,0.6758065983517342,right,both,ambiguous-stable,108,20,right,left,0.239
ARB1995MRNO,2019-09-17-11-23-58,1,3,0.633554831347974,left,probe,ambiguous-stable,-1,-20,left,left,0.375
ARB1995MRNO,2019-09-17-11-23-58,1,4,0.5372702962813711,left,both,ambiguous-stable,92,-20,right,left,0.184
ARB1995MRNO,2019-09-17-11-23-58,1,5,0.577958587964749,right,probe,ambiguous-stable,-1,10,left,left,0.367
ARB1995MRNO,2019-09-17-11-23-58,1,6,0.6849634947541913,right,both,ambiguous-stable,103,10,right,left,0.194
ARB1995MRNO,2019-09-17-11-23-58,1,7,0.5716828386887911,right,probe,ambiguous-switch,-1,-10,left,left,0.171
ARB1995MRNO,2019-09-17-11-23-58,1,8,0.6853992056861442,right,both,ambiguous-switch,97,-10,left,left,0.217
ARB1995MRNO,2019-09-17-11-23-58,1,9,0.5458862716775471,right,probe,biased-switch,-1,0,left,left,0.186
ARB1995MRNO,2019-09-17-11-23-58,1,10,0.5731823795324172,right,both,biased-switch,103,0,left,right,0.247
ARB1995MRNO,2019-09-17-11-23-58,1,11,0.6084833470109442,right,probe,ambiguous-stable,-1,-10,right,right,0.338
ARB1995MRNO,2019-09-17-11-23-58,1,12,0.593455993595347,right,both,ambiguous-stable,90,-10,left,right,0.193
ARB1995MRNO,2019-09-17-11-23-58,1,13,0.5375376220473445,right,probe,ambiguous-stable,-1,-5,right,right,0.308
ARB1995MRNO,2019-09-17-11-23-58,1,14,0.5276541604800109,right,both,ambiguous-stable,103,-5,left,right,0.204
ARB1995MRNO,2019-09-17-11-23-58,1,15,0.6589062889120595,right,probe,biased-switch,-1,-10,right,right,0.309
ARB1995MRNO,2019-09-17-11-23-58,1,16,0.6759468044634945,right,both,biased-switch,99,-10,right,left,0.192
ARB1995MRNO,2019-09-17-11-23-58,1,17,0.5830172946610057,left,probe,biased-switch,-1,10,right,right,0.293
ARB1995MRNO,2019-09-17-11-23-58,1,18,0.6193940700855938,left,both,biased-switch,109,10,right,left,0.199
ARB1995MRNO,2019-09-17-11-23-58,1,19,0.6164739555930131,left,probe,biased-switch,-1,20,left,left,0.293
ARB1995MRNO,2019-09-17-11-23-58,1,20,0.5734425240083898,left,both,biased-switch,102,20,left,left,0.158
ARB1995MRNO,2019-09-17-11-23-58,1,21,0.50278626541172,right,probe,ambiguous-switch,-1,5,left,left,0.291
ARB1995MRNO,2019-09-17-11-23-58,1,22,0.5088478022769637,right,both,ambiguous-switch,95,5,left,right,0.163
ARB1995MRNO,2019-09-17-11-23-58,1,23,0.5143334599597232,right,probe,ambiguous-switch,-1,-5,left,left,0.251
ARB1995MRNO,2019-09-17-11-23-58,1,24,0.6872601933560697,right,both,ambiguous-switch,94,-5,left,right,1.637
ARB1995MRNO,2019-09-17-11-23-58,1,25,0.5660454790729065,left,probe,biased-switch,-1,-5,left,left,0.239
ARB1995MRNO,2019-09-17-11-23-58,1,26,0.5416494771241271,left,both,biased-switch,96,-5,left,left,0.208
ARB1995MRNO,2019-09-17-11-23-58,1,27,0.5288487227506359,right,probe,biased-switch,-1,-20,left,left,0.343
ARB1995MRNO,2019-09-17-11-23-58,1,28,0.6854217588880496,right,both,biased-switch,108,-20,left,left,0.232
ARB1995MRNO,2019-09-17-11-23-58,1,29,0.6326156528533079,left,probe,ambiguous-stable,-1,-30,left,left,0.225
ARB1995MRNO,2019-09-17-11-23-58,1,30,0.5139077774285218,left,both,ambiguous-stable,98,-30,right,left,0.196
