Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
DEK2001WRNO,2020-01-27-11-07-06,1,1,0.6042066594725052,right,probe,ambiguous-stable,-1,3,right,right,1.57
DEK2001WRNO,2020-01-27-11-07-06,1,2,0.510029850215521,right,both,ambiguous-stable,64,3,left,left,4.597
DEK2001WRNO,2020-01-27-11-07-06,1,3,0.5474174733077394,left,probe,ambiguous-switch,-1,6,left,left,0.566
DEK2001WRNO,2020-01-27-11-07-06,1,4,0.5442528099858993,left,both,ambiguous-switch,66,6,left,left,1.461
DEK2001WRNO,2020-01-27-11-07-06,1,5,0.520406513033689,right,probe,biased-switch,-1,-18,left,left,0.62
DEK2001WRNO,2020-01-27-11-07-06,1,6,0.6408668776342692,right,both,biased-switch,59,-18,left,left,0.359
DEK2001WRNO,2020-01-27-11-07-06,1,7,0.5393627514221369,right,probe,ambiguous-switch,-1,-3,left,left,0.687
DEK2001WRNO,2020-01-27-11-07-06,1,8,0.512499518274443,right,both,ambiguous-switch,59,-3,left,left,0.354
DEK2001WRNO,2020-01-27-11-07-06,1,9,0.5505768869983396,right,probe,ambiguous-stable,-1,12,left,left,0.627
DEK2001WRNO,2020-01-27-11-07-06,1,10,0.5980464024891368,right,both,ambiguous-stable,57,12,right,left,0.553
DEK2001WRNO,2020-01-27-11-07-06,1,11,0.6998445302391192,left,probe,biased-switch,-1,-12,left,left,0.328
DEK2001WRNO,2020-01-27-11-07-06,1,12,0.5724865354058131,left,both,biased-switch,57,-12,left,left,0.188
DEK2001WRNO,2020-01-27-11-07-06,1,13,0.6140067187599985,left,probe,ambiguous-switch,-1,0,left,left,0.704
DEK2001WRNO,2020-01-27-11-07-06,1,14,0.6563014976601571,left,both,ambiguous-switch,56,0,left,left,0.283
DEK2001WRNO,2020-01-27-11-07-06,1,15,0.6150540901447208,left,probe,biased-switch,-1,6,left,left,0.794
DEK2001WRNO,2020-01-27-11-07-06,1,16,0.6764850864357621,left,both,biased-switch,56,6,left,left,0.206
DEK2001WRNO,2020-01-27-11-07-06,1,17,0.5930794586751261,right,probe,ambiguous-stable,-1,18,left,left,0.284
DEK2001WRNO,2020-01-27-11-07-06,1,18,0.551290703637277,right,both,ambiguous-stable,58,18,right,left,0.255
DEK2001WRNO,2020-01-27-11-07-06,1,19,0.5935605172971811,right,probe,ambiguous-stable,-1,6,left,left,0.434
DEK2001WRNO,2020-01-27-11-07-06,1,20,0.5882388700495775,right,both,ambiguous-stable,55,6,right,left,0.19
DEK2001WRNO,2020-01-27-11-07-06,1,21,0.6817033202003314,left,probe,ambiguous-switch,-1,-18,left,left,0.649
DEK2001WRNO,2020-01-27-11-07-06,1,22,0.5118492099579257,left,both,ambiguous-switch,56,-18,left,left,1.055
DEK2001WRNO,2020-01-27-11-07-06,1,23,0.5126926907911742,left,probe,ambiguous-switch,-1,3,left,left,0.775
DEK2001WRNO,2020-01-27-11-07-06,1,24,0.6685573306423003,left,both,ambiguous-switch,65,3,left,left,0.716
DEK2001WRNO,2020-01-27-11-07-06,1,25,0.5155621931124068,right,probe,biased-switch,-1,24,left,left,2.657
DEK2001WRNO,2020-01-27-11-07-06,1,26,0.6391026533701826,right,both,biased-switch,65,24,left,left,0.321
DEK2001WRNO,2020-01-27-11-07-06,1,27,0.6678643718402333,left,probe,ambiguous-switch,-1,-12,left,left,0.864
DEK2001WRNO,2020-01-27-11-07-06,1,28,0.5374362785396242,left,both,ambiguous-switch,54,-12,left,left,0.337
DEK2001WRNO,2020-01-27-11-07-06,1,29,0.5481918670784789,right,probe,biased-switch,-1,18,left,left,0.258
DEK2001WRNO,2020-01-27-11-07-06,1,30,0.5412329188241021,right,both,biased-switch,58,18,left,right,0.165
DEK2001WRNO,2020-01-27-11-07-06,1,31,0.6859154213114321,left,probe,ambiguous-switch,-1,18,left,left,0.203
DEK2001WRNO,2020-01-27-11-07-06,1,32,0.6512038677378241,left,both,ambiguous-switch,58,18,left,left,4.051
DEK2001WRNO,2020-01-27-11-07-06,1,33,0.5020382548912216,right,probe,ambiguous-switch,-1,24,left,left,0.324
DEK2001WRNO,2020-01-27-11-07-06,1,34,0.6684036543887705,right,both,ambiguous-switch,64,24,left,left,0.294
DEK2001WRNO,2020-01-27-11-07-06,1,35,0.5044457663904464,left,probe,ambiguous-stable,-1,24,left,left,0.426
DEK2001WRNO,2020-01-27-11-07-06,1,36,0.5671586730067476,left,both,ambiguous-stable,61,24,right,left,2.925
DEK2001WRNO,2020-01-27-11-07-06,1,37,0.5632090084776713,left,probe,biased-switch,-1,0,left,left,0.415
DEK2001WRNO,2020-01-27-11-07-06,1,38,0.6874745887850101,left,both,biased-switch,64,0,left,right,0.207
DEK2001WRNO,2020-01-27-11-07-06,1,39,0.5953334781359891,right,probe,ambiguous-stable,-1,-3,left,left,0.479
DEK2001WRNO,2020-01-27-11-07-06,1,40,0.6222984339714884,right,both,ambiguous-stable,58,-3,right,left,0.142
DEK2001WRNO,2020-01-27-11-07-06,1,41,0.6277151238501752,right,probe,biased-switch,-1,12,left,left,0.297
DEK2001WRNO,2020-01-27-11-07-06,1,42,0.6016955884276516,right,both,biased-switch,64,12,left,right,2.257
DEK2001WRNO,2020-01-27-11-07-06,1,43,0.5418949075596614,right,probe,ambiguous-stable,-1,-18,right,right,0.911
DEK2001WRNO,2020-01-27-11-07-06,1,44,0.637041644330793,right,both,ambiguous-stable,64,-18,left,right,0.029
DEK2001WRNO,2020-01-27-11-07-06,1,45,0.5554597471243835,right,probe,biased-switch,-1,-6,right,right,0.539
DEK2001WRNO,2020-01-27-11-07-06,1,46,0.6922264022122875,right,both,biased-switch,64,-6,right,right,0.466
DEK2001WRNO,2020-01-27-11-07-06,1,47,0.6911548596765301,left,probe,ambiguous-stable,-1,0,right,right,0.545
DEK2001WRNO,2020-01-27-11-07-06,1,48,0.6672112468796552,left,both,ambiguous-stable,62,0,left,right,0.247
DEK2001WRNO,2020-01-27-11-07-06,1,49,0.5040991451040531,left,probe,biased-switch,-1,-3,right,right,0.568
DEK2001WRNO,2020-01-27-11-07-06,1,50,0.6791649808241059,left,both,biased-switch,57,-3,right,right,0.26
DEK2001WRNO,2020-01-27-11-07-06,1,51,0.6249122825432487,left,probe,ambiguous-switch,-1,12,right,right,0.415
DEK2001WRNO,2020-01-27-11-07-06,1,52,0.6864403623017121,left,both,ambiguous-switch,60,12,right,left,0.257
DEK2001WRNO,2020-01-27-11-07-06,1,53,0.5003151131774007,left,probe,ambiguous-stable,-1,-12,right,right,0.359
DEK2001WRNO,2020-01-27-11-07-06,1,54,0.5089036687398939,left,both,ambiguous-stable,61,-12,left,right,0.372
DEK2001WRNO,2020-01-27-11-07-06,1,55,0.632911405057947,left,probe,ambiguous-stable,-1,-6,right,right,0.49
DEK2001WRNO,2020-01-27-11-07-06,1,56,0.5421503300871882,left,both,ambiguous-stable,58,-6,left,right,0.595
DEK2001WRNO,2020-01-27-11-07-06,1,57,0.5507019189372209,left,probe,ambiguous-switch,-1,-6,right,right,0.721
DEK2001WRNO,2020-01-27-11-07-06,1,58,0.5999130586284327,left,both,ambiguous-switch,65,-6,right,right,0.501
DEK2001WRNO,2020-01-27-11-07-06,1,59,0.5855266114359714,left,probe,biased-switch,-1,3,right,right,0.591
DEK2001WRNO,2020-01-27-11-07-06,1,60,0.6377992833867141,left,both,biased-switch,63,3,right,left,0.237
DEK2001WRNO,2020-01-27-11-07-06,2,1,0.5347189617698546,left,probe,ambiguous-switch,-1,12,left,left,0.83
DEK2001WRNO,2020-01-27-11-07-06,2,2,0.5664689451338822,left,both,ambiguous-switch,57,12,left,left,5.169
DEK2001WRNO,2020-01-27-11-07-06,2,3,0.6372802829850469,right,probe,biased-switch,-1,-12,right,right,2.407
DEK2001WRNO,2020-01-27-11-07-06,2,4,0.5222265332866284,right,both,biased-switch,55,-12,right,right,0.262
DEK2001WRNO,2020-01-27-11-07-06,2,5,0.547669751437974,left,probe,biased-switch,-1,18,right,right,0.287
DEK2001WRNO,2020-01-27-11-07-06,2,6,0.5230032132938921,left,both,biased-switch,59,18,right,right,0.275
DEK2001WRNO,2020-01-27-11-07-06,2,7,0.6322291301390699,left,probe,ambiguous-switch,-1,-6,right,right,0.501
DEK2001WRNO,2020-01-27-11-07-06,2,8,0.6131896091384219,left,both,ambiguous-switch,66,-6,right,right,0.357
DEK2001WRNO,2020-01-27-11-07-06,2,9,0.5940269303595255,left,probe,ambiguous-stable,-1,-3,right,right,0.525
DEK2001WRNO,2020-01-27-11-07-06,2,10,0.5783267422513214,left,both,ambiguous-stable,54,-3,left,right,0.45
DEK2001WRNO,2020-01-27-11-07-06,2,11,0.5163845289824369,right,probe,biased-switch,-1,-6,right,right,0.403
DEK2001WRNO,2020-01-27-11-07-06,2,12,0.6759038630895194,right,both,biased-switch,59,-6,right,right,0.26
DEK2001WRNO,2020-01-27-11-07-06,2,13,0.6113811331753818,left,probe,biased-switch,-1,6,right,right,0.408
DEK2001WRNO,2020-01-27-11-07-06,2,14,0.6682341756598404,left,both,biased-switch,65,6,right,left,0.277
DEK2001WRNO,2020-01-27-11-07-06,2,15,0.5022400860822746,left,probe,ambiguous-switch,-1,0,right,right,0.307
DEK2001WRNO,2020-01-27-11-07-06,2,16,0.6112526224649905,left,both,ambiguous-switch,62,0,right,right,2.596
DEK2001WRNO,2020-01-27-11-07-06,2,17,0.605657932459468,left,probe,ambiguous-stable,-1,6,right,right,0.36
DEK2001WRNO,2020-01-27-11-07-06,2,18,0.5137865459004993,left,both,ambiguous-stable,56,6,left,right,0.216
DEK2001WRNO,2020-01-27-11-07-06,2,19,0.5022791829434212,right,probe,ambiguous-stable,-1,0,right,right,0.43
DEK2001WRNO,2020-01-27-11-07-06,2,20,0.6204884454339286,right,both,ambiguous-stable,61,0,left,right,0.239
DEK2001WRNO,2020-01-27-11-07-06,2,21,0.599540770842064,right,probe,ambiguous-switch,-1,-18,left,left,0.698
DEK2001WRNO,2020-01-27-11-07-06,2,22,0.6560280606303798,right,both,ambiguous-switch,64,-18,left,right,0.257
DEK2001WRNO,2020-01-27-11-07-06,2,23,0.6772701597189968,right,probe,biased-switch,-1,0,right,right,0.354
DEK2001WRNO,2020-01-27-11-07-06,2,24,0.5492211793245525,right,both,biased-switch,62,0,right,left,2.071
DEK2001WRNO,2020-01-27-11-07-06,2,25,0.5571071105519236,left,probe,ambiguous-stable,-1,24,right,right,0.636
DEK2001WRNO,2020-01-27-11-07-06,2,26,0.649481618353702,left,both,ambiguous-stable,62,24,left,right,1.754
DEK2001WRNO,2020-01-27-11-07-06,2,27,0.5688726036186906,right,probe,ambiguous-switch,-1,6,right,right,0.43
DEK2001WRNO,2020-01-27-11-07-06,2,28,0.6315336253994399,right,both,ambiguous-switch,65,6,right,left,0.793
DEK2001WRNO,2020-01-27-11-07-06,2,29,0.5113363752478273,right,probe,ambiguous-switch,-1,-3,right,right,0.55
DEK2001WRNO,2020-01-27-11-07-06,2,30,0.605923355771895,right,both,ambiguous-switch,61,-3,right,left,0.331
DEK2001WRNO,2020-01-27-11-07-06,2,31,0.6827908422386212,right,probe,ambiguous-stable,-1,18,right,right,0.533
DEK2001WRNO,2020-01-27-11-07-06,2,32,0.5614132385266795,right,both,ambiguous-stable,66,18,left,right,0.33
DEK2001WRNO,2020-01-27-11-07-06,2,33,0.6739311760762855,right,probe,ambiguous-stable,-1,12,right,right,0.61
DEK2001WRNO,2020-01-27-11-07-06,2,34,0.5816550482084631,right,both,ambiguous-stable,62,12,left,right,0.392
DEK2001WRNO,2020-01-27-11-07-06,2,35,0.6869517907079503,left,probe,ambiguous-switch,-1,24,left,left,0.363
DEK2001WRNO,2020-01-27-11-07-06,2,36,0.6030342051792514,left,both,ambiguous-switch,57,24,left,left,2.07
DEK2001WRNO,2020-01-27-11-07-06,2,37,0.5980142104193497,left,probe,ambiguous-stable,-1,-12,left,left,0.482
DEK2001WRNO,2020-01-27-11-07-06,2,38,0.5799973596983001,left,both,ambiguous-stable,58,-12,right,left,0.416
DEK2001WRNO,2020-01-27-11-07-06,2,39,0.5796412857834603,left,probe,ambiguous-stable,-1,-6,left,left,0.5
