Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
ESN1998WRNO,2019-09-18-12-13-28,1,1,0.6824628512480118,left,probe,ambiguous-switch,-1,-5,right,right,1.812
ESN1998WRNO,2019-09-18-12-13-28,1,2,0.600814235589904,left,both,ambiguous-switch,95,-5,right,right,0.921
ESN1998WRNO,2019-09-18-12-13-28,1,3,0.6189802386810359,left,probe,biased-switch,-1,20,right,right,0.897
ESN1998WRNO,2019-09-18-12-13-28,1,4,0.6692022056295159,left,both,biased-switch,106,20,right,right,0.666
ESN1998WRNO,2019-09-18-12-13-28,1,5,0.5430439921026049,right,probe,biased-switch,-1,5,right,right,0.638
ESN1998WRNO,2019-09-18-12-13-28,1,6,0.5768263532298707,right,both,biased-switch,91,5,right,right,0.486
ESN1998WRNO,2019-09-18-12-13-28,1,7,0.5199652414612278,left,probe,biased-switch,-1,40,right,right,0.626
ESN1998WRNO,2019-09-18-12-13-28,1,8,0.6049614872060503,left,both,biased-switch,110,40,right,right,0.308
ESN1998WRNO,2019-09-18-12-13-28,1,9,0.5742613457560015,left,probe,ambiguous-stable,-1,-30,right,right,0.46
ESN1998WRNO,2019-09-18-12-13-28,1,10,0.5783589028996278,left,both,ambiguous-stable,98,-30,left,right,0.653
ESN1998WRNO,2019-09-18-12-13-28,1,11,0.5665057685208876,right,probe,ambiguous-stable,-1,-20,right,right,0.822
ESN1998WRNO,2019-09-18-12-13-28,1,12,0.5267359714220902,right,both,ambiguous-stable,92,-20,left,right,0.495
ESN1998WRNO,2019-09-18-12-13-28,1,13,0.6958803629022685,left,probe,biased-switch,-1,30,right,right,0.932
ESN1998WRNO,2019-09-18-12-13-28,1,14,0.6495775041653448,left,both,biased-switch,102,30,right,right,0.479
ESN1998WRNO,2019-09-18-12-13-28,1,15,0.6583592954447082,right,probe,biased-switch,-1,-20,right,right,0.445
ESN1998WRNO,2019-09-18-12-13-28,1,16,0.6938047585508478,right,both,biased-switch,97,-20,right,right,0.486
ESN1998WRNO,2019-09-18-12-13-28,1,17,0.5179396525473159,right,probe,ambiguous-switch,-1,20,right,right,0.451
ESN1998WRNO,2019-09-18-12-13-28,1,18,0.6390535867850148,right,both,ambiguous-switch,102,20,right,right,0.865
ESN1998WRNO,2019-09-18-12-13-28,1,19,0.5792574227727583,right,probe,biased-switch,-1,10,right,right,1.139
ESN1998WRNO,2019-09-18-12-13-28,1,20,0.5995142641519707,right,both,biased-switch,93,10,right,right,0.459
ESN1998WRNO,2019-09-18-12-13-28,1,21,0.5344056396623218,right,probe,biased-switch,-1,-30,right,right,0.785
ESN1998WRNO,2019-09-18-12-13-28,1,22,0.6080300052157136,right,both,biased-switch,100,-30,right,right,1.292
ESN1998WRNO,2019-09-18-12-13-28,1,23,0.605364335845615,right,probe,biased-switch,-1,-10,right,right,1.104
