Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
HKS1998WRNO,2019-10-01-14-42-28,1,1,0.6361506648597237,left,probe,biased-switch,-1,10,right,right,0.875
HKS1998WRNO,2019-10-01-14-42-28,1,2,0.5838952349537644,left,both,biased-switch,96,10,right,left,3.396
HKS1998WRNO,2019-10-01-14-42-28,1,3,0.5625940779268799,right,probe,biased-switch,-1,-10,left,left,1.279
HKS1998WRNO,2019-10-01-14-42-28,1,4,0.578817207564706,right,both,biased-switch,97,-10,left,right,0.323
HKS1998WRNO,2019-10-01-14-42-28,1,5,0.6048446966387644,left,probe,ambiguous-switch,-1,20,right,right,0.377
HKS1998WRNO,2019-10-01-14-42-28,1,6,0.5523520910339988,left,both,ambiguous-switch,101,20,right,left,0.493
HKS1998WRNO,2019-10-01-14-42-28,1,7,0.6976382767393615,right,probe,ambiguous-switch,-1,30,right,right,1.778
HKS1998WRNO,2019-10-01-14-42-28,1,8,0.6375292767852252,right,both,ambiguous-switch,106,30,right,left,0.271
HKS1998WRNO,2019-10-01-14-42-28,1,9,0.6859860080331485,right,probe,biased-switch,-1,-5,right,right,0.299
HKS1998WRNO,2019-10-01-14-42-28,1,10,0.5678906124610469,right,both,biased-switch,95,-5,right,left,0.285
HKS1998WRNO,2019-10-01-14-42-28,1,11,0.5283464515055295,left,probe,biased-switch,-1,0,left,left,0.509
HKS1998WRNO,2019-10-01-14-42-28,1,12,0.5573650727107791,left,both,biased-switch,102,0,left,right,0.241
HKS1998WRNO,2019-10-01-14-42-28,1,13,0.5535251698533928,left,probe,ambiguous-switch,-1,-10,left,left,0.461
HKS1998WRNO,2019-10-01-14-42-28,1,14,0.5797741824842289,left,both,ambiguous-switch,90,-10,left,left,0.855
HKS1998WRNO,2019-10-01-14-42-28,1,15,0.6830091983242941,right,probe,biased-switch,-1,5,left,left,0.554
HKS1998WRNO,2019-10-01-14-42-28,1,16,0.6300376162385175,right,both,biased-switch,99,5,left,right,0.214
HKS1998WRNO,2019-10-01-14-42-28,1,17,0.5121980599962633,right,probe,biased-switch,-1,-20,left,left,0.281
HKS1998WRNO,2019-10-01-14-42-28,1,18,0.506223081426623,right,both,biased-switch,98,-20,left,left,0.317
HKS1998WRNO,2019-10-01-14-42-28,1,19,0.5611013019134565,left,probe,ambiguous-switch,-1,10,left,left,0.423
HKS1998WRNO,2019-10-01-14-42-28,1,20,0.6823424726827071,left,both,ambiguous-switch,109,10,left,right,0.266
HKS1998WRNO,2019-10-01-14-42-28,1,21,0.6598621994635256,right,probe,ambiguous-switch,-1,-30,left,left,0.256
HKS1998WRNO,2019-10-01-14-42-28,1,22,0.5655105914254565,right,both,ambiguous-switch,91,-30,left,left,0.43
HKS1998WRNO,2019-10-01-14-42-28,1,23,0.5240119645850524,right,probe,biased-switch,-1,30,left,left,0.525
HKS1998WRNO,2019-10-01-14-42-28,1,24,0.674469096763984,right,both,biased-switch,105,30,left,left,0.253
HKS1998WRNO,2019-10-01-14-42-28,1,25,0.6943360332045785,left,probe,ambiguous-switch,-1,0,left,left,0.56
HKS1998WRNO,2019-10-01-14-42-28,1,26,0.646202836539731,left,both,ambiguous-switch,108,0,left,right,0.27
HKS1998WRNO,2019-10-01-14-42-28,1,27,0.6902980532277848,right,probe,ambiguous-switch,-1,5,left,left,1.407
HKS1998WRNO,2019-10-01-14-42-28,1,28,0.6978371285031341,right,both,ambiguous-switch,92,5,left,left,1.079
HKS1998WRNO,2019-10-01-14-42-28,1,29,0.5189071734520782,right,probe,ambiguous-switch,-1,-20,left,left,0.275
HKS1998WRNO,2019-10-01-14-42-28,1,30,0.6581208423304789,right,both,ambiguous-switch,95,-20,left,right,0.782
HKS1998WRNO,2019-10-01-14-42-28,1,31,0.646525733741084,left,probe,biased-switch,-1,20,right,right,0.775
HKS1998WRNO,2019-10-01-14-42-28,1,32,0.54202052833102,left,both,biased-switch,96,20,right,left,0.259
HKS1998WRNO,2019-10-01-14-42-28,1,33,0.5031021409423768,right,probe,biased-switch,-1,40,left,left,0.422
HKS1998WRNO,2019-10-01-14-42-28,1,34,0.5640030087799217,right,both,biased-switch,102,40,left,left,0.461
HKS1998WRNO,2019-10-01-14-42-28,1,35,0.6177207756970171,right,probe,ambiguous-switch,-1,-5,left,left,0.993
HKS1998WRNO,2019-10-01-14-42-28,1,36,0.6702599303459409,right,both,ambiguous-switch,92,-5,left,right,0.838
HKS1998WRNO,2019-10-01-14-42-28,1,37,0.5015895374146949,right,probe,biased-switch,-1,-30,left,left,0.308
HKS1998WRNO,2019-10-01-14-42-28,1,38,0.6126084334971209,right,both,biased-switch,107,-30,left,right,0.574
HKS1998WRNO,2019-10-01-14-42-28,1,39,0.5054866114058819,right,probe,ambiguous-switch,-1,40,left,left,0.27
HKS1998WRNO,2019-10-01-14-42-28,1,40,0.5524662472688353,right,both,ambiguous-switch,95,40,left,right,1.139
HKS1998WRNO,2019-10-01-14-42-28,1,41,0.6648851165159285,right,probe,biased-switch,-1,10,right,right,0.849
HKS1998WRNO,2019-10-01-14-42-28,1,42,0.6751423717967036,right,both,biased-switch,108,10,right,left,0.345
HKS1998WRNO,2019-10-01-14-42-28,1,43,0.5745342173547032,left,probe,biased-switch,-1,-10,right,right,0.347
HKS1998WRNO,2019-10-01-14-42-28,1,44,0.6698871558567828,left,both,biased-switch,102,-10,right,left,0.342
HKS1998WRNO,2019-10-01-14-42-28,1,45,0.6372340754220147,right,probe,ambiguous-switch,-1,20,right,right,0.266
HKS1998WRNO,2019-10-01-14-42-28,1,46,0.5367583507504537,right,both,ambiguous-switch,95,20,right,left,0.275
HKS1998WRNO,2019-10-01-14-42-28,1,47,0.5051013680367548,right,probe,ambiguous-switch,-1,30,right,right,0.215
HKS1998WRNO,2019-10-01-14-42-28,1,48,0.6802603578989846,right,both,ambiguous-switch,101,30,right,right,0.422
HKS1998WRNO,2019-10-01-14-42-28,1,49,0.6685582792787212,right,probe,biased-switch,-1,-5,right,right,0.296
HKS1998WRNO,2019-10-01-14-42-28,1,50,0.532930978031429,right,both,biased-switch,93,-5,right,right,0.424
HKS1998WRNO,2019-10-01-14-42-28,1,51,0.6379046445975933,left,probe,biased-switch,-1,0,right,right,0.456
HKS1998WRNO,2019-10-01-14-42-28,1,52,0.6246931499895483,left,both,biased-switch,100,0,right,left,0.468
HKS1998WRNO,2019-10-01-14-42-28,1,53,0.6347321680110848,right,probe,ambiguous-switch,-1,-10,right,right,0.334
HKS1998WRNO,2019-10-01-14-42-28,1,54,0.6102519027594139,right,both,ambiguous-switch,91,-10,right,right,0.371
HKS1998WRNO,2019-10-01-14-42-28,1,55,0.5011355326540183,right,probe,biased-switch,-1,5,right,right,0.366
HKS1998WRNO,2019-10-01-14-42-28,1,56,0.5611225977083574,right,both,biased-switch,91,5,right,right,0.6
HKS1998WRNO,2019-10-01-14-42-28,1,57,0.5609577857225627,left,probe,biased-switch,-1,-20,right,right,0.395
HKS1998WRNO,2019-10-01-14-42-28,1,58,0.6641964573753668,left,both,biased-switch,99,-20,right,right,0.191
HKS1998WRNO,2019-10-01-14-42-28,1,59,0.6158791488332074,right,probe,ambiguous-switch,-1,10,right,right,0.596
HKS1998WRNO,2019-10-01-14-42-28,1,60,0.5889056189954025,right,both,ambiguous-switch,103,10,right,left,0.25
HKS1998WRNO,2019-10-01-14-42-28,1,61,0.6141572192737313,right,probe,ambiguous-switch,-1,-30,right,right,0.273
HKS1998WRNO,2019-10-01-14-42-28,1,62,0.5921553737640812,right,both,ambiguous-switch,95,-30,right,right,0.271
HKS1998WRNO,2019-10-01-14-42-28,1,63,0.584891288976766,right,probe,biased-switch,-1,30,right,right,0.388
HKS1998WRNO,2019-10-01-14-42-28,1,64,0.6026290020760294,right,both,biased-switch,93,30,right,left,0.252
HKS1998WRNO,2019-10-01-14-42-28,1,65,0.5451186405947318,left,probe,ambiguous-switch,-1,0,right,right,0.784
HKS1998WRNO,2019-10-01-14-42-28,1,66,0.5539123053630624,left,both,ambiguous-switch,109,0,right,right,0.148
HKS1998WRNO,2019-10-01-14-42-28,1,67,0.611378471267531,left,probe,ambiguous-switch,-1,5,right,right,0.222
HKS1998WRNO,2019-10-01-14-42-28,1,68,0.5503161358546373,left,both,ambiguous-switch,101,5,right,left,0.24
HKS1998WRNO,2019-10-01-14-42-28,1,69,0.6419445341571423,right,probe,ambiguous-switch,-1,-20,right,right,0.497
HKS1998WRNO,2019-10-01-14-42-28,1,70,0.5566247859075559,right,both,ambiguous-switch,92,-20,right,right,0.354
HKS1998WRNO,2019-10-01-14-42-28,1,71,0.5564644450086776,left,probe,biased-switch,-1,20,right,right,0.517
HKS1998WRNO,2019-10-01-14-42-28,1,72,0.5277261765237361,left,both,biased-switch,90,20,right,left,0.32
HKS1998WRNO,2019-10-01-14-42-28,1,73,0.6948018808789549,right,probe,biased-switch,-1,40,right,right,0.263
HKS1998WRNO,2019-10-01-14-42-28,1,74,0.6396894885849406,right,both,biased-switch,97,40,right,right,0.21
