Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MHN1998MRNO,2019-10-07-10-59-56,1,1,0.6963433571308137,right,probe,biased-switch,-1,-30,left,left,0.331
MHN1998MRNO,2019-10-07-10-59-56,1,2,0.6351261394051265,right,both,biased-switch,104,-30,left,left,0.248
MHN1998MRNO,2019-10-07-10-59-56,1,3,0.6089084053157868,right,probe,biased-switch,-1,-5,left,left,0.212
MHN1998MRNO,2019-10-07-10-59-56,1,4,0.6039144343824637,right,both,biased-switch,107,-5,left,left,0.15
MHN1998MRNO,2019-10-07-10-59-56,1,5,0.6316848937933542,right,probe,ambiguous-switch,-1,10,left,left,0.199
MHN1998MRNO,2019-10-07-10-59-56,1,6,0.5860029658005383,right,both,ambiguous-switch,105,10,left,left,0.168
MHN1998MRNO,2019-10-07-10-59-56,1,7,0.6493393416937057,right,probe,ambiguous-switch,-1,-20,left,left,0.216
MHN1998MRNO,2019-10-07-10-59-56,1,8,0.6575674851346952,right,both,ambiguous-switch,96,-20,left,left,0.109
MHN1998MRNO,2019-10-07-10-59-56,1,9,0.6179795135886983,left,probe,ambiguous-switch,-1,-10,left,left,0.095
MHN1998MRNO,2019-10-07-10-59-56,1,10,0.5024749353067997,left,both,ambiguous-switch,105,-10,left,left,0.236
MHN1998MRNO,2019-10-07-10-59-56,1,11,0.6706067635477957,right,probe,ambiguous-switch,-1,5,left,left,0.541
MHN1998MRNO,2019-10-07-10-59-56,1,12,0.6386887400570166,right,both,ambiguous-switch,109,5,left,left,0.153
MHN1998MRNO,2019-10-07-10-59-56,1,13,0.6041854914983925,left,probe,biased-switch,-1,-20,left,left,0.204
MHN1998MRNO,2019-10-07-10-59-56,1,14,0.518075630534548,left,both,biased-switch,104,-20,left,left,0.162
MHN1998MRNO,2019-10-07-10-59-56,1,15,0.5413039028507637,left,probe,ambiguous-switch,-1,20,left,left,0.185
MHN1998MRNO,2019-10-07-10-59-56,1,16,0.5922955269729463,left,both,ambiguous-switch,109,20,left,left,0.138
