Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MME2000MRNO,2019-09-19-12-33-59,1,1,0.632369023326883,left,probe,ambiguous-switch,-1,10,left,left,0.306
MME2000MRNO,2019-09-19-12-33-59,1,2,0.5299118444983433,left,both,ambiguous-switch,101,10,left,left,0.18
MME2000MRNO,2019-09-19-12-33-59,1,3,0.5301489747206953,left,probe,ambiguous-stable,-1,0,left,left,0.351
MME2000MRNO,2019-09-19-12-33-59,1,4,0.6194572125467828,left,both,ambiguous-stable,110,0,right,left,0.211
MME2000MRNO,2019-09-19-12-33-59,1,5,0.6766824679834378,left,probe,ambiguous-switch,-1,-10,left,left,0.261
MME2000MRNO,2019-09-19-12-33-59,1,6,0.636698501548618,left,both,ambiguous-switch,92,-10,left,left,0.292
MME2000MRNO,2019-09-19-12-33-59,1,7,0.667213636773175,left,probe,ambiguous-switch,-1,0,left,left,0.402
MME2000MRNO,2019-09-19-12-33-59,1,8,0.6427278406013827,left,both,ambiguous-switch,97,0,left,left,0.231
MME2000MRNO,2019-09-19-12-33-59,1,9,0.6031522665147798,left,probe,ambiguous-stable,-1,30,left,left,0.289
MME2000MRNO,2019-09-19-12-33-59,1,10,0.6801291730945012,left,both,ambiguous-stable,102,30,right,left,0.201
MME2000MRNO,2019-09-19-12-33-59,1,11,0.5576046158081734,left,probe,ambiguous-stable,-1,-10,left,left,0.34
MME2000MRNO,2019-09-19-12-33-59,1,12,0.5692792517042288,left,both,ambiguous-stable,109,-10,right,left,0.165
MME2000MRNO,2019-09-19-12-33-59,1,13,0.6347423375223626,right,probe,ambiguous-switch,-1,40,right,right,0.202
MME2000MRNO,2019-09-19-12-33-59,1,14,0.5415057923774755,right,both,ambiguous-switch,107,40,right,right,0.158
MME2000MRNO,2019-09-19-12-33-59,1,15,0.5409417523635485,left,probe,ambiguous-stable,-1,-5,left,left,0.289
MME2000MRNO,2019-09-19-12-33-59,1,16,0.574731400842452,left,both,ambiguous-stable,94,-5,right,left,0.193
MME2000MRNO,2019-09-19-12-33-59,1,17,0.6145235240704291,right,probe,ambiguous-switch,-1,-5,left,left,0.214
MME2000MRNO,2019-09-19-12-33-59,1,18,0.6631501543344982,right,both,ambiguous-switch,102,-5,left,left,0.187
MME2000MRNO,2019-09-19-12-33-59,1,19,0.6706606463827985,right,probe,ambiguous-switch,-1,5,left,left,0.232
MME2000MRNO,2019-09-19-12-33-59,1,20,0.5193772914527054,right,both,ambiguous-switch,94,5,left,right,0.176
MME2000MRNO,2019-09-19-12-33-59,1,21,0.6567101361429817,left,probe,ambiguous-switch,-1,30,left,left,0.227
MME2000MRNO,2019-09-19-12-33-59,1,22,0.6909573337713819,left,both,ambiguous-switch,92,30,left,left,0.185
MME2000MRNO,2019-09-19-12-33-59,1,23,0.6219955745175915,right,probe,ambiguous-switch,-1,20,left,left,0.299
MME2000MRNO,2019-09-19-12-33-59,1,24,0.5255248070969741,right,both,ambiguous-switch,97,20,left,left,0.001
MME2000MRNO,2019-09-19-12-33-59,1,25,0.5129014111365056,left,probe,biased-switch,-1,10,left,left,0.19
MME2000MRNO,2019-09-19-12-33-59,1,26,0.5182475981877984,left,both,biased-switch,101,10,left,left,0.193
MME2000MRNO,2019-09-19-12-33-59,1,27,0.5191834399185841,right,probe,ambiguous-stable,-1,-20,left,left,0.249
MME2000MRNO,2019-09-19-12-33-59,1,28,0.6031248677870094,right,both,ambiguous-stable,97,-20,right,left,0.471
MME2000MRNO,2019-09-19-12-33-59,1,29,0.6514404330875401,left,probe,ambiguous-stable,-1,20,right,right,0.319
MME2000MRNO,2019-09-19-12-33-59,1,30,0.6813907070085424,left,both,ambiguous-stable,109,20,left,left,0.199
MME2000MRNO,2019-09-19-12-33-59,1,31,0.5887688852072372,left,probe,biased-switch,-1,0,left,left,0.211
MME2000MRNO,2019-09-19-12-33-59,1,32,0.5050085719080748,left,both,biased-switch,94,0,left,left,0.201
MME2000MRNO,2019-09-19-12-33-59,1,33,0.5985298676621034,left,probe,biased-switch,-1,40,left,left,0.209
MME2000MRNO,2019-09-19-12-33-59,1,34,0.602865654033218,left,both,biased-switch,99,40,left,left,0.192
MME2000MRNO,2019-09-19-12-33-59,1,35,0.696324963412408,right,probe,biased-switch,-1,-5,left,left,0.221
MME2000MRNO,2019-09-19-12-33-59,1,36,0.6677059374312085,right,both,biased-switch,106,-5,left,left,0.236
MME2000MRNO,2019-09-19-12-33-59,1,37,0.5163022357748415,right,probe,ambiguous-switch,-1,-20,left,left,0.26
MME2000MRNO,2019-09-19-12-33-59,1,38,0.6773962490284672,right,both,ambiguous-switch,104,-20,left,left,0.185
MME2000MRNO,2019-09-19-12-33-59,1,39,0.6842627500153653,left,probe,biased-switch,-1,-10,left,left,0.349
MME2000MRNO,2019-09-19-12-33-59,1,40,0.6630414369155315,left,both,biased-switch,103,-10,left,left,0.224
MME2000MRNO,2019-09-19-12-33-59,1,41,0.5339660393854764,right,probe,ambiguous-stable,-1,10,left,left,0.327
MME2000MRNO,2019-09-19-12-33-59,1,42,0.5270329605772611,right,both,ambiguous-stable,93,10,right,left,0.203
MME2000MRNO,2019-09-19-12-33-59,1,43,0.5939114798802364,left,probe,biased-switch,-1,-20,left,left,0.302
MME2000MRNO,2019-09-19-12-33-59,1,44,0.5044503407811362,left,both,biased-switch,106,-20,left,left,0.035
MME2000MRNO,2019-09-19-12-33-59,1,45,0.5811649968609963,right,probe,ambiguous-stable,-1,-30,left,left,0.285
MME2000MRNO,2019-09-19-12-33-59,1,46,0.5341702002923906,right,both,ambiguous-stable,92,-30,right,right,0.25
MME2000MRNO,2019-09-19-12-33-59,1,47,0.6343899508183678,left,probe,biased-switch,-1,5,right,right,0.315
MME2000MRNO,2019-09-19-12-33-59,1,48,0.6522408549776183,left,both,biased-switch,101,5,right,left,1.092
MME2000MRNO,2019-09-19-12-33-59,1,49,0.5325011995775227,left,probe,ambiguous-switch,-1,-30,left,left,0.268
MME2000MRNO,2019-09-19-12-33-59,1,50,0.6112312854701121,left,both,ambiguous-switch,101,-30,left,left,0.195
MME2000MRNO,2019-09-19-12-33-59,1,51,0.6336913065756976,left,probe,biased-switch,-1,20,left,left,0.23
MME2000MRNO,2019-09-19-12-33-59,1,52,0.5121824823958206,left,both,biased-switch,105,20,left,right,0.212
MME2000MRNO,2019-09-19-12-33-59,1,53,0.5032398767152149,right,probe,ambiguous-stable,-1,5,left,left,0.32
MME2000MRNO,2019-09-19-12-33-59,1,54,0.5838790605579226,right,both,ambiguous-stable,109,5,right,left,0.206
MME2000MRNO,2019-09-19-12-33-59,1,55,0.6940522681423431,left,probe,ambiguous-stable,-1,40,right,right,0.395
MME2000MRNO,2019-09-19-12-33-59,1,56,0.6905597128670579,left,both,ambiguous-stable,107,40,left,right,0.317
MME2000MRNO,2019-09-19-12-33-59,1,57,0.6706370587654853,left,probe,biased-switch,-1,-30,right,right,0.402
MME2000MRNO,2019-09-19-12-33-59,1,58,0.5326296252770062,left,both,biased-switch,104,-30,right,right,0.252
MME2000MRNO,2019-09-19-12-33-59,1,59,0.5652441741264184,left,probe,biased-switch,-1,30,right,right,0.295
MME2000MRNO,2019-09-19-12-33-59,1,60,0.504590857263679,left,both,biased-switch,92,30,right,right,0.282
MME2000MRNO,2019-09-19-12-33-59,2,1,0.6053653427314866,right,probe,biased-switch,-1,-20,right,right,0.182
MME2000MRNO,2019-09-19-12-33-59,2,2,0.588290196613316,right,both,biased-switch,108,-20,right,right,0.213
MME2000MRNO,2019-09-19-12-33-59,2,3,0.6600990293473231,left,probe,ambiguous-stable,-1,5,right,right,0.241
MME2000MRNO,2019-09-19-12-33-59,2,4,0.6726233648051404,left,both,ambiguous-stable,92,5,left,right,0.195
MME2000MRNO,2019-09-19-12-33-59,2,5,0.5174503747075386,right,probe,ambiguous-stable,-1,-5,left,left,0.216
MME2000MRNO,2019-09-19-12-33-59,2,6,0.6017882491245825,right,both,ambiguous-stable,93,-5,right,right,0.17
MME2000MRNO,2019-09-19-12-33-59,2,7,0.5262536041472768,right,probe,ambiguous-stable,-1,30,right,right,0.237
MME2000MRNO,2019-09-19-12-33-59,2,8,0.6099150977826611,right,both,ambiguous-stable,90,30,left,right,0.225
MME2000MRNO,2019-09-19-12-33-59,2,9,0.6664926974485221,left,probe,ambiguous-switch,-1,0,right,right,0.284
MME2000MRNO,2019-09-19-12-33-59,2,10,0.6853514441985401,left,both,ambiguous-switch,107,0,right,right,0.208
MME2000MRNO,2019-09-19-12-33-59,2,11,0.5637509264271916,right,probe,biased-switch,-1,0,right,right,0.312
MME2000MRNO,2019-09-19-12-33-59,2,12,0.6782593744392532,right,both,biased-switch,101,0,right,left,0.224
MME2000MRNO,2019-09-19-12-33-59,2,13,0.5976895506942571,right,probe,ambiguous-switch,-1,-30,left,left,0.382
MME2000MRNO,2019-09-19-12-33-59,2,14,0.6149747946847857,right,both,ambiguous-switch,93,-30,left,left,0.214
MME2000MRNO,2019-09-19-12-33-59,2,15,0.5087028107349394,left,probe,ambiguous-switch,-1,40,left,left,0.222
MME2000MRNO,2019-09-19-12-33-59,2,16,0.5406615086442186,left,both,ambiguous-switch,107,40,left,left,0.217
MME2000MRNO,2019-09-19-12-33-59,2,17,0.515134179436084,right,probe,biased-switch,-1,5,left,left,0.268
MME2000MRNO,2019-09-19-12-33-59,2,18,0.6079425965529055,right,both,biased-switch,110,5,left,right,0.226
MME2000MRNO,2019-09-19-12-33-59,2,19,0.5869628145303925,right,probe,biased-switch,-1,-5,left,left,0.226
MME2000MRNO,2019-09-19-12-33-59,2,20,0.6737822340959374,right,both,biased-switch,95,-5,left,left,0.206
MME2000MRNO,2019-09-19-12-33-59,2,21,0.60983089258723,left,probe,biased-switch,-1,-30,right,right,0.305
MME2000MRNO,2019-09-19-12-33-59,2,22,0.6274857296620853,left,both,biased-switch,96,-30,right,right,0.252
MME2000MRNO,2019-09-19-12-33-59,2,23,0.5667005786312876,right,probe,ambiguous-switch,-1,20,left,left,0.297
MME2000MRNO,2019-09-19-12-33-59,2,24,0.5368076002197016,right,both,ambiguous-switch,98,20,left,left,0.206
MME2000MRNO,2019-09-19-12-33-59,2,25,0.5435123017928398,left,probe,ambiguous-stable,-1,-20,left,left,0.235
MME2000MRNO,2019-09-19-12-33-59,2,26,0.5021571649879103,left,both,ambiguous-stable,106,-20,right,right,0.202
MME2000MRNO,2019-09-19-12-33-59,2,27,0.6561448646488294,right,probe,ambiguous-switch,-1,30,right,right,0.25
MME2000MRNO,2019-09-19-12-33-59,2,28,0.5679574030516821,right,both,ambiguous-switch,103,30,right,right,0.193
