Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
MON1991WRNO,2019-10-28-12-02-46,1,1,0.5127436822306974,right,probe,ambiguous-switch,-1,40,right,right,0.466
MON1991WRNO,2019-10-28-12-02-46,1,2,0.5750636789681695,right,both,ambiguous-switch,102,40,right,right,0.282
MON1991WRNO,2019-10-28-12-02-46,1,3,0.5963580201043617,left,probe,biased-switch,-1,-20,right,right,0.345
MON1991WRNO,2019-10-28-12-02-46,1,4,0.5010684986504019,left,both,biased-switch,100,-20,right,right,0.186
MON1991WRNO,2019-10-28-12-02-46,1,5,0.5684271326712624,left,probe,biased-switch,-1,20,right,right,0.224
MON1991WRNO,2019-10-28-12-02-46,1,6,0.5835413096059966,left,both,biased-switch,109,20,right,right,0.214
MON1991WRNO,2019-10-28-12-02-46,1,7,0.533295800117211,right,probe,ambiguous-switch,-1,20,right,right,0.218
MON1991WRNO,2019-10-28-12-02-46,1,8,0.5773261633877395,right,both,ambiguous-switch,99,20,right,right,0.2
MON1991WRNO,2019-10-28-12-02-46,1,9,0.647235720734084,left,probe,ambiguous-switch,-1,0,right,right,0.237
MON1991WRNO,2019-10-28-12-02-46,1,10,0.6184473860638582,left,both,ambiguous-switch,98,0,right,right,0.226
MON1991WRNO,2019-10-28-12-02-46,1,11,0.661768061912791,right,probe,biased-switch,-1,40,right,right,0.207
MON1991WRNO,2019-10-28-12-02-46,1,12,0.5269852381801794,right,both,biased-switch,96,40,right,right,0.243
MON1991WRNO,2019-10-28-12-02-46,1,13,0.5093124521203679,right,probe,biased-switch,-1,10,right,right,0.235
MON1991WRNO,2019-10-28-12-02-46,1,14,0.6593421051111645,right,both,biased-switch,94,10,right,right,0.088
MON1991WRNO,2019-10-28-12-02-46,1,15,0.6091088718693548,right,probe,ambiguous-switch,-1,30,right,right,0.007
MON1991WRNO,2019-10-28-12-02-46,1,16,0.5296718514302302,right,both,ambiguous-switch,101,30,right,right,0.182
MON1991WRNO,2019-10-28-12-02-46,1,17,0.6459985635166566,left,probe,ambiguous-switch,-1,-5,right,right,0.222
MON1991WRNO,2019-10-28-12-02-46,1,18,0.5735968452225785,left,both,ambiguous-switch,103,-5,right,right,0.218
MON1991WRNO,2019-10-28-12-02-46,1,19,0.61716785194226,left,probe,ambiguous-switch,-1,-30,right,right,0.212
MON1991WRNO,2019-10-28-12-02-46,1,20,0.5748310087152579,left,both,ambiguous-switch,94,-30,right,right,0.203
MON1991WRNO,2019-10-28-12-02-46,1,21,0.5912737805043716,right,probe,ambiguous-switch,-1,5,right,right,0.22
MON1991WRNO,2019-10-28-12-02-46,1,22,0.6695576747575703,right,both,ambiguous-switch,94,5,right,right,0.191
MON1991WRNO,2019-10-28-12-02-46,1,23,0.6904191548936834,left,probe,ambiguous-switch,-1,-10,right,right,0.23
MON1991WRNO,2019-10-28-12-02-46,1,24,0.6817820912588373,left,both,ambiguous-switch,97,-10,right,right,0.214
MON1991WRNO,2019-10-28-12-02-46,1,25,0.6714105212985446,left,probe,biased-switch,-1,-30,right,right,0.203
MON1991WRNO,2019-10-28-12-02-46,1,26,0.538417650366145,left,both,biased-switch,95,-30,right,right,0.023
MON1991WRNO,2019-10-28-12-02-46,1,27,0.5909008010962475,right,probe,biased-switch,-1,30,right,right,0.172
MON1991WRNO,2019-10-28-12-02-46,1,28,0.6604188426025666,right,both,biased-switch,100,30,right,right,0.203
MON1991WRNO,2019-10-28-12-02-46,1,29,0.6458653176796997,right,probe,biased-switch,-1,0,right,right,0.2
MON1991WRNO,2019-10-28-12-02-46,1,30,0.5406796541796981,right,both,biased-switch,99,0,right,right,0.147
MON1991WRNO,2019-10-28-12-02-46,1,31,0.6404363396833374,right,probe,biased-switch,-1,5,right,right,0.016
MON1991WRNO,2019-10-28-12-02-46,1,32,0.6728284772764517,right,both,biased-switch,101,5,right,right,0.189
MON1991WRNO,2019-10-28-12-02-46,1,33,0.6851648365822434,right,probe,biased-switch,-1,-5,right,right,0.217
MON1991WRNO,2019-10-28-12-02-46,1,34,0.6388606475959322,right,both,biased-switch,93,-5,right,right,0.195
MON1991WRNO,2019-10-28-12-02-46,1,35,0.6747649218086709,right,probe,biased-switch,-1,-10,right,right,0.221
MON1991WRNO,2019-10-28-12-02-46,1,36,0.5114982296826187,right,both,biased-switch,107,-10,right,right,0.232
MON1991WRNO,2019-10-28-12-02-46,1,37,0.6111964543820901,left,probe,ambiguous-switch,-1,10,right,right,0.238
MON1991WRNO,2019-10-28-12-02-46,1,38,0.509440357785898,left,both,ambiguous-switch,105,10,right,right,0.202
MON1991WRNO,2019-10-28-12-02-46,1,39,0.623279846618914,right,probe,ambiguous-switch,-1,-20,right,right,0.175
MON1991WRNO,2019-10-28-12-02-46,1,40,0.6174554202823376,right,both,ambiguous-switch,100,-20,right,right,0.111
MON1991WRNO,2019-10-28-12-02-46,1,41,0.6779100435574477,right,probe,ambiguous-switch,-1,40,right,right,0.195
MON1991WRNO,2019-10-28-12-02-46,1,42,0.5396485366829828,right,both,ambiguous-switch,92,40,right,right,0.223
MON1991WRNO,2019-10-28-12-02-46,1,43,0.5468657570557924,left,probe,biased-switch,-1,-20,right,right,0.205
MON1991WRNO,2019-10-28-12-02-46,1,44,0.6552550828629455,left,both,biased-switch,91,-20,right,right,0.183
MON1991WRNO,2019-10-28-12-02-46,1,45,0.5863700129165018,right,probe,biased-switch,-1,20,right,right,0.083
MON1991WRNO,2019-10-28-12-02-46,1,46,0.5086437743520468,right,both,biased-switch,106,20,right,right,0.226
MON1991WRNO,2019-10-28-12-02-46,1,47,0.6996183415424115,right,probe,ambiguous-switch,-1,20,right,right,0.215
MON1991WRNO,2019-10-28-12-02-46,1,48,0.6716423007325768,right,both,ambiguous-switch,91,20,right,right,0.245
MON1991WRNO,2019-10-28-12-02-46,1,49,0.6871151309831229,right,probe,ambiguous-switch,-1,0,right,right,0.237
MON1991WRNO,2019-10-28-12-02-46,1,50,0.6484971374071039,right,both,ambiguous-switch,104,0,right,right,0.217
MON1991WRNO,2019-10-28-12-02-46,1,51,0.6722060999821193,left,probe,biased-switch,-1,40,right,right,0.201
MON1991WRNO,2019-10-28-12-02-46,1,52,0.5879981314261107,left,both,biased-switch,98,40,right,right,0.09
MON1991WRNO,2019-10-28-12-02-46,1,53,0.5719864243001301,left,probe,biased-switch,-1,10,right,right,0.377
MON1991WRNO,2019-10-28-12-02-46,1,54,0.6946567605086859,left,both,biased-switch,93,10,right,right,0.221
MON1991WRNO,2019-10-28-12-02-46,1,55,0.5734830788642641,right,probe,ambiguous-switch,-1,30,right,right,0.267
MON1991WRNO,2019-10-28-12-02-46,1,56,0.537410594530327,right,both,ambiguous-switch,99,30,right,right,0.19
MON1991WRNO,2019-10-28-12-02-46,1,57,0.6944611208935461,left,probe,ambiguous-switch,-1,-5,right,right,0.232
MON1991WRNO,2019-10-28-12-02-46,1,58,0.6696883074619688,left,both,ambiguous-switch,98,-5,right,right,0.216
MON1991WRNO,2019-10-28-12-02-46,1,59,0.5532906391692873,left,probe,ambiguous-switch,-1,-30,right,right,0.252
MON1991WRNO,2019-10-28-12-02-46,1,60,0.5246474790976967,left,both,ambiguous-switch,95,-30,right,right,0.283
MON1991WRNO,2019-10-28-12-02-46,1,61,0.5908331721285174,right,probe,ambiguous-switch,-1,5,right,right,0.268
MON1991WRNO,2019-10-28-12-02-46,1,62,0.5812879660297238,right,both,ambiguous-switch,101,5,right,right,0.189
MON1991WRNO,2019-10-28-12-02-46,1,63,0.5599411313023864,left,probe,ambiguous-switch,-1,-10,right,right,0.19
MON1991WRNO,2019-10-28-12-02-46,1,64,0.6084400480728867,left,both,ambiguous-switch,96,-10,right,right,0.195
MON1991WRNO,2019-10-28-12-02-46,1,65,0.5358046252280724,right,probe,biased-switch,-1,-30,right,right,0.225
MON1991WRNO,2019-10-28-12-02-46,1,66,0.519746112684605,right,both,biased-switch,93,-30,right,right,0.148
