Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
SAM1990WRNO,2020-02-03-12-05-58,1,1,0.683402863241364,right,probe,biased-switch,-1,18,right,right,1.019
SAM1990WRNO,2020-02-03-12-05-58,1,2,0.6437097027602279,right,both,biased-switch,65,18,right,right,0.443
SAM1990WRNO,2020-02-03-12-05-58,1,3,0.645221777290029,left,probe,ambiguous-switch,-1,0,left,left,0.676
SAM1990WRNO,2020-02-03-12-05-58,1,4,0.5800347784812209,left,both,ambiguous-switch,64,0,left,left,0.402
SAM1990WRNO,2020-02-03-12-05-58,1,5,0.6498955411657128,right,probe,biased-switch,-1,24,right,right,0.379
SAM1990WRNO,2020-02-03-12-05-58,1,6,0.6109699764705572,right,both,biased-switch,65,24,right,right,0.247
SAM1990WRNO,2020-02-03-12-05-58,1,7,0.6329335439077537,left,probe,biased-switch,-1,6,left,left,0.479
SAM1990WRNO,2020-02-03-12-05-58,1,8,0.6223515414258358,left,both,biased-switch,65,6,left,left,0.367
SAM1990WRNO,2020-02-03-12-05-58,1,9,0.6140364828229745,right,probe,ambiguous-switch,-1,3,right,right,0.291
SAM1990WRNO,2020-02-03-12-05-58,1,10,0.582111230275777,right,both,ambiguous-switch,61,3,right,right,0.239
SAM1990WRNO,2020-02-03-12-05-58,1,11,0.6690428914211115,right,probe,ambiguous-switch,-1,-3,right,right,0.319
SAM1990WRNO,2020-02-03-12-05-58,1,12,0.5485877766799745,right,both,ambiguous-switch,62,-3,right,right,0.218
SAM1990WRNO,2020-02-03-12-05-58,1,13,0.5386296212081696,right,probe,biased-switch,-1,3,right,right,0.257
SAM1990WRNO,2020-02-03-12-05-58,1,14,0.6400094005574614,right,both,biased-switch,61,3,right,right,0.225
SAM1990WRNO,2020-02-03-12-05-58,1,15,0.5133342134370927,left,probe,ambiguous-switch,-1,-12,left,left,0.223
SAM1990WRNO,2020-02-03-12-05-58,1,16,0.6833057213725799,left,both,ambiguous-switch,66,-12,left,left,0.211
SAM1990WRNO,2020-02-03-12-05-58,1,17,0.6608669183451968,right,probe,biased-switch,-1,0,right,right,0.334
SAM1990WRNO,2020-02-03-12-05-58,1,18,0.6868549200800423,right,both,biased-switch,55,0,right,right,0.212
SAM1990WRNO,2020-02-03-12-05-58,1,19,0.5936684390052226,right,probe,biased-switch,-1,12,right,right,0.222
SAM1990WRNO,2020-02-03-12-05-58,1,20,0.6803034482967232,right,both,biased-switch,55,12,right,right,0.165
SAM1990WRNO,2020-02-03-12-05-58,1,21,0.6542190308946384,left,probe,ambiguous-switch,-1,18,left,left,0.364
SAM1990WRNO,2020-02-03-12-05-58,1,22,0.5919259251591342,left,both,ambiguous-switch,58,18,left,left,0.207
SAM1990WRNO,2020-02-03-12-05-58,1,23,0.5141773002256826,left,probe,biased-switch,-1,-6,left,left,0.253
SAM1990WRNO,2020-02-03-12-05-58,1,24,0.6998354943767839,left,both,biased-switch,57,-6,left,left,0.219
SAM1990WRNO,2020-02-03-12-05-58,1,25,0.5760850230418744,right,probe,ambiguous-switch,-1,-18,right,right,0.224
SAM1990WRNO,2020-02-03-12-05-58,1,26,0.5819146727620469,right,both,ambiguous-switch,60,-18,right,right,0.232
SAM1990WRNO,2020-02-03-12-05-58,1,27,0.6823343548948317,right,probe,ambiguous-switch,-1,24,right,right,0.266
SAM1990WRNO,2020-02-03-12-05-58,1,28,0.6608204496727473,right,both,ambiguous-switch,64,24,right,right,0.198
SAM1990WRNO,2020-02-03-12-05-58,1,29,0.5367419730458979,left,probe,biased-switch,-1,-12,left,left,0.219
SAM1990WRNO,2020-02-03-12-05-58,1,30,0.6193062580620791,left,both,biased-switch,62,-12,left,left,0.2
SAM1990WRNO,2020-02-03-12-05-58,1,31,0.5103587722078218,left,probe,biased-switch,-1,-18,left,left,0.3
SAM1990WRNO,2020-02-03-12-05-58,1,32,0.680255198933745,left,both,biased-switch,58,-18,left,left,0.22
SAM1990WRNO,2020-02-03-12-05-58,1,33,0.5598020396905965,left,probe,ambiguous-switch,-1,12,left,left,0.228
SAM1990WRNO,2020-02-03-12-05-58,1,34,0.6812356652066826,left,both,ambiguous-switch,55,12,left,left,0.265
SAM1990WRNO,2020-02-03-12-05-58,1,35,0.5044229820965448,left,probe,ambiguous-switch,-1,6,left,left,0.226
SAM1990WRNO,2020-02-03-12-05-58,1,36,0.5763773306302316,left,both,ambiguous-switch,54,6,left,left,0.211
SAM1990WRNO,2020-02-03-12-05-58,1,37,0.5141452528481876,left,probe,ambiguous-switch,-1,-6,left,left,0.213
SAM1990WRNO,2020-02-03-12-05-58,1,38,0.5432081003160153,left,both,ambiguous-switch,62,-6,left,left,0.213
SAM1990WRNO,2020-02-03-12-05-58,1,39,0.6189671594612018,left,probe,biased-switch,-1,-3,left,left,0.241
SAM1990WRNO,2020-02-03-12-05-58,1,40,0.5797236243791489,left,both,biased-switch,61,-3,left,left,0.203
SAM1990WRNO,2020-02-03-12-05-58,1,41,0.6319125772369825,right,probe,biased-switch,-1,18,right,right,0.229
SAM1990WRNO,2020-02-03-12-05-58,1,42,0.5909700531573722,right,both,biased-switch,61,18,right,right,0.239
SAM1990WRNO,2020-02-03-12-05-58,1,43,0.6275487227569849,right,probe,ambiguous-switch,-1,0,right,right,0.305
SAM1990WRNO,2020-02-03-12-05-58,1,44,0.6104040392503105,right,both,ambiguous-switch,60,0,right,right,0.223
SAM1990WRNO,2020-02-03-12-05-58,1,45,0.6152840731690052,left,probe,biased-switch,-1,24,left,left,0.234
