Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
SKL1994WRNO,2019-09-17-12-04-47,1,1,0.6503911636153119,right,probe,ambiguous-stable,-1,0,right,right,0.626
SKL1994WRNO,2019-09-17-12-04-47,1,2,0.5624111241886879,right,both,ambiguous-stable,96,0,left,right,0.413
SKL1994WRNO,2019-09-17-12-04-47,1,3,0.6258241226861958,right,probe,ambiguous-switch,-1,20,right,right,0.327
SKL1994WRNO,2019-09-17-12-04-47,1,4,0.5921697058240892,right,both,ambiguous-switch,97,20,right,right,0.224
SKL1994WRNO,2019-09-17-12-04-47,1,5,0.5905350904010157,left,probe,ambiguous-stable,-1,40,right,right,0.171
SKL1994WRNO,2019-09-17-12-04-47,1,6,0.6116960645029671,left,both,ambiguous-stable,108,40,left,right,0.232
SKL1994WRNO,2019-09-17-12-04-47,1,7,0.5144539042794793,right,probe,biased-switch,-1,-5,right,right,0.559
SKL1994WRNO,2019-09-17-12-04-47,1,8,0.6933139237482546,right,both,biased-switch,94,-5,right,right,0.254
SKL1994WRNO,2019-09-17-12-04-47,1,9,0.5686843181540533,left,probe,biased-switch,-1,-10,right,right,0.438
SKL1994WRNO,2019-09-17-12-04-47,1,10,0.6480650343269067,left,both,biased-switch,94,-10,right,right,0.303
SKL1994WRNO,2019-09-17-12-04-47,1,11,0.5478722142703547,right,probe,ambiguous-stable,-1,10,right,right,0.35
SKL1994WRNO,2019-09-17-12-04-47,1,12,0.6233061933224434,right,both,ambiguous-stable,92,10,left,right,0.23
SKL1994WRNO,2019-09-17-12-04-47,1,13,0.5812291763782609,left,probe,ambiguous-stable,-1,-5,right,right,0.314
SKL1994WRNO,2019-09-17-12-04-47,1,14,0.5094276276797108,left,both,ambiguous-stable,99,-5,left,right,0.215
SKL1994WRNO,2019-09-17-12-04-47,1,15,0.695102414659683,right,probe,biased-switch,-1,30,right,right,0.204
SKL1994WRNO,2019-09-17-12-04-47,1,16,0.653119267044588,right,both,biased-switch,101,30,right,right,0.045
SKL1994WRNO,2019-09-17-12-04-47,1,17,0.5817602005926155,right,probe,biased-switch,-1,40,right,right,0.227
SKL1994WRNO,2019-09-17-12-04-47,1,18,0.5446006703121483,right,both,biased-switch,96,40,right,right,0.199
SKL1994WRNO,2019-09-17-12-04-47,1,19,0.5717852036067184,left,probe,ambiguous-stable,-1,30,right,right,0.205
SKL1994WRNO,2019-09-17-12-04-47,1,20,0.5823728150480393,left,both,ambiguous-stable,95,30,left,right,0.311
SKL1994WRNO,2019-09-17-12-04-47,1,21,0.6756026895136402,left,probe,biased-switch,-1,0,right,right,0.378
SKL1994WRNO,2019-09-17-12-04-47,1,22,0.5021511462313513,left,both,biased-switch,92,0,right,right,0.188
SKL1994WRNO,2019-09-17-12-04-47,1,23,0.6644146688377119,right,probe,ambiguous-stable,-1,-10,right,right,0.332
SKL1994WRNO,2019-09-17-12-04-47,1,24,0.583206940529571,right,both,ambiguous-stable,95,-10,left,right,0.241
SKL1994WRNO,2019-09-17-12-04-47,1,25,0.622736212032131,left,probe,ambiguous-switch,-1,-5,right,right,0.228
SKL1994WRNO,2019-09-17-12-04-47,1,26,0.6345396411364441,left,both,ambiguous-switch,92,-5,right,right,0.281
SKL1994WRNO,2019-09-17-12-04-47,1,27,0.6240103108397674,left,probe,ambiguous-switch,-1,5,right,right,0.207
SKL1994WRNO,2019-09-17-12-04-47,1,28,0.5718524156962528,left,both,ambiguous-switch,92,5,right,right,0.172
SKL1994WRNO,2019-09-17-12-04-47,1,29,0.6379604295644578,right,probe,ambiguous-stable,-1,-20,right,right,0.293
SKL1994WRNO,2019-09-17-12-04-47,1,30,0.5287904727941788,right,both,ambiguous-stable,106,-20,left,right,0.208
SKL1994WRNO,2019-09-17-12-04-47,1,31,0.554875498384674,left,probe,biased-switch,-1,5,right,right,0.193
SKL1994WRNO,2019-09-17-12-04-47,1,32,0.6150030231678827,left,both,biased-switch,106,5,right,right,0.118
SKL1994WRNO,2019-09-17-12-04-47,1,33,0.5651171897610886,left,probe,ambiguous-switch,-1,-30,right,right,0.192
SKL1994WRNO,2019-09-17-12-04-47,1,34,0.6243465683447359,left,both,ambiguous-switch,94,-30,right,right,0.242
SKL1994WRNO,2019-09-17-12-04-47,1,35,0.6203974918426148,left,probe,ambiguous-switch,-1,0,right,right,0.193
SKL1994WRNO,2019-09-17-12-04-47,1,36,0.5956961081478797,left,both,ambiguous-switch,94,0,right,right,0.172
SKL1994WRNO,2019-09-17-12-04-47,1,37,0.6427318608934395,right,probe,biased-switch,-1,-30,right,right,0.059
SKL1994WRNO,2019-09-17-12-04-47,1,38,0.6986017600239773,right,both,biased-switch,102,-30,right,right,0.216
SKL1994WRNO,2019-09-17-12-04-47,1,39,0.5794400323354827,left,probe,ambiguous-switch,-1,10,right,right,0.185
SKL1994WRNO,2019-09-17-12-04-47,1,40,0.5440493836694811,left,both,ambiguous-switch,107,10,right,right,0.131
SKL1994WRNO,2019-09-17-12-04-47,1,41,0.6471576640207197,right,probe,biased-switch,-1,-20,right,right,0.197
SKL1994WRNO,2019-09-17-12-04-47,1,42,0.5857337446012212,right,both,biased-switch,100,-20,right,right,0.176
