Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
SMB1998WRNO,2020-02-03-16-08-37,1,1,0.536024049495918,right,probe,ambiguous-stable,-1,6,left,left,0.55
SMB1998WRNO,2020-02-03-16-08-37,1,2,0.6623586895365093,right,both,ambiguous-stable,59,6,right,left,12.701
SMB1998WRNO,2020-02-03-16-08-37,1,3,0.6879674701942972,right,probe,biased-switch,-1,0,left,left,0.219
SMB1998WRNO,2020-02-03-16-08-37,1,4,0.6612106891230293,right,both,biased-switch,57,0,left,left,0.143
SMB1998WRNO,2020-02-03-16-08-37,1,5,0.5850080143096926,left,probe,biased-switch,-1,3,right,right,0.373
SMB1998WRNO,2020-02-03-16-08-37,1,6,0.5261409572194334,left,both,biased-switch,60,3,right,left,0.318
SMB1998WRNO,2020-02-03-16-08-37,1,7,0.5666381304110946,right,probe,ambiguous-switch,-1,3,left,left,0.783
SMB1998WRNO,2020-02-03-16-08-37,1,8,0.5806758266403852,right,both,ambiguous-switch,58,3,left,left,7.132
SMB1998WRNO,2020-02-03-16-08-37,1,9,0.6154082527600935,left,probe,ambiguous-switch,-1,0,right,right,0.57
SMB1998WRNO,2020-02-03-16-08-37,1,10,0.506816351774169,left,both,ambiguous-switch,57,0,right,left,0.358
SMB1998WRNO,2020-02-03-16-08-37,1,11,0.5424644204519349,right,probe,biased-switch,-1,6,left,left,0.891
SMB1998WRNO,2020-02-03-16-08-37,1,12,0.6278054665534526,right,both,biased-switch,55,6,left,right,0.403
SMB1998WRNO,2020-02-03-16-08-37,1,13,0.560235075431705,left,probe,ambiguous-switch,-1,6,right,right,0.717
SMB1998WRNO,2020-02-03-16-08-37,1,14,0.5967148854789127,left,both,ambiguous-switch,64,6,right,left,0.555
SMB1998WRNO,2020-02-03-16-08-37,1,15,0.6979118384133918,right,probe,ambiguous-switch,-1,24,left,left,0.672
SMB1998WRNO,2020-02-03-16-08-37,1,16,0.660946117179864,right,both,ambiguous-switch,59,24,left,left,0.243
SMB1998WRNO,2020-02-03-16-08-37,1,17,0.653095585651332,left,probe,ambiguous-stable,-1,24,right,right,1.639
SMB1998WRNO,2020-02-03-16-08-37,1,18,0.6773696871870548,left,both,ambiguous-stable,62,24,left,right,0.396
SMB1998WRNO,2020-02-03-16-08-37,1,19,0.5048265555276485,right,probe,ambiguous-stable,-1,-6,left,left,1.138
SMB1998WRNO,2020-02-03-16-08-37,1,20,0.591182362113135,right,both,ambiguous-stable,56,-6,right,left,0.515
SMB1998WRNO,2020-02-03-16-08-37,1,21,0.6176465542754637,right,probe,ambiguous-switch,-1,-6,left,left,0.399
SMB1998WRNO,2020-02-03-16-08-37,1,22,0.6388665766980897,right,both,ambiguous-switch,63,-6,left,right,0.364
SMB1998WRNO,2020-02-03-16-08-37,1,23,0.6048886342590933,left,probe,biased-switch,-1,24,right,right,0.503
SMB1998WRNO,2020-02-03-16-08-37,1,24,0.5435537084531584,left,both,biased-switch,61,24,right,right,0.292
SMB1998WRNO,2020-02-03-16-08-37,1,25,0.6689929049612622,left,probe,ambiguous-stable,-1,-12,left,left,1.281
SMB1998WRNO,2020-02-03-16-08-37,1,26,0.5315251670935653,left,both,ambiguous-stable,54,-12,right,right,0.594
SMB1998WRNO,2020-02-03-16-08-37,1,27,0.6445258721865137,left,probe,ambiguous-switch,-1,-18,right,right,0.519
