Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
STA2000WRNO,2020-01-31-09-08-55,1,1,0.540433858676979,left,probe,ambiguous-stable,-1,12,left,left,3.01
STA2000WRNO,2020-01-31-09-08-55,1,2,0.5270343136857158,left,both,ambiguous-stable,58,12,right,left,0.61
STA2000WRNO,2020-01-31-09-08-55,1,3,0.5518438148742508,left,probe,biased-switch,-1,-12,left,left,0.652
STA2000WRNO,2020-01-31-09-08-55,1,4,0.5456917781481044,left,both,biased-switch,60,-12,left,right,0.419
STA2000WRNO,2020-01-31-09-08-55,1,5,0.5025155998744268,right,probe,ambiguous-switch,-1,0,left,left,0.775
STA2000WRNO,2020-01-31-09-08-55,1,6,0.5570138179278634,right,both,ambiguous-switch,64,0,left,left,0.487
STA2000WRNO,2020-01-31-09-08-55,1,7,0.5416569137458884,left,probe,ambiguous-switch,-1,-3,left,left,0.663
STA2000WRNO,2020-01-31-09-08-55,1,8,0.5775945461650693,left,both,ambiguous-switch,63,-3,left,left,0.282
STA2000WRNO,2020-01-31-09-08-55,1,9,0.6265897387629302,left,probe,ambiguous-switch,-1,6,left,left,0.563
STA2000WRNO,2020-01-31-09-08-55,1,10,0.620549272132072,left,both,ambiguous-switch,64,6,left,left,0.321
STA2000WRNO,2020-01-31-09-08-55,1,11,0.5576995602270041,right,probe,biased-switch,-1,6,left,left,0.583
STA2000WRNO,2020-01-31-09-08-55,1,12,0.5704416971128856,right,both,biased-switch,62,6,left,left,0.271
STA2000WRNO,2020-01-31-09-08-55,1,13,0.6824807335019445,left,probe,biased-switch,-1,-3,left,left,0.809
STA2000WRNO,2020-01-31-09-08-55,1,14,0.6604581842256481,left,both,biased-switch,58,-3,left,left,0.312
STA2000WRNO,2020-01-31-09-08-55,1,15,0.6418791811720251,left,probe,ambiguous-switch,-1,-6,left,left,0.459
STA2000WRNO,2020-01-31-09-08-55,1,16,0.5800936376881183,left,both,ambiguous-switch,64,-6,left,left,0.266
STA2000WRNO,2020-01-31-09-08-55,1,17,0.6502068641891525,right,probe,biased-switch,-1,0,left,left,0.488
STA2000WRNO,2020-01-31-09-08-55,1,18,0.6962996496517071,right,both,biased-switch,54,0,left,left,0.231
STA2000WRNO,2020-01-31-09-08-55,1,19,0.565954624658774,left,probe,biased-switch,-1,24,left,left,0.523
STA2000WRNO,2020-01-31-09-08-55,1,20,0.655912550409659,left,both,biased-switch,61,24,left,left,0.237
STA2000WRNO,2020-01-31-09-08-55,1,21,0.5300219339627421,right,probe,biased-switch,-1,-18,left,left,0.424
STA2000WRNO,2020-01-31-09-08-55,1,22,0.5652578385825574,right,both,biased-switch,64,-18,left,left,0.253
STA2000WRNO,2020-01-31-09-08-55,1,23,0.5072095441235576,left,probe,ambiguous-stable,-1,-3,left,left,0.505
STA2000WRNO,2020-01-31-09-08-55,1,24,0.5374367914541963,left,both,ambiguous-stable,65,-3,right,left,0.145
STA2000WRNO,2020-01-31-09-08-55,1,25,0.6058136871809794,right,probe,ambiguous-switch,-1,-18,left,left,0.591
STA2000WRNO,2020-01-31-09-08-55,1,26,0.5533789572799831,right,both,ambiguous-switch,61,-18,left,left,0.377
STA2000WRNO,2020-01-31-09-08-55,1,27,0.6276258025798953,right,probe,ambiguous-stable,-1,3,left,left,0.46
STA2000WRNO,2020-01-31-09-08-55,1,28,0.5486605514909398,right,both,ambiguous-stable,56,3,right,left,0.085
STA2000WRNO,2020-01-31-09-08-55,1,29,0.6160296796855512,right,probe,biased-switch,-1,18,left,left,0.354
STA2000WRNO,2020-01-31-09-08-55,1,30,0.5812385854107985,right,both,biased-switch,55,18,left,left,0.24
STA2000WRNO,2020-01-31-09-08-55,1,31,0.5242424748484125,right,probe,biased-switch,-1,12,left,left,0.694
