Participant,Session,Block,Trial,OnsetDelay,ProbeLocation,WhatIsReported,Condition,TriggerTime,ProbeSOA,PrimeDirection,Response,RT
VTM1984WRNO,2019-10-10-11-59-31,1,1,0.5019744099193398,right,probe,biased-switch,-1,-10,left,left,0.42
VTM1984WRNO,2019-10-10-11-59-31,1,2,0.6589289516549796,right,both,biased-switch,96,-10,left,left,0.219
VTM1984WRNO,2019-10-10-11-59-31,1,3,0.6258558325891522,left,probe,biased-switch,-1,40,left,left,0.273
VTM1984WRNO,2019-10-10-11-59-31,1,4,0.6631071698066189,left,both,biased-switch,103,40,left,right,1.542
VTM1984WRNO,2019-10-10-11-59-31,1,5,0.6009595253293054,right,probe,ambiguous-switch,-1,30,left,left,0.511
VTM1984WRNO,2019-10-10-11-59-31,1,6,0.5908725713816253,right,both,ambiguous-switch,101,30,left,left,0.309
VTM1984WRNO,2019-10-10-11-59-31,1,7,0.6579983983572922,right,probe,ambiguous-switch,-1,10,left,left,0.305
VTM1984WRNO,2019-10-10-11-59-31,1,8,0.5286818202718662,right,both,ambiguous-switch,95,10,left,right,0.248
VTM1984WRNO,2019-10-10-11-59-31,1,9,0.586076920907626,left,probe,ambiguous-switch,-1,-5,right,right,0.345
VTM1984WRNO,2019-10-10-11-59-31,1,10,0.5626022545536569,left,both,ambiguous-switch,91,-5,right,left,0.337
VTM1984WRNO,2019-10-10-11-59-31,1,11,0.5167835443449827,right,probe,biased-switch,-1,0,right,right,0.328
VTM1984WRNO,2019-10-10-11-59-31,1,12,0.5152618680989283,right,both,biased-switch,93,0,right,left,0.549
VTM1984WRNO,2019-10-10-11-59-31,1,13,0.5994241393352053,right,probe,ambiguous-switch,-1,-20,left,left,0.25
VTM1984WRNO,2019-10-10-11-59-31,1,14,0.5215600651359455,right,both,ambiguous-switch,102,-20,left,left,0.124
VTM1984WRNO,2019-10-10-11-59-31,1,15,0.5229941937637799,right,probe,biased-switch,-1,30,left,left,0.342
VTM1984WRNO,2019-10-10-11-59-31,1,16,0.5762962213483103,right,both,biased-switch,98,30,left,left,0.172
VTM1984WRNO,2019-10-10-11-59-31,1,17,0.5399937382666987,right,probe,ambiguous-switch,-1,20,left,left,0.25
VTM1984WRNO,2019-10-10-11-59-31,1,18,0.5613426225179874,right,both,ambiguous-switch,99,20,left,left,0.227
VTM1984WRNO,2019-10-10-11-59-31,1,19,0.502741328130927,right,probe,ambiguous-switch,-1,-30,left,left,0.258
